2011 scottish intermediate zone,Total
S02002078 : Buckie Central East,165
S02002079 : Buckie West and Mains of Buckie,180
"S02002092 : Burghead, Roseisle and Laich",140
"S02002077 : Cullen, Portknockie, Findochty, Drybridge and Berryhillock",195
S02002088 : Elgin Bishopmill East and Ladyhill,270
S02002089 : Elgin Bishopmill West and Newfield,40
S02002084 : Elgin Cathedral to Ashgrove and Pinefield,300
S02002087 : Elgin Central West,185
"S02002093 : Findhorn, Kinloss and Pluscarden Valley",150
"S02002081 : Fochabers, Aultmore, Clochan and Ordiquish",135
S02002094 : Forres Central East and seaward,185
S02002095 : Forres South West and Mannachie,100
"S02002082 : Heldon West, Fogwatt to Inchberry",225
S02002076 : Keith and Fife Keith,205
"S02002083 : Lhanbryde, Urquhart, Pitgavney and seaward",130
S02002090 : Lossiemouth East and Seatown,110
S02002091 : Lossiemouth West,80
"S02002080 : Mosstodloch, Portgordon and seaward",125
S02002085 : New Elgin East,75
S02002086 : New Elgin West,110
S02002074 : North Speyside,210
"S02002096 : Rafford, Dallas, Dyke to Dava",205
S02002075 : Rural Keith and Strathisla,295
S02002073 : South Speyside and the Cabrach,240
