name,postcode
Aberlour Library,AB38 9QA
Alves Hall,IV36 2RB
Archiestown Village Hall,AB38 7QN
Birnie Kirk Hall,IV30 8SU
Birnie Public Hall,IV30 8GZ
Bishopmill Hall,IV30 4DH
Boharm Public Hall,AB55 6YH
Brodie Village Hall,IV36 2TD
Buckie Community Centre,AB56 1QB
Buckie Fishermen's Hall,AB56 1HT
Buckie Library,AB56 1HB
Buckie Swimming Pool and Fitness Centre,AB56 1PX
Burghead Community Hall,IV30 5UJ
Burghead Library,IV30 5UE
Carron Village Hall,AB38 7QP
Citizens Advice Moray,IV30 1LU
Craigellachie Village Hall,AB38 9SW
Cullen Community and Residential Centre,AB56 4AF
Cullen Library,AB56 4AF
Drummuir Hall,AB55 5JE
Dufftown Community Centre,AB55 4AR
Dufftown Library,AB55 4AB
Dufftown Mortlach Memorial Hall,AB55 4AY
Duffus Village Hall,IV30 5WE
Dyke and District Village Hall,IV36 2TH
Edinkillie Community Hall,IV36 2QW
Elgin Library,IV30 1HS
Elgin Sports and Community Centre,IV30 1UE
Elgin Town Hall,IV30 1UL
Findhorn Hive,IV36 3SH
Findhorn Village Centre,IV36 3YR
Findochty Town Hall,AB56 4PJ
Fleming Hall,AB38 9PR
Fochabers Library,IV32 7DJ
Fochabers Public Institute,IV32 7EP
Fogwatt Hall,IV30 8FW
Forres House,IV36 1BU
Forres Swimming Pool and Fitness Centre,IV36 1FG
Forres Town Hall,IV36 1PB
Garmouth and Kingston Community Hub,IV32 7NQ
Glenlivet Public Hall,AB37 9BX
Glenrinnes Community Centre,AB55 4DB
Grant Hall,AB38 7BJ
Hopeman Memorial Hall,IV30 5SL
Houldsworth Institute,IV36 2SA
Inchberry Hall,IV32 7QB
James Milne Institute,IV36 3YF
Keith Library,AB55 5DP
Keith Sports and Community Centre,AB55 5GT
King Memorial Hall,AB55 6SL
Lhanbryde Community Centre,IV30 8QQ
Longmore Community Hall,AB55 5HA
Lossiemouth Library,IV31 6AA
Lossiemouth Sports and Community Centre,IV31 6JW
Margach Hall,AB38 7RX
McBoyle Hall,AB56 4NF
Milne's Fitness Suite,IV32 7DJ
Miltonduff Public Hall,IV30 8TQ
Moray Leisure Centre,IV30 1AP
Moray Sports Centre,IV30 8AR
New Elgin Hall,IV30 6BL
Newmill Village Hall,AB55 6TW
Pluscarden Village Hall,IV30 8TZ
Portessie Public Hall,AB56 1TD
Portgordon Sports and Community Centre,AB56 2BT
Portgordon Village Hall,AB56 5QW
Rafford Village Hall,IV36 2RU
Richmond Public Memorial Hall,AB37 9ET
Roseisle Village Hall,IV30 5YF
Rothiemay Public Hall,AB54 7LX
Speymouth Hall,IV32 7JX
Speyside Sports and Community Centre,AB38 9QN
Spynie Village Hall,IV30 8XJ
St John's Church Hall,IV36 1BL
St Thomas Hall,AB55 5AL
The Fishermen's Hall,AB56 1HT
The Inkwell,IV30 1LQ
Tomintoul Library,AB37 9ET
Urquhart Parish Hall,IV30 8LG
Williamson Hall,IV30 1QS
