Name,Charity Number,Local authority,Postcode,Latitude,Longitude,IntermediateZone2011Code,DataZone2011Code
Kirk Session Of The Parish Of Cabrach for MacMillan Ferguson Bequest,SC000480,Moray,AB55 4FH,57.44581652,-3.12166918,S02002073,S01011049
Mortlach and Cabrach Church of Scotland,SC010193,Moray,AB55 4FH,57.44581652,-3.12166918,S02002073,S01011049
Friends of The Stephen Hospital Dufftown and Rinnes Medical Group,SC013923,Moray,AB55 4FS,57.44902836,-3.13018262,S02002073,S01011049
Dufftown and District Community Association,SC023622,Moray,AB55 4AZ,57.4464774,-3.12412213,S02002073,S01011049
Speyside Youth,SC047212,Moray,AB55 4BF,57.44715683,-3.12750884,S02002073,S01011049
Mortlach Memorial Hall Dufftown,SC047468,Moray,AB55 4FH,57.44581652,-3.12166918,S02002073,S01011049
Dufftown Community Centre,SC048668,Moray,AB55 4EF,57.44854766,-3.12466889,S02002073,S01011049
True Jesus Church In Elgin,SC000544,Moray,IV30 4HP,57.65904369,-3.30663685,S02002088,S01011124
Moray Women's Aid,SC012866,Moray,IV30 4GB,57.65913715,-3.30280212,S02002088,S01011124
Dyke and Edinkillie Parish Church of Scotland,SC000585,Moray,IV36 2QN,57.53398983,-3.66091171,S02002096,S01011168
Dallas Village Hall (Known As Houldsworth Institute),SC000992,Moray,IV36 2SA,57.55319508,-3.46675281,S02002096,S01011168
Edinkillie Public Hall Trustees,SC009368,Moray,IV36 2QW,57.51396317,-3.64454191,S02002096,S01011168
"St Michael's Parish Church of Scotland, Dallas",SC015881,Moray,IV36 2SB,57.55396035,-3.4650622,S02002096,S01011168
Presleyhill Trust,SC030957,Moray,IV36 2QN,57.53398983,-3.66091171,S02002096,S01011168
Lighthouse Church Forres,SC031223,Moray,IV36 2RR,57.58961725,-3.60332202,S02002096,S01011168
River Findhorn Interpretative Trust,SC033541,Moray,IV36 2QN,57.53398983,-3.66091171,S02002096,S01011168
Finderne Development Trust,SC049191,Moray,IV36 2QN,57.53398983,-3.66091171,S02002096,S01011168
"St Laurence Parish Church of Scotland, Forres",SC000711,Moray,IV36 1DG,57.60626075,-3.60996303,S02002094,S01011158
"St John the Evangelist Scottish Episcopal Church, Forres.",SC010346,Moray,IV36 1DR,57.60697015,-3.60716582,S02002094,S01011158
Forres Academy Enrichment Fund,SC016372,Moray,IV36 1FG,57.60360502,-3.61180367,S02002094,S01011158
James Gillan's Trust,SC016739,Moray,IV36 1DR,57.60697015,-3.60716582,S02002094,S01011158
Rafford Parish Church Of Scotland,SC022567,Moray,IV36 1DR,57.60697015,-3.60716582,S02002094,S01011158
Royal British Legion Scotland Forres Branch,SC030827,Moray,IV36 1DG,57.60626075,-3.60996303,S02002094,S01011158
Forres Heritage Trust,SC041891,Moray,IV36 1DJ,57.60593618,-3.60864321,S02002094,S01011158
The Cabin,SC000839,Moray,AB55 5QB,57.506074,-2.98761625,S02002075,S01011055
Drummuir 21,SC030342,Moray,AB55 5JE,57.4859733,-3.0440694,S02002075,S01011055
Dufftown Kids Cabin,SC048762,Moray,AB55 5QB,57.506074,-2.98761625,S02002075,S01011055
St James Church Of Scotland: Lossiemouth,SC000880,Moray,IV31 6BY,57.72153667,-3.28855732,S02002090,S01011132
Lossiemouth Town Hall Management Committee,SC035968,Moray,IV31 6AW,57.72113001,-3.2887947,S02002090,S01011132
"Action Marine Park, SCIO",SC043530,Moray,IV31 6QP,57.72234345,-3.29400899,S02002090,S01011132
Lossiemouth Friends of Guiding,SC049200,Moray,IV31 6AP,57.72124456,-3.28636438,S02002090,S01011132
Keith Grammar School Fund,SC000946,Moray,AB55 5GS,57.5450169,-2.94518163,S02002076,S01011060
Thomas & Margaret Dick Fund,SC010896,Moray,AB55 5BL,57.54218117,-2.94958531,S02002076,S01011060
Friends Of The Turner Memorial Hospital Keith,SC020128,Moray,AB55 5GH,57.54979644,-2.95227315,S02002076,S01011060
Keith North Newmill Boharm & Rothiemay Church Of Scotland,SC033804,Moray,AB55 5BQ,57.54269134,-2.94983246,S02002076,S01011060
Parents & Friends of Keith Play Centre,SC049090,Moray,AB55 5GT,57.54567328,-2.94509839,S02002076,S01011060
Urquhart Parish Hall Committee,SC001131,Moray,IV30 8LG,57.64819065,-3.19790855,S02002083,S01011097
Speyside Community Car Sharing Scheme,SC035246,Moray,IV30 8XQ,57.64993596,-3.19573756,S02002083,S01011097
1st Lhanbryde and Urquhart Rainbow Unit,SC047898,Moray,IV30 8LQ,57.64991903,-3.19372632,S02002083,S01011097
Moray Baby Bank,SC049253,Moray,IV30 8LG,57.64819065,-3.19790855,S02002083,S01011097
Buckie North Church Of Scotland,SC001235,Moray,AB56 1FE,57.66922327,-2.97357457,S02002079,S01011082
Aberlour Senior Citizens Association,SC001305,Moray,AB38 9LT,57.4616688,-3.24089113,S02002073,S01011047
Edinvillie Community Hall Council,SC002527,Moray,AB38 9ND,57.43216133,-3.20351507,S02002073,S01011047
Mount Stephen Old Age Pension Trust,SC003948,Moray,AB55 4AX,57.45138044,-3.13035518,S02002073,S01011047
Alice Littler Memorial Trust,SC010063,Moray,AB38 9PJ,57.46729174,-3.22996143,S02002073,S01011047
Friends Of Ben Rinnes,SC034370,Moray,AB38 9NJ,57.41882701,-3.20287764,S02002073,S01011047
Cabrach Community Association,SC044513,Moray,AB54 4EU,57.36697839,-3.02916424,S02002073,S01011047
Aberlour Parish Church of Scotland,SC001336,Moray,AB38 9PE,57.47127561,-3.21842357,S02002074,S01011052
Aberlour Community Association SCIO,SC009817,Moray,AB38 9QP,57.4705969,-3.22727133,S02002074,S01011052
PlayAberlour,SC047670,Moray,AB38 9PL,57.46913762,-3.22675556,S02002074,S01011052
Archiestown Village Council,SC001696,Moray,AB38 7QL,57.48080827,-3.28702211,S02002074,S01011050
Knockando Playgroup,SC014667,Moray,AB38 7RX,57.46803196,-3.36076639,S02002074,S01011050
Carron Community Hall Council,SC025996,Moray,AB38 7QP,57.45718384,-3.29994252,S02002074,S01011050
Knockando Woolmill Trust,SC030167,Moray,AB38 7RP,57.45815836,-3.34828159,S02002074,S01011050
Knockando Athletic Group,SC038579,Moray,AB38 7SA,57.46963891,-3.34748731,S02002074,S01011050
"Tomintoul, Glenlivet and Inveravon Church Of Scotland",SC001802,Moray,AB37 9DN,57.33259944,-3.3154548,S02002073,S01011046
Knockando Elchies & Archieston Parish Church of Scotland,SC014428,Moray,AB37 9BQ,57.42485167,-3.37198633,S02002073,S01011046
Glenlivet Public Hall,SC015211,Moray,AB37 9JA,57.31896131,-3.31123128,S02002073,S01011046
Glenrinnes Community Centre,SC032765,Moray,AB55 4DB,57.38887774,-3.21580433,S02002073,S01011046
Inveravon School Parent Council,SC046415,Moray,AB37 9BA,57.42175534,-3.35426956,S02002073,S01011046
Moray District Scout Council,SC001936,Moray,IV32 7JQ,57.62496561,-3.12194595,S02002080,S01011087
Speymouth Hall Association,SC015172,Moray,IV32 7JR,57.62507862,-3.11831597,S02002080,S01011087
Fochabers Babies & Toddlers,SC024125,Moray,IV32 7JN,57.62494809,-3.11986915,S02002080,S01011087
1st Fochabers Scout Group,SC039357,Moray,IV32 7JQ,57.62496561,-3.12194595,S02002080,S01011087
Moray Council On Addiction,SC002163,Moray,IV30 1JZ,57.64787408,-3.31476365,S02002088,S01011121
Moray Leisure Limited,SC023033,Moray,IV30 1AP,57.65146991,-3.3205575,S02002088,S01011121
Third Sector Interface Moray,SC042954,Moray,IV30 1BD,57.64823537,-3.31802723,S02002088,S01011121
Moray Food Plus,SC042997,Moray,IV30 1DJ,57.64838741,-3.31895429,S02002088,S01011121
Elgin Town Hall for the Community,SC048440,Moray,IV30 1UL,57.65007103,-3.31687061,S02002088,S01011121
Strathspey Farmers Club,SC002207,Moray,IV30 4NS,57.65874802,-3.32383883,S02002089,S01011129
Hopeman Community Association,SC003406,Moray,IV30 5SG,57.70719983,-3.43704396,S02002092,S01011144
Lossiemouth High School Parent Partnership,SC039711,Moray,IV30 5RZ,57.70790504,-3.43822995,S02002092,S01011144
1st Hopeman Scout Group,SC047363,Moray,IV30 5SG,57.70719983,-3.43704396,S02002092,S01011144
Lossiemouth Baptist Church,SC003472,Moray,IV30 4NN,57.6555613,-3.3321691,S02002087,S01011120
"St Andrews Lhanbryd & Urquhart Parish Church of Scotland, Elgin",SC008850,Moray,IV30 4NB,57.65353135,-3.33043568,S02002087,S01011120
Elgin City Band,SC041045,Moray,IV30 4NF,57.65523205,-3.32674403,S02002087,S01011120
Elgin Musical Theatre,SC003769,Moray,IV30 6XF,57.63287517,-3.31790601,S02002086,S01011114
Elgin Baptist Church,SC005321,Moray,IV30 6UF,57.63477207,-3.32035311,S02002086,S01011114
"St Giles & St Columbas Church of Scotland, Elgin",SC015164,Moray,IV30 6XF,57.63287517,-3.31790601,S02002086,S01011114
Laich Of Moray Trust Fund,SC016625,Moray,IV30 6UG,57.63406849,-3.32062904,S02002086,S01011114
Fogwatt Public Hall,SC003992,Moray,IV30 6EN,57.63663351,-3.30110807,S02002085,S01011111
Keith and Strathisla Regeneration Partnership,SC004505,Moray,AB55 6NX,57.55891471,-2.94861699,S02002075,S01011057
Newmill Community Association,SC017921,Moray,AB55 6NX,57.55891471,-2.94861699,S02002075,S01011057
"Kirk of Keith: St Rufus, Botriphnie and Grange (Church of Scotland)",SC031791,Moray,AB55 6LE,57.55225138,-2.91549119,S02002075,S01011057
Keith & District Sports Development,SC047743,Moray,AB55 6UR,57.55834512,-2.94910357,S02002075,S01011057
Garmouth & Kingston Amenities Assoc,SC004777,Moray,IV32 7NQ,57.6653104,-3.10949671,S02002080,S01011085
Garmouth & Kingston Playgroup,SC010021,Moray,IV32 7NJ,57.66651695,-3.10609713,S02002080,S01011085
Garmouth & Kingston Hall Committee,SC020371,Moray,IV32 7LT,57.66468867,-3.1086899,S02002080,S01011085
The Garmouth and Kingston Heritage Trust,SC045887,Moray,IV32 7NJ,57.66651695,-3.10609713,S02002080,S01011085
1st Fochabers Rainbow Unit,SC047238,Moray,IV32 7NW,57.67432276,-3.11330984,S02002080,S01011085
Garmouth and Kingston Community Association,SC050545,Moray,IV32 7NQ,57.6653104,-3.10949671,S02002080,S01011085
