Name,Latitude,Longitude,Postcode,IntermediateZone2011Code
Cabrach Community Association,57.36697839,-3.02916424,AB54 4EU,S02002073
The Cabrach Trust,57.36697839,-3.02916424,AB54 4EU,S02002073
Dufftown and Mortlach Development Trust,57.67834401,-2.96141061,AB56 1UT,S02002078
Ekopia Social Investments Ltd,57.65406757,-3.59476859,IV36 3SH,S02002093
Finderne Development Trust,57.53398983,-3.66091171,IV36 2QN,S02002096
Fochabers Village Association,57.61367725,-3.09597088,IV32 7DU,S02002081
Forres Area Community Trust,57.61076239,-3.61202015,IV36 1PB,S02002094
Lossiemouth Community Development Trust,57.7209387,-3.28375127,IV31 6AE,S02002090
The Findhorn Village Conservation Company,57.65745403,-3.6068674,IV36 3YR,S02002093
The Three Kings Cullen Association,57.68834837,-2.81595412,AB56 4AF,S02002077
Tomintoul & Glenlivet Development Trust,57.25143118,-3.3799207,AB37 9ET,S02002073
