Name,Longitude,Latitude,postcode,Local authority
Hopeman Community Association Covid 19 Group,-3.434834,57.70624999999999,IV30 5SN,Moray
Portgordon Coronavirus Support,-3.0150178,57.66356589999999,AB56 5QW,Moray
Portgordon Corona Virus Support Group,-3.0150178,57.66356589999999,AB56 5QW,Moray
Covid-19 Mutual Aid Forres,-3.61998,57.60979099999999,IV36 1EE,Moray
Findhorn Neighbours and Volunteers,-3.607587699999999,57.65916499999999,IV36 3YW,Moray
Covid-19 Mutual Aid Kinloss,-3.563316,57.636228,IV36 3XJ,Moray
Miltonhill Covid 19 Mutual aid,-3.563316,57.636228,IV36 3XJ,Moray
Lossiemouth Community Council,-3.280325,57.72157899999999,IV31 6NS,Moray
Burghead and Cummingston Community Council,-3.489213,57.700232,IV30 5UH,Moray
Buckie Kindness Group,-2.967311,57.67739199999999,AB56 1XD,Moray
