name,postcode
Back Recreational Centre,HS2 0LT
Balallan Old School,HS2 9PN
Barvas and Brue Community Centre,HS2 0RA
Bayhead Bridge Centre,HS1 2EB
Bays of Harris Community Centre,HS3 3EH
Bernera Community Centre,HS2 9LT
Berneray Village Hall,HS6 5BJ
Breasclete Community Centre,HS2 9EA
Bridge Community Centre Youth and Community Group,HS1 2DU
Carinish Village Hall,HS6 5EJ
Carloway Community Centre,HS2 9EA
Castlebay Community Library,HS9 5XD
Castlebay Sports Centre,HS9 5ZE
Ceann na h-Àirigh,HS6 5JA
Citizens Advice Western Isles,HS1 2HP
Clan MacQuarrie Centre,HS2 0RX
Failte Centre,HS1 2DZ
Grianan Day Centre,HS1 2LD
Ionad Na Seann Sgoil,HS2 9BQ
Ionad Spòrs Eilean na Hearadh,HS3 3BG
Ionad Spòrs Leòdhais,HS1 2PZ
Ionad Stoodie,HS2 0PE
Laxdale Hall,HS1 2DX
Leverburgh Hall,HS5 3TS
Leverhulme Community Hub,HS5 3TS
Lionacleit Community Library,HS7 5PJ
Lochmaddy Community Hall,HS6 5AE
North Lochs Community Centre,HS2 9NU
North Tolsta Community Hall,HS2 0NH
Scaladale Centre,HS3 3AB
Scalpay Community Centre,HS4 3XX
Sgoil Lionacleit Sports Centre,HS7 5LA
Shawbost Old School,HS2 9BQ
Spors Nis,HS2 0XB
St. Columba’s Church Hall,HS2 0PA
Stoneybridge Hall,HS8 5SD
Stornoway Library,HS1 2DA
Stornoway Town Hall,HS1 2XF
Taigh Sgire Sholais,HS6 5BS
Talla na Mara,HS3 3AE
Tarbert Community Centre,HS3 3DG
Tarbert Community Library,HS3 3BG
The Shed,HS1 2BN
Tong Community Centre,HS2 0HJ
Tong Hall,HS2 0HS
Uig Community Centre,HS2 9JG
Vatersay Hall Cafe,HS9 5YW
Volunteer Centre Western Isles,HS3 3BG
