Name,Charity Number,Local authority,Postcode,Latitude,Longitude,IntermediateZone2011Code,DataZone2011Code
Southend Community Hall Committee,SC000421,Na h-Eileanan Siar,HS8 5SY,57.18712573,-7.39635334,S02001687,S01009017
Urras Eachdraidh Uibhist a'Deas,SC016426,Na h-Eileanan Siar,HS8 5SS,57.16511661,-7.37221638,S02001687,S01009017
Lochboisdale Amenity Trust Limited,SC027920,Na h-Eileanan Siar,HS8 5TH,57.15415767,-7.31569634,S02001687,S01009017
"Martins Memorial Church of Scotland, Stornoway",SC000753,Na h-Eileanan Siar,HS1 2NB,58.20884721,-6.38595465,S02001693,S01009041
William Mackenzie Trust,SC001598,Na h-Eileanan Siar,HS1 2JF,58.20961401,-6.38405579,S02001693,S01009041
Stornoway Gaelic Choir,SC007060,Na h-Eileanan Siar,HS1 2DD,58.20948186,-6.38841852,S02001693,S01009041
Uig Parish Church Of Scotland,SC007879,Na h-Eileanan Siar,HS1 2RW,58.20502795,-6.37645338,S02001693,S01009041
An Treas Roinn Innse Gall or Third Sector Hebrides,SC015053,Na h-Eileanan Siar,HS1 2ND,58.20881157,-6.38463826,S02001693,S01009041
Counselling & Family Mediation - Western Isles,SC016055,Na h-Eileanan Siar,HS1 2XB,58.20879426,-6.38618665,S02001693,S01009041
Stornoway Trust,SC016206,Na h-Eileanan Siar,HS1 2DD,58.20948186,-6.38841852,S02001693,S01009041
Lewis Museum Trust,SC019875,Na h-Eileanan Siar,HS1 2NQ,58.21048396,-6.38203326,S02001693,S01009041
Lewis Pipe Band,SC022972,Na h-Eileanan Siar,HS1 2QT,58.207476,-6.38215616,S02001693,S01009041
Stornoway Historical Society,SC023424,Na h-Eileanan Siar,HS1 2DB,58.20823087,-6.38792313,S02001693,S01009041
Air Training Corps No 1731 Isle Of Lewis Squadron Non Public Sports & Welfare Funds,SC024736,Na h-Eileanan Siar,HS1 2LS,58.21078111,-6.3841147,S02001693,S01009041
Young Musicians Hebrides,SC026059,Na h-Eileanan Siar,HS1 2QT,58.207476,-6.38215616,S02001693,S01009041
Volunteer Centre Western Isles,SC027472,Na h-Eileanan Siar,HS1 2DG,58.21087828,-6.38860815,S02001693,S01009041
Royal British Legion Scotland Lewis Branch,SC029058,Na h-Eileanan Siar,HS1 2LS,58.21078111,-6.3841147,S02001693,S01009041
Stornoway Christian Bookshop,SC030274,Na h-Eileanan Siar,HS1 2DR,58.20952664,-6.38764025,S02001693,S01009041
"Western Isles Carers, Users And Supporters Network",SC030468,Na h-Eileanan Siar,HS1 2ND,58.20881157,-6.38463826,S02001693,S01009041
Advocacy Western Isles,SC034774,Na h-Eileanan Siar,HS1 2XB,58.20879426,-6.38618665,S02001693,S01009041
Western Isles Foyer,SC035440,Na h-Eileanan Siar,HS1 2DX,58.2132991,-6.38647056,S02001693,S01009041
Stornoway Baptist Church,SC036812,Na h-Eileanan Siar,HS1 2JW,58.21092772,-6.38534263,S02001693,S01009041
Lochside Arena,SC040150,Na h-Eileanan Siar,HS1 2JF,58.20961401,-6.38405579,S02001693,S01009041
Volunteering Hebrides,SC041459,Na h-Eileanan Siar,HS1 2ND,58.20881157,-6.38463826,S02001693,S01009041
Stornoway Bowling Club,SC046089,Na h-Eileanan Siar,HS1 2NQ,58.21048396,-6.38203326,S02001693,S01009041
Lewis and Harris Piping Society,SC046414,Na h-Eileanan Siar,HS1 2RE,58.20561286,-6.38063142,S02001693,S01009041
Western Isles Cancer Care Initiative,SC047153,Na h-Eileanan Siar,HS1 2DG,58.21087828,-6.38860815,S02001693,S01009041
Samaritans of the Western Isles SCIO ,SC047197,Na h-Eileanan Siar,HS1 2DG,58.21087828,-6.38860815,S02001693,S01009041
Friends of The Nicolson,SC047574,Na h-Eileanan Siar,HS1 2NQ,58.21048396,-6.38203326,S02001693,S01009041
Lewis and Harris Youth Pipe Band Supporters Association,SC048105,Na h-Eileanan Siar,HS1 2QT,58.207476,-6.38215616,S02001693,S01009041
Neuro Hebrides,SC049276,Na h-Eileanan Siar,HS1 2ND,58.20881157,-6.38463826,S02001693,S01009041
The Lewis Carnival,SC049650,Na h-Eileanan Siar,HS1 2QN,58.20813892,-6.38327732,S02001693,S01009041
Western Isles Motocross Club,SC050663,Na h-Eileanan Siar,HS1 2JW,58.21092772,-6.38534263,S02001693,S01009041
Harris Voluntary Service,SC000788,Na h-Eileanan Siar,HS3 3BG,57.90172111,-6.81387236,S02001689,S01009024
Scalpay Community Assoc,SC002217,Na h-Eileanan Siar,HS4 3XU,57.87211546,-6.69888878,S02001689,S01009024
Tarbert Church Of Scotland,SC004787,Na h-Eileanan Siar,HS3 3BW,57.89931467,-6.77117523,S02001689,S01009024
Harris Charity Shop,SC010161,Na h-Eileanan Siar,HS3 3AB,58.00220153,-6.75689477,S02001689,S01009024
Harris Mutual Improvement Association,SC011149,Na h-Eileanan Siar,HS3 3DG,57.8977808,-6.79869621,S02001689,S01009024
Lewis & Harris Youth Clubs Association,SC016425,Na h-Eileanan Siar,HS3 3AB,58.00220153,-6.75689477,S02001689,S01009024
Western Isles Community Care Fora,SC023918,Na h-Eileanan Siar,HS3 3BG,57.90172111,-6.81387236,S02001689,S01009024
Buna Sports & Activities,SC024890,Na h-Eileanan Siar,HS3 3AL,57.93324023,-6.84698693,S02001689,S01009024
Church of Scotland - Presbytery Of Uist,SC027334,Na h-Eileanan Siar,HS3 3BW,57.89931467,-6.77117523,S02001689,S01009024
Comann Eachdraidh Na Hearadh,SC027694,Na h-Eileanan Siar,HS3 3AJ,57.92104219,-6.84885615,S02001689,S01009024
Catherine M Macleod (Harris) Trust,SC029785,Na h-Eileanan Siar,HS3 3DL,57.89971914,-6.80285812,S02001689,S01009024
Urras Na Hearadh,SC030154,Na h-Eileanan Siar,HS3 3DG,57.8977808,-6.79869621,S02001689,S01009024
North Harris Trust,SC033413,Na h-Eileanan Siar,HS3 3DB,57.89855263,-6.79612982,S02001689,S01009024
Rionnagan Og,SC043331,Na h-Eileanan Siar,HS3 3BG,57.90172111,-6.81387236,S02001689,S01009024
North Harris Free Church,SC045814,Na h-Eileanan Siar,HS3 3DL,57.89971914,-6.80285812,S02001689,S01009024
Feis Eilean na Hearadh (FENH),SC047506,Na h-Eileanan Siar,HS3 3AJ,57.92104219,-6.84885615,S02001689,S01009024
Comunn Eachdraidh Scalpaigh,SC048899,Na h-Eileanan Siar,HS4 3YF,57.86818547,-6.69304128,S02001689,S01009024
Crossroads Care Harris,SC050188,Na h-Eileanan Siar,HS3 3BG,57.90172111,-6.81387236,S02001689,S01009024
Eilean Glas Trust,SC034477,Na h-Eileanan Siar,HS4 3YG,57.8596606,-6.67984617,S02001689,S01009024
