Name,Latitude,Longitude,Postcode,IntermediateZone2011Code
Barra & Vatersay Community Ltd,56.91860283,-7.53154527,HS9 5YW,S02001687
Carloway Estate Trust (Urras Oighreachd Charlabhaigh),58.28003828,-6.76564111,HS2 9AU,S02001691
Comann Eachdraidh Sgire a Bhac,58.28849222,-6.30456079,HS2 0LH,S02001692
Great Bernera Community Development Trust,58.21141169,-6.78965879,HS2 9LX,S02001690
Kinloch Historical Society,58.10250272,-6.53167439,HS2 9PJ,S02001690
Leverhulme Community Hub,57.7713924,-7.01472366,HS5 3TS,S02001689
Morvern Community Development Company,56.99752757,-7.4971108,PA80 5XT,S02001687
North Uist Development Company Limited,57.56532932,-7.38454205,HS6 5EP,S02001688
Point & Sandwick Trust,58.20961401,-6.38405579,HS1 2JF,S02001693
Storas Uibhist,57.16511661,-7.37221638,HS8 5SS,S02001687
The Pairc Trust,58.08892704,-6.51736525,HS2 9QA,S02001690
The Stornoway Trust,58.20948186,-6.38841852,HS1 2DD,S02001693
Urras Oighreachd Ghabhsainn,58.44136894,-6.39267466,HS2 0SH,S02001691
West Harris Trust,57.85763392,-6.99478845,HS3 3AE,S02001689
