2011 scottish intermediate zone,Total
S02002112 : Ardrossan Central,115
S02002114 : Ardrossan North East,55
S02002113 : Ardrossan North West,40
S02002097 : Arran,325
S02002134 : Beith East and Rural,205
S02002133 : Beith West,40
S02002123 : Dalry East and Rural,220
S02002124 : Dalry West,60
S02002100 : Dreghorn,75
S02002125 : Fairlie and Rural,185
S02002102 : Irvine Bourtreehill,30
S02002101 : Irvine Broomlands,30
S02002105 : Irvine Castlepark North,55
S02002106 : Irvine Castlepark South,25
S02002108 : Irvine Central,270
S02002107 : Irvine East,30
S02002109 : Irvine Fullarton,145
S02002103 : Irvine Girdle Toll and Staneca,65
S02002104 : Irvine Perceton and Lawthorn,80
S02002099 : Irvine Tarryholme,180
S02002131 : Kilbirnie North,95
S02002132 : Kilbirnie South and Longbar,65
S02002122 : Kilwinning Central and North,125
S02002120 : Kilwinning Pennyburn,20
S02002121 : Kilwinning West and Blacklands,55
S02002119 : Kilwinning Whitehirst Park and Woodside,85
S02002128 : Largs Central and Cumbrae,205
S02002129 : Largs North,95
S02002127 : Largs South,105
S02002111 : Saltcoats Central,230
S02002116 : Saltcoats North East,55
S02002115 : Saltcoats North West,55
S02002130 : Skelmorlie and Rural,165
S02002098 : Springside and Rural,220
S02002110 : Stevenston Ardeer,90
S02002118 : Stevenston Hayocks,40
S02002117 : Stevenston North West,80
S02002126 : West Kilbride and Seamill,130
