Name,Charity Number,Local authority,Postcode,Latitude,Longitude,IntermediateZone2011Code,DataZone2011Code
Age Concern Largs,SC000021,North Ayrshire,KA30 8AZ,55.79503423,-4.86789516,S02002128,S01011326
Largs Clark Memorial Church of Scotland,SC002782,North Ayrshire,KA30 8BL,55.7938231,-4.87048669,S02002128,S01011326
Brisbane Evangelical Church,SC013844,North Ayrshire,KA30 8BB,55.79552364,-4.86772372,S02002128,S01011326
Largs Event SCIO,SC044501,North Ayrshire,KA30 8AB,55.7944931,-4.87028071,S02002128,S01011326
Playtime Early Years,SC000767,North Ayrshire,KA24 4BA,55.70563365,-4.72848903,S02002124,S01011306
Dalry Out Of School Care,SC030250,North Ayrshire,KA24 4BA,55.70563365,-4.72848903,S02002124,S01011306
Dalry Community Development Hub,SC045464,North Ayrshire,KA24 4BA,55.70563365,-4.72848903,S02002124,S01011306
Cunninghame Choir,SC001136,North Ayrshire,KA15 1HA,55.74634235,-4.6288494,S02002133,S01011350
Beith Playpark Action Group,SC031704,North Ayrshire,KA15 1EU,55.74790525,-4.63058005,S02002133,S01011350
2nd Beith Guide Unit,SC036476,North Ayrshire,KA15 1EZ,55.74636587,-4.63152813,S02002133,S01011350
102nd Ayrshire (Beith) Scout Group,SC001323,North Ayrshire,KA15 2HE,55.75280915,-4.62655923,S02002134,S01011355
Beith Cultural And Heritage Society,SC036758,North Ayrshire,KA15 2BD,55.75289725,-4.62916306,S02002134,S01011355
Barrmill and District Community Association,SC001557,North Ayrshire,KA15 1HP,55.72974399,-4.60125982,S02002134,S01011356
1st Dalry Guide Unit,SC036467,North Ayrshire,KA15 2JW,55.76899164,-4.5634395,S02002134,S01011356
1st Dalry (ayrshire) Brownie Unit,SC036471,North Ayrshire,KA15 2JW,55.76899164,-4.5634395,S02002134,S01011356
Beith Community Development Trust,SC043155,North Ayrshire,KA15 2LW,55.75859675,-4.56537129,S02002134,S01011356
Kilwinning: Abbey Church of Scotland,SC001856,North Ayrshire,KA13 6RU,55.65462801,-4.71930974,S02002119,S01011279
North Ayrshire Cancer Care,SC016259,North Ayrshire,KA13 6NQ,55.64912967,-4.72808467,S02002119,S01011279
Kilwinning Mansefield Trinity Church of Scotland,SC016499,North Ayrshire,KA13 6DY,55.65210654,-4.71870562,S02002119,S01011279
Whitehirst Park & Woodside Community Association,SC033872,North Ayrshire,KA13 6QJ,55.65309393,-4.72241471,S02002119,S01011279
2nd Kilbirnie (auld Kirk) Rainbow Unit,SC036468,North Ayrshire,KA13 6QH,55.65327538,-4.72193447,S02002119,S01011279
Beith Community Association,SC002082,North Ayrshire,KA15 2BQ,55.75269293,-4.63324537,S02002134,S01011352
Isle Of Arran Museum Trust,SC002089,North Ayrshire,KA27 8AT,55.57455936,-5.14565757,S02002097,S01011177
Corrie Parish Church of Scotland,SC005030,North Ayrshire,KA27 8BE,55.57549505,-5.14282848,S02002097,S01011177
Arran Brass,SC010609,North Ayrshire,KA27 8BQ,55.5737174,-5.13572035,S02002097,S01011177
Brodick Church Of Scotland,SC012017,North Ayrshire,KA27 8BW,55.57304416,-5.1430451,S02002097,S01011177
Isle Of Arran Museum Association,SC018586,North Ayrshire,KA27 8AT,55.57455936,-5.14565757,S02002097,S01011177
