Community,Mean SIMD Decile,Female life expectancy,Male life expectancy,Businesses per 1000 people,Local charities per 1000 people,Community spaces per 1000 people
Arran,7,86,78,72.0,10.87,1.11
Springside and Rural,4,84,75,77.0,2.1,0.35
Irvine Tarryholme,6,84,79,59.0,0.98,0.0
Dreghorn,5,79,77,22.0,0.58,0.87
Irvine Broomlands,2,90,75,11.0,0.74,0.37
Irvine Bourtreehill,2,76,76,13.0,2.24,0.9
Irvine Girdle Toll and Staneca,4,84,79,16.0,0.24,0.24
Irvine Perceton and Lawthorn,6,80,80,16.0,1.03,0.21
Irvine Castlepark North,2,77,72,16.0,0.57,0.57
Irvine Castlepark South,1,76,73,8.0,0.31,0.0
Irvine East,3,81,74,10.0,0.32,0.0
Irvine Central,2,77,76,83.0,3.08,2.15
Irvine Fullarton,1,74,69,52.0,2.17,0.72
Stevenston Ardeer,2,83,76,29.0,0.97,0.32
Saltcoats Central,1,76,69,62.0,1.09,0.54
Ardrossan Central,1,75,68,38.0,2.61,0.65
Ardrossan North West,6,84,78,13.0,2.91,0.0
Ardrossan North East,3,80,75,13.0,1.18,0.24
Saltcoats North West,7,85,78,16.0,2.55,0.57
Saltcoats North East,3,79,73,11.0,0.8,0.0
Stevenston North West,3,78,76,29.0,1.8,1.08
Stevenston Hayocks,2,79,73,10.0,1.77,0.5
Kilwinning Whitehirst Park and Woodside,7,86,81,17.0,2.03,0.0
Kilwinning Pennyburn,2,82,76,7.0,1.36,1.02
Kilwinning West and Blacklands,2,75,69,13.0,0.95,0.95
Kilwinning Central and North,3,82,74,33.0,0.8,0.8
Dalry East and Rural,5,77,74,77.0,0.7,0.7
Dalry West,4,79,74,21.0,2.07,0.35
Fairlie and Rural,6,84,83,64.0,3.13,1.04
West Kilbride and Seamill,6,85,79,28.0,3.66,0.86
Largs South,8,82,82,29.0,0.84,0.0
Largs Central and Cumbrae,4,82,77,43.0,3.99,1.26
Largs North,8,84,82,24.0,2.31,0.26
Skelmorlie and Rural,7,87,83,56.0,2.74,1.03
Kilbirnie North,3,85,76,30.0,3.81,0.95
Kilbirnie South and Longbar,2,80,71,17.0,1.79,0.26
Beith West,6,83,80,13.0,2.0,0.0
Beith East and Rural,6,79,79,53.0,1.79,0.77
