Name,Longitude,Latitude,postcode,Local authority
Gailes Coronavirus Care,-4.6571319,55.5924929,KA11 5AE,North Ayrshire
Vennell Gardens Community Hub,-4.6696364,55.61156690000001,KA12 8DG,North Ayrshire
Fullarton Community Hub,-4.6696364,55.61156690000001,KA12 8DG,North Ayrshire
North Ayrshire Council,-4.6696364,55.61156690000001,KA12 8DG,North Ayrshire
Irvine Clean Up Crew,-4.6696364,55.61156690000001,KA12 8DG,North Ayrshire
Irvine Youth Forum,-4.6696364,55.61156690000001,KA12 8DG,North Ayrshire
Millport Support Group,-4.9286167,55.7535865,KA28 0AY,North Ayrshire
Blacklands and Kilwinning Toon Corona Help,-4.703116899999999,55.65591999999999,KA13 7HD,North Ayrshire
Fullarton Connexions,-4.6763583,55.6137665,KA12 8BF,North Ayrshire
Fit Ayrshire Dads,-4.75946,55.6416731,KA20 3DR,North Ayrshire
Vineburgh Community Centre,-4.6661013,55.61935099999999,KA12 0RD,North Ayrshire
West Kilbride Corona Virus Community Support Group (WKCV),-4.857158,55.695149,KA23 9AW,North Ayrshire
