2011 scottish intermediate zone,Total
S02002205 : Abronhill North,60
S02002204 : Abronhill South,45
S02002188 : Airdrie North,195
S02002146 : Allanton - Newmains Rural,90
S02002209 : Balloch East,45
S02002208 : Balloch West,95
S02002212 : Balmalloch,70
S02002165 : Bellshill Central,120
S02002163 : Bellshill South,205
S02002168 : Birkenshaw,185
S02002185 : Cairnhill,225
S02002179 : Calderbank and Brownsburn,85
S02002190 : Caldercruix and Plains,145
S02002193 : Cardowan and Millerston,105
S02002152 : Carfin North,75
S02002154 : Carfin and Cleekhimin,90
S02002207 : Carrickstone,125
S02002181 : Chapelhall East,120
S02002180 : Chapelhall West,30
S02002195 : Chryston and Muirhead,175
S02002150 : Cleland,165
S02002176 : Cliftonville,230
S02002153 : Clydesdale and New Stevenston,95
S02002173 : Coatbridge West,90
S02002186 : Coatdyke and Whinhall,265
S02002143 : Coltness,40
S02002199 : Condorrat,65
S02002182 : Craigneuk Airdrie,80
S02002139 : Craigneuk Wishaw,110
S02002202 : Cumbernauld Central,265
S02002189 : Drumgelloch,70
S02002172 : Drumpellier and Langloan,40
S02002171 : Dundyvan,170
S02002166 : Fallside,475
S02002159 : Forgewood,110
S02002192 : Gartcosh and Marnock,200
S02002184 : Gartlea,35
S02002191 : Glenmavis and Greengairs,180
S02002178 : Greenend and Carnbroe,110
S02002200 : Greenfaulds,210
S02002149 : Harthill and Salsburgh,220
S02002164 : Hattonrigg,65
S02002160 : Holytown,255
S02002203 : Kildrum,50
S02002211 : Kilsyth Bogside,80
S02002210 : Kilsyth East and Croy,315
S02002170 : Kirkshaws,105
S02002169 : Kirkwood and Bargeddie,105
S02002156 : Ladywell,145
S02002161 : Milnwood,60
S02002197 : Moodiesburn East,65
S02002196 : Moodiesburn West,80
S02002158 : Motherwell North,35
S02002155 : Motherwell South,420
S02002157 : Motherwell West,45
S02002137 : Muirhouse,60
S02002138 : Muirhouse and Knowetop,300
S02002136 : Netherton and Kirkhill,110
S02002151 : Newarthill,75
S02002145 : Newmains,150
S02002162 : Orbiston,70
S02002135 : Overtown,90
S02002140 : Pather,85
S02002183 : Petersburn,65
S02002201 : Seafar,35
S02002177 : Shawhead and Whifflet,115
S02002147 : Shotts,125
S02002148 : Stane,80
S02002194 : Stepps,165
S02002175 : Sunnyside and Cliftonville,230
S02002187 : Thrashbush,60
S02002174 : Townhead,55
S02002167 : Viewpark,75
S02002206 : Village and Castlecary,285
S02002198 : Westfield,225
S02002144 : Wishaw East,25
S02002142 : Wishaw North,160
S02002141 : Wishaw South,205
