Name,Charity Number,Local authority,Postcode,Latitude,Longitude,IntermediateZone2011Code,DataZone2011Code
Cuparhead Playgroup,SC000018,North Lanarkshire,ML5 5LD,55.85384306,-4.0446921,S02002171,S01011575
Cumbernauld & Kilsyth Citizens Advice Bureau,SC000313,North Lanarkshire,G67 1ER,55.94748069,-3.99076935,S02002202,S01011745
Alpha Project (Cumbernauld),SC006392,North Lanarkshire,G67 1AX,55.95119415,-3.98508181,S02002202,S01011745
Cumbernauld & Kilsyth Nursery And Out Of School Care Limited,SC010344,North Lanarkshire,G67 1AX,55.95119415,-3.98508181,S02002202,S01011745
North Lanarkshire Women's Aid Ltd,SC019173,North Lanarkshire,G67 1AX,55.95119415,-3.98508181,S02002202,S01011745
Royal British Legion Scotland - Cumbernauld Branch,SC033417,North Lanarkshire,G67 1AX,55.95119415,-3.98508181,S02002202,S01011745
Cumbernauld Poverty Action,SC035818,North Lanarkshire,G67 1AX,55.95119415,-3.98508181,S02002202,S01011745
Cornerstone House Centre Ltd,SC041782,North Lanarkshire,G67 1EW,55.94745508,-3.98567517,S02002202,S01011745
Cumbernauld Old Parish Church Of Scotland,SC000877,North Lanarkshire,G68 0EJ,55.95665051,-4.02475231,S02002208,S01011778
Harthill Community Church,SC001201,North Lanarkshire,ML7 5NS,55.85883198,-3.76611301,S02002149,S01011441
Village Hall (Harthill & District),SC046948,North Lanarkshire,ML7 5PU,55.85970806,-3.75638997,S02002149,S01011441
Newmains Coltness Memorial Parish Church of Scotland,SC001381,North Lanarkshire,ML2 9AL,55.78759921,-3.86859774,S02002145,S01011424
Bonkle Parish Church of Scotland,SC006540,North Lanarkshire,ML2 9AF,55.78660312,-3.86791208,S02002145,S01011424
Coltness Memorial & Bonkle Churches Development Project,SC020911,North Lanarkshire,ML2 9AL,55.78759921,-3.86859774,S02002145,S01011424
3rd Cumbernauld Scouts Group 223rd Glasgow,SC001868,North Lanarkshire,G67 2SR,55.96431811,-3.9753715,S02002206,S01011767
Cumbernauld Congregation Of Jehovah’s Witnesses,SC018372,North Lanarkshire,G67 2SQ,55.9618851,-3.97970141,S02002206,S01011767
41st Cumbernauld Brownies,SC041818,North Lanarkshire,G67 2SJ,55.96248832,-3.97795383,S02002206,S01011767
1st Cumbernauld Brownies,SC042159,North Lanarkshire,G67 2SQ,55.9618851,-3.97970141,S02002206,S01011767
20th Cumbernauld Guides,SC049730,North Lanarkshire,G67 2SJ,55.96248832,-3.97795383,S02002206,S01011767
Treetops Playgroup,SC002003,North Lanarkshire,ML1 2LT,55.77225135,-3.96527542,S02002137,S01011371
Cumbernauld Historical Society,SC002606,North Lanarkshire,G68 9JE,55.95004022,-4.0283312,S02002209,S01011785
Victory Outreach Glasgow,SC050469,North Lanarkshire,G68 9JE,55.95004022,-4.0283312,S02002209,S01011785
Balloch Eastfield Toddlers,SC022562,North Lanarkshire,G68 9ND,55.94793331,-4.02365655,S02002209,S01011785
Airdrie St Columbas Parish Church of Scotland,SC002900,North Lanarkshire,ML6 9GE,55.85913552,-3.97824181,S02002185,S01011643
8th Airdrie Brownies,SC042099,North Lanarkshire,ML6 9GB,55.86066227,-3.9799813,S02002185,S01011643
Craigneuk Initiative Aftercare SCIO,SC044107,North Lanarkshire,ML6 6AW,55.86704213,-3.97667806,S02002185,S01011643
Bear Necessities in Airdrie,SC051215,North Lanarkshire,ML6 6BW,55.8653837,-3.97977411,S02002185,S01011643
Episcopal Church Of The Holy Name,SC003118,North Lanarkshire,G67 1AG,55.95153888,-3.9859964,S02002206,S01011770
1st Condorrat Boys Brigade Company,SC003244,North Lanarkshire,G68 9DZ,55.94614402,-4.01384216,S02002209,S01011782
231st Glasgow (1st Kilsyth) Explorer Scout Group,SC035231,North Lanarkshire,G68 9DZ,55.94614402,-4.01384216,S02002209,S01011782
Cumbernauld Vineyard Church,SC050341,North Lanarkshire,G68 9BJ,55.94855555,-4.01640179,S02002209,S01011782
Gartcosh Playgroup,SC003318,North Lanarkshire,G69 8LA,55.88572066,-4.08588017,S02002192,S01011694
Coatbridge Baptist Church,SC003679,North Lanarkshire,ML5 2HQ,55.86766942,-4.04767235,S02002174,S01011586
Airdrie Jackson Parish Church of Scotland,SC004083,North Lanarkshire,ML6 8SD,55.84374065,-3.94501937,S02002181,S01011623
Chapelhall Scout Group,SC035173,North Lanarkshire,ML6 8RJ,55.84480783,-3.9445935,S02002181,S01011623
Bargeddie Parish Church of Scotland,SC004209,North Lanarkshire,ML2 0NT,55.76529356,-3.9204995,S02002140,S01011391
Wishaw Old Parish Church of Scotland,SC011253,North Lanarkshire,ML2 0NT,55.76529356,-3.9204995,S02002140,S01011391
YMCA Wishaw,SC012060,North Lanarkshire,ML2 0NT,55.76529356,-3.9204995,S02002140,S01011391
Airdrie High Parish Church of Scotland,SC024357,North Lanarkshire,ML2 0PQ,55.76381959,-3.91532633,S02002140,S01011391
Craigneuk Community Sports Trust,SC050410,North Lanarkshire,ML2 0NT,55.76529356,-3.9204995,S02002140,S01011391
William Renwick's Trust,SC004355,North Lanarkshire,ML2 7AU,55.77508424,-3.92254369,S02002141,S01011395
Support For Ordinary Living,SC027852,North Lanarkshire,ML2 7BL,55.77373465,-3.91861884,S02002141,S01011395
Orchard Primary LCSC Support Group,SC047159,North Lanarkshire,ML2 8AT,55.771942,-3.92176717,S02002141,S01011395
Cumbernauld Kildrum Parish Church of Scotland,SC004564,North Lanarkshire,G67 2JE,55.9489582,-3.9732277,S02002203,S01011750
New Stevenston Wrangholm Parish Church of Scotland,SC004688,North Lanarkshire,ML1 3AA,55.78823772,-3.99381736,S02002156,S01011478
Motherwell St Marys Parish Church of Scotland,SC012233,North Lanarkshire,ML1 3AB,55.78751463,-3.99462574,S02002156,S01011478
Motherwell Photographic Society,SC035387,North Lanarkshire,ML1 3AL,55.78448575,-3.99408815,S02002156,S01011478
Wishaw United Free Church,SC005190,North Lanarkshire,ML2 0JJ,55.76847349,-3.92633111,S02002140,S01011389
North Lanarkshire Arts Association,SC031765,North Lanarkshire,ML2 7BX,55.77188439,-3.92487322,S02002140,S01011389
Chris's House,SC045583,North Lanarkshire,ML2 7NZ,55.77616403,-3.92761945,S02002140,S01011389
Go Together SCIO,SC050786,North Lanarkshire,ML2 7AY,55.77423614,-3.92447897,S02002140,S01011389
Newarthill and Carfin Parish Church of Scotland,SC005427,North Lanarkshire,ML1 5JN,55.81456563,-3.94241414,S02002151,S01011454
Airdrie Reformed Presbyterian Church,SC005665,North Lanarkshire,ML6 9HJ,55.85684931,-3.97957959,S02002185,S01011642
Make and Create Arts,SC051119,North Lanarkshire,ML6 9RS,55.85624251,-3.98098672,S02002185,S01011642
Cumbernauld Audio News,SC005924,North Lanarkshire,G67 4SH,55.92979069,-4.02736879,S02002199,S01011730
Newmains & District Old Age Pensioners Assoc,SC005990,North Lanarkshire,ML2 9BY,55.79477121,-3.87505095,S02002145,S01011421
Ebenezer Congregational Church,SC006252,North Lanarkshire,ML5 4TH,55.84938127,-3.99902469,S02002178,S01011611
13th Coatbridge Guides,SC041078,North Lanarkshire,ML5 4TQ,55.84970541,-3.99843428,S02002178,S01011611
