Community,Mean SIMD Decile,Female life expectancy,Male life expectancy,Businesses per 1000 people,Local charities per 1000 people,Community spaces per 1000 people
Overtown,5,81,76,26.0,1.72,0.57
Netherton and Kirkhill,5,77,74,32.0,1.46,0.0
Muirhouse,4,81,74,14.0,0.48,0.24
Muirhouse and Knowetop,5,85,80,44.0,1.17,0.15
Craigneuk Wishaw,1,73,65,23.0,1.26,0.63
Pather,3,78,73,22.0,2.56,0.51
Wishaw South,3,77,71,42.0,1.23,0.21
Wishaw North,4,81,74,26.0,0.99,0.0
Coltness,4,82,79,11.0,0.53,0.27
Wishaw East,6,86,80,9.0,2.18,0.0
Newmains,2,77,74,27.0,1.81,0.18
Allanton - Newmains Rural,5,81,74,24.0,0.78,0.26
Shotts,4,79,74,29.0,1.62,0.0
Stane,3,81,73,28.0,1.04,1.38
Harthill and Salsburgh,3,79,75,38.0,1.36,0.34
Cleland,5,81,76,32.0,0.57,0.57
Newarthill,4,79,76,25.0,0.67,0.67
Carfin North,4,77,75,19.0,0.5,0.0
Clydesdale and New Stevenston,4,82,76,26.0,0.0,0.28
Carfin and Cleekhimin,4,81,74,17.0,0.74,0.56
Motherwell South,2,76,71,113.0,3.5,0.54
Ladywell,9,84,82,33.0,1.81,0.0
Motherwell West,4,78,75,11.0,0.74,0.0
Motherwell North,3,76,71,12.0,1.0,0.33
Forgewood,3,76,70,23.0,0.83,0.21
Holytown,4,80,77,49.0,0.19,0.76
Milnwood,4,80,75,12.0,0.62,0.21
Orbiston,3,78,74,14.0,0.2,0.2
Bellshill South,3,78,73,45.0,1.09,0.44
Hattonrigg,6,77,75,27.0,0.41,0.0
Bellshill Central,3,78,73,35.0,0.29,0.59
Fallside,6,77,72,95.0,0.8,0.2
Viewpark,2,77,73,13.0,0.7,0.17
Birkenshaw,7,83,77,40.0,1.29,0.43
Kirkwood and Bargeddie,3,78,73,17.0,0.65,0.0
Kirkshaws,3,80,72,18.0,1.19,0.17
Dundyvan,3,79,75,27.0,0.96,0.48
Drumpellier and Langloan,4,79,72,16.0,2.88,0.0
Coatbridge West,3,79,75,22.0,0.74,0.25
Townhead,2,77,73,12.0,1.71,0.43
Sunnyside and Cliftonville,4,78,76,59.0,2.57,0.0
Cliftonville,4,76,72,81.0,1.4,1.75
Shawhead and Whifflet,2,79,74,35.0,1.52,0.3
Greenend and Carnbroe,5,79,74,18.0,0.8,0.16
Calderbank and Brownsburn,4,79,77,36.0,1.26,0.0
Chapelhall West,4,77,76,12.0,0.0,0.0
Chapelhall East,6,81,80,29.0,1.2,0.72
Craigneuk Airdrie,6,83,83,24.0,0.59,0.0
Petersburn,2,76,72,17.0,0.79,0.26
Gartlea,2,76,74,12.0,0.33,0.33
Cairnhill,7,84,77,49.0,1.73,0.0
Coatdyke and Whinhall,4,79,73,48.0,2.16,0.54
Thrashbush,3,77,69,12.0,0.39,0.39
Airdrie North,1,76,74,38.0,1.17,0.39
Drumgelloch,4,79,74,16.0,0.69,0.23
Caldercruix and Plains,3,79,72,24.0,0.67,0.5
Glenmavis and Greengairs,5,83,78,30.0,2.01,0.17
Gartcosh and Marnock,7,79,77,26.0,1.45,0.4
Cardowan and Millerston,6,83,81,21.0,0.6,0.2
Stepps,8,87,83,51.0,1.23,0.92
Chryston and Muirhead,6,83,77,43.0,0.73,0.24
Moodiesburn West,4,79,76,23.0,0.58,0.87
Moodiesburn East,7,83,78,19.0,1.15,0.0
Westfield,7,85,80,35.0,0.47,0.47
Condorrat,6,81,78,14.0,0.66,0.44
Greenfaulds,6,84,76,56.0,1.07,0.27
Seafar,3,80,74,11.0,0.6,0.3
Cumbernauld Central,2,79,74,58.0,1.53,1.09
Kildrum,4,82,76,13.0,1.27,0.25
Abronhill South,4,80,73,12.0,1.62,0.27
Abronhill North,5,84,76,15.0,0.73,0.24
Village and Castlecary,4,80,75,78.0,2.18,0.27
Carrickstone,8,81,81,26.0,1.23,0.0
Balloch West,9,85,80,28.0,0.29,0.0
Balloch East,6,86,79,17.0,2.31,0.39
Kilsyth East and Croy,6,80,77,38.0,0.96,0.6
Kilsyth Bogside,4,82,74,25.0,1.56,0.31
Balmalloch,4,82,74,20.0,1.95,0.0
