Name,Charity Number,Local authority,Postcode,Latitude,Longitude,IntermediateZone2011Code,DataZone2011Code
Stromness Pre School Playgroup,SC000214,Orkney Islands,KW16 3AH,58.97062276,-3.29436889,S02002213,S01011806
Stromness Church Of Scotland: Orkney,SC003099,Orkney Islands,KW16 3JQ,58.96727422,-3.28610443,S02002213,S01011806
Stromness Drama Club,SC031762,Orkney Islands,KW16 3LH,58.97242787,-3.29168843,S02002213,S01011806
Stenness Parent & Toddler Group,SC038816,Orkney Islands,KW16 3EX,58.98091134,-3.28396831,S02002213,S01011806
Stromness Community Garden,SC043754,Orkney Islands,KW16 3JQ,58.96727422,-3.28610443,S02002213,S01011806
Rousay Church Of Scotland,SC001078,Orkney Islands,KW17 2PU,59.13180628,-2.98737075,S02002218,S01011830
Shapinsay Church Of Scotland,SC006097,Orkney Islands,KW17 2EA,59.0337538,-2.85727981,S02002218,S01011830
Shapinsay Lunch/Friendship Club,SC023998,Orkney Islands,KW17 2DY,59.04170129,-2.90233554,S02002218,S01011830
Triangle Club,SC024243,Orkney Islands,KW17 2PU,59.13180628,-2.98737075,S02002218,S01011830
Shapinsay Community Association,SC026881,Orkney Islands,KW17 2EA,59.0337538,-2.85727981,S02002218,S01011830
"Shapinsay Heritage, Arts and Crafts",SC030206,Orkney Islands,KW17 2DZ,59.0451755,-2.85620487,S02002218,S01011830
Shapinsay Development Trust,SC034818,Orkney Islands,KW17 2DY,59.04170129,-2.90233554,S02002218,S01011830
Shapinsay Brownie And Rainbow Unit,SC038546,Orkney Islands,KW17 2DY,59.04170129,-2.90233554,S02002218,S01011830
"Rousay, Egilsay and Wyre Development Trust",SC040407,Orkney Islands,KW17 2PR,59.15955975,-2.98463809,S02002218,S01011830
"Rousay,Egilsay & Wyre Heritage SCIO",SC048300,Orkney Islands,KW17 2PR,59.15955975,-2.98463809,S02002218,S01011830
1st Rousay Guide Unit,SC049719,Orkney Islands,KW17 2PU,59.13180628,-2.98737075,S02002218,S01011830
1ST ROUSAY RAINBOW AND BROWNIE UNIT,SC049744,Orkney Islands,KW17 2PU,59.13180628,-2.98737075,S02002218,S01011830
Egilsay Community Association SCIO,SC050506,Orkney Islands,KW17 2QD,59.14941494,-2.93183014,S02002218,S01011830
St Mary The Virgin Episcopal Church: Orkney,SC001441,Orkney Islands,KW16 3BA,58.96251877,-3.3000119,S02002213,S01011805
Pier Arts Centre,SC014815,Orkney Islands,KW16 3AA,58.96335035,-3.29769572,S02002213,S01011805
Orkney Folk Festival,SC027280,Orkney Islands,KW16 3BH,58.96407259,-3.29553182,S02002213,S01011805
Orkney Unit (No 521) of the Sea Cadet Corps,SC028020,Orkney Islands,KW16 3BZ,58.96062317,-3.30006224,S02002213,S01011805
The George Mackay Brown Fellowship,SC039924,Orkney Islands,KW16 3BU,58.96166351,-3.29931895,S02002213,S01011805
Tackling Household Affordable Warmth Orkney,SC045272,Orkney Islands,KW16 3AP,58.96200884,-3.30070561,S02002213,S01011805
West Side Cinema,SC046126,Orkney Islands,KW16 3BY,58.96119001,-3.29996187,S02002213,S01011805
Grace Church Orkney,SC047937,Orkney Islands,KW16 3AD,58.96465898,-3.29706671,S02002213,S01011805
Orkney Yole Association,SC048254,Orkney Islands,KW16 3AP,58.96200884,-3.30070561,S02002213,S01011805
Sandwick Community Association,SC002339,Orkney Islands,KW17 2JH,59.08208338,-3.28521649,S02002214,S01011811
Kirkwall Congregation Of Jehovahs Witnesses,SC009093,Orkney Islands,KW17 2JH,59.08208338,-3.28521649,S02002214,S01011811
The St Magnus Church Birsay Trust ,SC026084,Orkney Islands,KW17 2LT,59.13333118,-3.28607063,S02002214,S01011811
Birsay Heritage Trust,SC027642,Orkney Islands,KW17 2LY,59.12717966,-3.30401066,S02002214,S01011811
Birsay Community Association,SC028453,Orkney Islands,KW17 2LR,59.12097108,-3.270759,S02002214,S01011811
1st Stromness Brownies,SC031100,Orkney Islands,KW16 3LT,59.07174696,-3.31378646,S02002214,S01011811
1st Dounby Guides Unit,SC032284,Orkney Islands,KW17 2HZ,59.06473281,-3.21041342,S02002214,S01011811
Orkney Kidney Patient Association,SC033803,Orkney Islands,KW17 2HR,59.0872745,-3.2493735,S02002214,S01011811
Orkney Clay Pigeon Club,SC040830,Orkney Islands,KW17 2HS,59.07415219,-3.24383755,S02002214,S01011811
Orkney Association of Youth Groups,SC045408,Orkney Islands,KW16 3JD,59.05261813,-3.28041958,S02002214,S01011811
Swandro-Orkney Coastal Archaeology Trust,SC047002,Orkney Islands,KW17 2LR,59.12097108,-3.270759,S02002214,S01011811
Stromness Baptist Church SCIO,SC050827,Orkney Islands,KW17 2LT,59.13333118,-3.28607063,S02002214,S01011811
Soulisquoy Printmakers Ltd,SC002529,Orkney Islands,KW17 2JS,59.02145667,-3.18955855,S02002214,S01011810
Hoy Trust,SC003579,Orkney Islands,KW17 2JR,59.03287615,-3.17728612,S02002214,S01011810
Evie Church Of Scotland,SC005062,Orkney Islands,KW17 2PA,59.05429264,-3.10632909,S02002214,S01011810
Spiritual Assembly Of The Baha'is Of Orkney - Mainland East,SC008149,Orkney Islands,KW17 2NZ,59.06049889,-3.07425227,S02002214,S01011810
Rendall Community Assoc,SC011413,Orkney Islands,KW17 2PA,59.05429264,-3.10632909,S02002214,S01011810
Orkney Field Club (SCIO),SC012459,Orkney Islands,KW17 2PA,59.05429264,-3.10632909,S02002214,S01011810
John Tait Trust,SC013706,Orkney Islands,KW17 2EX,59.05077116,-3.07006112,S02002214,S01011810
Harray Community Association,SC013811,Orkney Islands,KW17 2LE,59.03902426,-3.21278552,S02002214,S01011810
Rendall Church Of Scotland,SC016806,Orkney Islands,KW17 2PA,59.05429264,-3.10632909,S02002214,S01011810
Lodge Odin No 917 Benevolent Fund,SC022398,Orkney Islands,KW17 2LQ,59.05017086,-3.19334033,S02002214,S01011810
Dounby Centre Committee,SC027199,Orkney Islands,KW17 2LQ,59.05017086,-3.19334033,S02002214,S01011810
Stromness Shopping Week Association,SC038922,Orkney Islands,KW17 2JR,59.03287615,-3.17728612,S02002214,S01011810
West Mainland Bowling Club SCIO,SC043715,Orkney Islands,KW17 2JA,59.06269591,-3.22361265,S02002214,S01011810
Orkney Pilgrimage SCIO,SC047008,Orkney Islands,KW17 2JU,59.01888337,-3.15735371,S02002214,S01011810
1st Kirkwall Company Boys' Brigade SCIO,SC047602,Orkney Islands,KW17 2EX,59.05077116,-3.07006112,S02002214,S01011810
Orkney RDA (SCIO),SC049013,Orkney Islands,KW17 2ET,59.02809804,-3.07174317,S02002214,S01011810
The Hoy Trust SCIO,SC049348,Orkney Islands,KW17 2JR,59.03287615,-3.17728612,S02002214,S01011810
1st Dounby Rainbow Unit,SC049378,Orkney Islands,KW17 2JU,59.01888337,-3.15735371,S02002214,S01011810
Harray Community Association SCIO,SC050120,Orkney Islands,KW17 2LE,59.03902426,-3.21278552,S02002214,S01011810
Orkney Wireless Museum,SC002982,Orkney Islands,KW15 1LB,58.98420583,-2.9597593,S02002216,S01011821
Orkney Disability Forum,SC019325,Orkney Islands,KW15 1AB,58.98346807,-2.96114802,S02002216,S01011821
Crossroads Care Orkney Limited,SC022786,Orkney Islands,KW15 1GU,58.98302383,-2.96170977,S02002216,S01011821
Relationships Scotland Orkney,SC023164,Orkney Islands,KW15 1GU,58.98302383,-2.96170977,S02002216,S01011821
Orkney Zerowaste,SC036522,Orkney Islands,KW15 1LB,58.98420583,-2.9597593,S02002216,S01011821
South Ronaldsay & Burray Church Of Scotland,SC003298,Orkney Islands,KW17 2RN,58.76259817,-2.96069361,S02002218,S01011828
Orkney Seal Rescue,SC004488,Orkney Islands,KW17 2TJ,58.80821573,-2.94095764,S02002218,S01011828
Cromarty Hall Trust,SC008281,Orkney Islands,KW17 2SP,58.8254346,-2.95900287,S02002218,S01011828
