2011 scottish intermediate zone,Total
S02002227 : Aberuthven and Almondbank,330
S02002246 : Alyth,115
S02002223 : Auchterarder,185
"S02002247 : Blair Atholl, Strathardle and Glenshee",320
S02002248 : Blairgowrie East (Rattray),65
S02002249 : Blairgowrie West,285
S02002229 : Bridge of Earn and Abernethy,180
S02002232 : Burghmuir and Oakbank,150
S02002239 : Central and South Inch,645
"S02002224 : Comrie, Gilmerton and St Fillans",245
S02002245 : Coupar Angus and Meigle,240
S02002225 : Crieff North,130
S02002226 : Crieff South,185
S02002243 : Errol and Inchture,155
S02002240 : Gannochy and Walnut Grove,145
"S02002228 : Glenfarg, Dunning and Rhynd",335
"S02002242 : Guildtown, Balbeggie and St Madoes",200
"S02002235 : Hillyland, Tulloch and Inveralmond",255
"S02002244 : Invergowrie, Longforgan and Abernyte",155
S02002220 : Kinross,200
S02002234 : Letham,55
S02002251 : Luncarty and Dunkeld,270
S02002221 : Milnathort and Crook of Devon,260
S02002230 : Moncrieffe and Friarton,190
S02002237 : Muirton,75
"S02002222 : Muthill, Greenloaning and Gleneagles",255
S02002238 : North Inch,160
S02002236 : North Muirton and Old Scone,90
S02002252 : Pitlochry,235
"S02002219 : Powmill, Cleish and Scotlandwell",235
S02002253 : Rannoch and Aberfeldy,375
S02002241 : Scone,100
S02002250 : Stanley and Murthly,190
"S02002231 : Viewlands, Craigie and Wellshill",190
S02002233 : Western Edge,70
