Name,Charity Number,Local authority,Postcode,Latitude,Longitude,IntermediateZone2011Code,DataZone2011Code
Trinity Gask and Kinkell Church (Church of Scotland),SC000004,Perth and Kinross,PH3 1EB,56.32314449,-3.72417149,S02002227,S01011871
Mid Strathearn Church of Scotland,SC002209,Perth and Kinross,PH7 3PN,56.36424428,-3.68372585,S02002227,S01011871
Aberuthven Village Hall Trust,SC002344,Perth and Kinross,PH3 1HB,56.31900446,-3.65550677,S02002227,S01011871
Auchterarder Rainbows Unit,SC035809,Perth and Kinross,PH3 1NJ,56.30002697,-3.74640274,S02002227,S01011871
Auchterarder And District Community Trust,SC038904,Perth and Kinross,PH3 1GW,56.32248157,-3.64812165,S02002227,S01011871
Girlguiding Blairgowrie and Rattray District,SC048314,Perth and Kinross,PH3 1NJ,56.30002697,-3.74640274,S02002227,S01011871
Perthshire Art Association,SC000045,Perth and Kinross,PH2 7DA,56.39474962,-3.41170909,S02002240,S01011945
Perth: Craigie and Moncreiffe Church of Scotland,SC001330,Perth and Kinross,PH2 7EU,56.40249881,-3.41687345,S02002240,S01011945
Perth St Leonard's-in-the-Fields Church of Scotland,SC002919,Perth and Kinross,PH2 7BS,56.39681013,-3.40987356,S02002240,S01011945
Perth Street Pastors ,SC039619,Perth and Kinross,PH2 7BZ,56.39825264,-3.40231181,S02002240,S01011945
Ardler Kettins & Meigle Parish Church Of Scotland,SC000098,Perth and Kinross,PH10 7DY,56.59622923,-3.31927938,S02002248,S01011987
Rattray Parish Church of Scotland,SC000323,Perth and Kinross,PH10 7DG,56.59575924,-3.32629879,S02002248,S01011987
Blairgowrie Congregation Of Jehovahs Witnesses,SC006048,Perth and Kinross,PH10 7DX,56.59731993,-3.3214836,S02002248,S01011987
Kinclaven Church of Scotland,SC009251,Perth and Kinross,PH10 7DB,56.59418993,-3.3285401,S02002248,S01011987
Blairgowrie Evangelical Church,SC000136,Perth and Kinross,PH10 6HN,56.59418162,-3.34020051,S02002249,S01011992
St Catharines Episcopal Church: Blairgowrie,SC003473,Perth and Kinross,PH10 6EY,56.59290261,-3.34132777,S02002249,S01011992
Friends of Blairgowrie Community Hospital,SC004061,Perth and Kinross,PH10 6SY,56.59386347,-3.34802271,S02002249,S01011992
"Blairgowrie, Rattray & District Local History Trust",SC019703,Perth and Kinross,PH10 6HL,56.59447806,-3.34187218,S02002249,S01011992
Blairgowrie Parish Church Of Scotland,SC033757,Perth and Kinross,PH10 6HL,56.59447806,-3.34187218,S02002249,S01011992
Perth Grammar Community Trust,SC040178,Perth and Kinross,PH10 6SY,56.59386347,-3.34802271,S02002249,S01011992
The Macmillan Gift Shop Association,SC040203,Perth and Kinross,PH10 6EZ,56.59317471,-3.34192369,S02002249,S01011992
Blairgowrie and Rattray Community Football Club ,SC046291,Perth and Kinross,PH10 6DE,56.59195852,-3.34139203,S02002249,S01011992
Blairgowrie Stroke Club,SC046341,Perth and Kinross,PH10 6HP,56.59103048,-3.34246649,S02002249,S01011992
Blairgowrie Town Hall Association (SCIO),SC028287,Perth and Kinross,PH10 6EX,56.59255392,-3.34116885,S02002249,S01011992
Ardoch Parish Church Of Scotland,SC000139,Perth and Kinross,FK15 9PL,56.26154648,-3.88087041,S02002222,S01011848
University Of The Third Age (Perth) - U3a Perth,SC008302,Perth and Kinross,FK15 9LG,56.29183193,-3.84369042,S02002222,S01011848
Braco and Greenloaning Babies and Toddlers Group,SC022965,Perth and Kinross,FK15 9QJ,56.2643298,-3.87984442,S02002222,S01011848
Live Active Leisure Limited,SC000175,Perth and Kinross,PH1 5HS,56.40193989,-3.43655666,S02002238,S01011936
Home-Start Perth and Kinross LTD,SC000986,Perth and Kinross,PH1 5PP,56.39854445,-3.43492191,S02002238,S01011936
Perth And Kinross Association Of Voluntary Service Limited,SC005561,Perth and Kinross,PH1 5PP,56.39854445,-3.43492191,S02002238,S01011936
St Marys Episcopal Church: Kirriemuir,SC005902,Perth and Kinross,PH1 5HJ,56.40147562,-3.43785167,S02002238,S01011936
Crossroads (Perth & Kinross) Care Attendant Scheme,SC009521,Perth and Kinross,PH1 5PP,56.39854445,-3.43492191,S02002238,S01011936
St Ninian's Cathedral,SC010656,Perth and Kinross,PH1 5PP,56.39854445,-3.43492191,S02002238,S01011936
The Y Centre Limited,SC031185,Perth and Kinross,PH1 5LW,56.39890889,-3.42826013,S02002238,S01011936
Friends Of Perth & Kinross Archive,SC031537,Perth and Kinross,PH1 5HJ,56.40147562,-3.43785167,S02002238,S01011936
St Columba's Episcopal Church Stanley,SC037076,Perth and Kinross,PH1 5HJ,56.40147562,-3.43785167,S02002238,S01011936
Perth Tennis Club,SC044375,Perth and Kinross,PH1 5HS,56.40193989,-3.43655666,S02002238,S01011936
"Support, Help and Integration in Perthshire (SCIO)",SC047929,Perth and Kinross,PH1 5PP,56.39854445,-3.43492191,S02002238,S01011936
Perth Road Runners,SC048512,Perth and Kinross,PH1 5HS,56.40193989,-3.43655666,S02002238,S01011936
19th Perth Rainbow unit,SC050699,Perth and Kinross,PH1 5HJ,56.40147562,-3.43785167,S02002238,S01011936
Perth Cathedral Operatic Group,SC000193,Perth and Kinross,PH1 3JJ,56.40747195,-3.48710216,S02002233,S01011908
"Kinnoull Parish Church of Scotland, Perth",SC007509,Perth and Kinross,PH1 2SS,56.40434061,-3.48147027,S02002233,S01011908
Alyth Parish Church Of Scotland,SC000540,Perth and Kinross,PH11 8HB,56.62092179,-3.22227585,S02002246,S01011978
Alyth Halls Committee,SC017148,Perth and Kinross,PH11 8AR,56.61892743,-3.23317878,S02002246,S01011978
