Name,Latitude,Longitude,Postcode,IntermediateZone2011Code
Alyth Development Trust,56.62089792,-3.23560613,PH11 8AX,S02002246
Ardoch Development Trust,56.26418296,-3.87827095,FK15 9PN,S02002222
Blairgowrie and Rattray Development Trust,56.59255587,-3.33765131,PH10 6AG,S02002249
Breadalbane Development Trust,56.59309858,-4.07636445,PH15 2LW,S02002253
Crieff Community Trust,56.37578073,-3.84296694,PH7 4BE,S02002225
Forward Coupar Angus,56.54341972,-3.26630772,PH13 9DG,S02002245
Glenfarg Community Hall Group,56.27868319,-3.4002089,PH2 9NZ,S02002228
Meigle and Ardler Community Development Trust,56.58976819,-3.16465158,PH12 8QN,S02002245
Mount Blair Community Development Trust,56.79840604,-3.43048194,PH10 7QD,S02002247
Muthill Village Trust,56.33349096,-3.82915113,PH5 2AS,S02002222
Stanley Development Trust,56.48518751,-3.4458077,PH1 4QX,S02002250
Strathmore & the Glens Rural Partnership,56.59273401,-3.33946527,PH10 6ET,S02002249
