Name,Longitude,Latitude,postcode,Local authority
Murthly Area Group,-3.2199408,56.4244492,PH2 7SX,Perth and Kinross
Pitlochry & Moulin Community Council Coronavirus Support Group,-3.729710999999999,56.704361,PH16 5HH,Perth and Kinross
Comrie Community Council ,-3.9514784,56.35033010000001,PH6 2JE,Perth and Kinross
Dunkeld & Birnam Community Council,-3.5781623,56.5569582,PH8 0DP,Perth and Kinross
Covid 19 support Aberfeldy,-3.866969,56.621752,PH15 2AY,Perth and Kinross
Kinross Kindness,-3.4229,56.206132,KY13 8GP,Perth and Kinross
"Covid-19 Mutual Aid Perth, Scotland",-3.4308381,56.394994,PH2 8PA,Perth and Kinross
Abernyte Neighbourhood Coronavirus Support ,-3.2051971,56.47131820000001,PH14 9PZ,Perth and Kinross
Sdcc helpers,-3.401932,56.419432,PH2 6RZ,Perth and Kinross
Scone Village Association,-3.4026,56.44903,PH2 6AD,Perth and Kinross
