2011 scottish intermediate zone,Total
S02002286 : Bishopton,110
S02002291 : Bridge of Weir,190
S02002262 : Elderslie and Phoenix,230
S02002284 : Erskine Central,100
S02002283 : Erskine East and Inchinnan,105
S02002285 : Erskine West,60
S02002290 : Houston North,100
S02002289 : Houston South,55
S02002260 : Johnstone North East,180
S02002259 : Johnstone North West,115
S02002261 : Johnstone South East,50
S02002258 : Johnstone South West,90
S02002257 : Kilbarchan,65
S02002288 : Linwood North,50
S02002287 : Linwood South,115
S02002254 : Lochwinnoch,85
S02002274 : Paisley Central,685
S02002272 : Paisley Dykebar,50
S02002273 : Paisley East,90
S02002263 : Paisley Ferguslie,110
S02002266 : Paisley Foxbar,55
S02002277 : Paisley Gallowhill and Hillington,150
S02002269 : Paisley Glenburn East,50
S02002268 : Paisley Glenburn West,40
S02002278 : Paisley North,630
S02002275 : Paisley North East,190
S02002264 : Paisley North West,130
S02002276 : Paisley Ralston,120
S02002270 : Paisley South,80
S02002271 : Paisley South East,130
S02002267 : Paisley South West,60
S02002265 : Paisley West,70
S02002281 : Renfrew East,130
S02002282 : Renfrew North,900
S02002280 : Renfrew South,65
S02002279 : Renfrew West,195
S02002256 : Renfrewshire Rural North and Langbank,425
S02002255 : Renfrewshire Rural South and Howwood,195
