Name,Charity Number,Local authority,Postcode,Latitude,Longitude,IntermediateZone2011Code,DataZone2011Code
Lodge Prince Of Wales No 426 Benevolent Fund,SC000203,Renfrewshire,PA4 8TR,55.87700942,-4.38528528,S02002281,S01012181
Paisley: South (Church of Scotland),SC000558,Renfrewshire,PA6 7BZ,55.8597352,-4.54926296,S02002290,S01012234
Brookfield Toddler Group,SC033370,Renfrewshire,PA6 7LD,55.86203314,-4.54463481,S02002290,S01012234
Kidron Project ,SC049886,Renfrewshire,PA6 7BR,55.86080136,-4.54942872,S02002290,S01012234
New Templar Halls Trust,SC000615,Renfrewshire,PA1 1YH,55.84290257,-4.42426405,S02002274,S01012127
"William Adams' Trust, Oakshaw Trinity Church",SC003861,Renfrewshire,PA1 2DB,55.84582053,-4.42487711,S02002274,S01012127
"Oakshaw Trinity Church, Paisley",SC005362,Renfrewshire,PA1 2DB,55.84582053,-4.42487711,S02002274,S01012127
Paisley Abbey (Church of Scotland),SC007633,Renfrewshire,PA1 1JG,55.84487589,-4.4203613,S02002274,S01012127
Wynd Centre,SC008885,Renfrewshire,PA1 2DB,55.84582053,-4.42487711,S02002274,S01012127
Paisley YMCA,SC017206,Renfrewshire,PA1 2AF,55.84504476,-4.42593105,S02002274,S01012127
Shopmobility Paisley And District,SC023852,Renfrewshire,PA1 2AP,55.842836,-4.42718315,S02002274,S01012127
Paisley Housing Association Limited,SC035589,Renfrewshire,PA1 1HA,55.84622682,-4.42022164,S02002274,S01012127
Coats Memorial Preservation Trust,SC048033,Renfrewshire,PA1 1UL,55.84348792,-4.42329413,S02002274,S01012127
Paisley Museum Reimagined Ltd,SC049225,Renfrewshire,PA1 2AE,55.84495984,-4.4243123,S02002274,S01012127
Tannahill Arts Festival,SC050454,Renfrewshire,PA1 2DA,55.8455755,-4.42636351,S02002274,S01012127
Kilbarchan Civic Society,SC000804,Renfrewshire,PA10 2PR,55.8406314,-4.55853851,S02002256,S01012032
1st Lochwinnoch Boys Brigade Company,SC000822,Renfrewshire,PA12 4EH,55.80173014,-4.62208253,S02002254,S01012021
Langbank Playgroup,SC001446,Renfrewshire,PA14 6XD,55.92394809,-4.59734135,S02002256,S01012028
Langbank Village Centre,SC007190,Renfrewshire,PA14 6XL,55.92448922,-4.59171061,S02002256,S01012028
Langbank Church Of Scotland,SC015085,Renfrewshire,PA14 6XF,55.92368452,-4.59492251,S02002256,S01012028
Langbank Swingpark Regeneration,SC040212,Renfrewshire,PA14 6XF,55.92368452,-4.59492251,S02002256,S01012028
Greenock Burns Club (The Mother Club),SC050627,Renfrewshire,PA14 6XL,55.92448922,-4.59171061,S02002256,S01012028
Renfrewshire Citizens Advice Bureau,SC001738,Renfrewshire,PA1 3QS,55.84718,-4.41516867,S02002275,S01012134
"Sherwood Greenlaw Parish Church of Scotland, Paisley",SC007484,Renfrewshire,PA1 3PA,55.84730234,-4.41214087,S02002275,S01012134
Renfrewshire Leisure Limited,SC033898,Renfrewshire,PA1 1NB,55.84651571,-4.41512746,S02002275,S01012134
22nd Paisley Company Boys Brigade,SC035083,Renfrewshire,PA1 3PA,55.84730234,-4.41214087,S02002275,S01012134
The Healthy Heart Garden,SC038738,Renfrewshire,PA1 3RB,55.8483347,-4.4135788,S02002275,S01012134
Paisley Community Trust,SC045235,Renfrewshire,PA1 3QS,55.84718,-4.41516867,S02002275,S01012134
Fèis Phàislig,SC045342,Renfrewshire,PA1 3RG,55.84812372,-4.4115048,S02002275,S01012134
Old Paisley Society,SC001908,Renfrewshire,PA2 9EA,55.8347584,-4.44565286,S02002267,S01012093
Hope Hall Mission Church,SC002039,Renfrewshire,PA2 6DR,55.83391438,-4.42427943,S02002271,S01012108
Elliott Hunter Theatre Company ,SC032324,Renfrewshire,PA2 6ED,55.83413318,-4.42640114,S02002271,S01012108
Paisley Opera SCIO,SC050683,Renfrewshire,PA2 6EB,55.83437745,-4.42723086,S02002271,S01012108
Lodge Craigielea No1218 Benevolent & Annuity Fund,SC002895,Renfrewshire,PA1 2RD,55.84083457,-4.44879791,S02002264,S01012072
7th Paisley & District (JNI) Scout Group,SC002923,Renfrewshire,PA2 9AS,55.83425545,-4.46184739,S02002265,S01012078
Thomas Coats Memorial Choral Society,SC003075,Renfrewshire,PA11 3DX,55.84969347,-4.57137294,S02002291,S01012243
Howwood Parish Church Of Scotland,SC003487,Renfrewshire,PA5 8UG,55.84690256,-4.53479473,S02002256,S01012031
Brookfield Village Council,SC006461,Renfrewshire,PA5 8UB,55.84778085,-4.53055425,S02002256,S01012031
Inchinnan Parish Church (Church of Scotland),SC011778,Renfrewshire,PA5 8UZ,55.84879177,-4.53602018,S02002256,S01012031
St Johns Episcopal Church: Johnstone,SC015435,Renfrewshire,PA5 8UB,55.84778085,-4.53055425,S02002256,S01012031
Inchinnan Parish Church Building Fund,SC019275,Renfrewshire,PA5 8UZ,55.84879177,-4.53602018,S02002256,S01012031
"St Machar's Ranfurly Church, Church of Scotland, Bridge of Weir",SC003766,Renfrewshire,PA11 3HT,55.84988133,-4.58769845,S02002291,S01012242
Renfrew Trinity (Church of Scotland),SC003785,Renfrewshire,PA4 0RJ,55.86408663,-4.4036719,S02002280,S01012173
Renfrew Congregation Of Jehovahs Witnesses,SC005966,Renfrewshire,PA4 0RE,55.86408203,-4.40114636,S02002280,S01012173
Renfrew Christian Fellowship,SC008308,Renfrewshire,PA4 8BL,55.86286437,-4.40826315,S02002280,S01012173
Paisley: North Church (Church of Scotland),SC012650,Renfrewshire,PA4 0RD,55.86379171,-4.40082477,S02002280,S01012173
1st Johnstone Boys Brigade Company,SC004364,Renfrewshire,PA5 8AH,55.83649309,-4.51031905,S02002260,S01012048
Johnstone High Parish Church of Scotland,SC009588,Renfrewshire,PA5 8AH,55.83649309,-4.51031905,S02002260,S01012048
