Charity Name,Charity Number,Postcode,Latitude,Longitude,Main Operating Location
Stoneyburn Community Education Centre Assoc,SC000001,EH47 8BY,55.84607238,-3.6333608,West Lothian
Pencaitland Playgroup,SC000003,EH34 5DN,55.91148116,-2.88740259,East Lothian
Trinity Gask and Kinkell Church (Church of Scotland),SC000004,PH3 1EB,56.32314449,-3.72417149,Perth & Kinross
Alva Parish Church Of Scotland,SC000006,FK12 5AT,56.14991377,-3.80106671,Clackmannanshire
City Of Brechin Civic Trust,SC000008,DD9 6HB,56.73140292,-2.66135926,Angus
Forth Valley Medical Benevolent Trust,SC000014,FK2 7ES,56.00320758,-3.78664807,Falkirk
Water Of Leith Conservation Trust,SC000015,EH14 1TQ,55.92380779,-3.24727191,City of Edinburgh
Cuparhead Playgroup,SC000018,ML5 5LD,55.85384306,-4.0446921,North Lanarkshire
Age Concern Largs,SC000021,KA30 8AZ,55.79503423,-4.86789516,North Ayrshire
Kirkliston Community Centre Association,SC000028,EH29 9AQ,55.95746133,-3.40324294,City of Edinburgh
Eccles and Leitholm Parish Church (Church of Scotland),SC000031,TD12 4NE,55.64434067,-2.33454289,Scottish Borders
Melness Community Centre,SC000035,IV27 4YP,58.5219561,-4.42566575,Highland
"Newlands South Church of Scotland, Glasgow",SC000042,G43 2EG,55.82252241,-4.28029764,Glasgow City
Alvie and Insh Church of Scotland,SC000043,PH22 1QJ,57.20210722,-3.82921245,Highland
Perthshire Art Association,SC000045,PH2 7DA,56.39474962,-3.41170909,Perth & Kinross
"Central Church, Wesleyan Reform Union",SC000047,G81 1RJ,55.89925379,-4.39501736,Outwith Scotland
91st Glasgow (Netherlee) Scouts Group,SC000050,G76 7SY,55.78497848,-4.28818315,Glasgow City
Meadowbank Church of Scotland Edinburgh,SC000052,EH5 3EQ,55.97892299,-3.20319503,City of Edinburgh
Bonar Bridge Community Hall,SC000057,IV24 3EN,57.89379102,-4.34488238,Highland
Committed To Ending Abuse (CEA) Limited,SC000058,FK1 5RL,56.00136829,-3.78954603,Falkirk
Cambuslang Parish Church of Scotland,SC000061,G72 7EX,55.81945947,-4.16588326,South Lanarkshire
St Peters Episcopal Church: Fraserburgh,SC000068,AB43 8TN,57.66540516,-1.97505009,Aberdeenshire
Burns Association Glasgow And District,SC000071,PA8 7AU,55.89746829,-4.44513604,Glasgow City
Garthspool Evangelical Church,SC000079,ZE1 0QT,60.15164198,-1.15725887,Shetland Islands
St Luke's And Queen Street Church Of Scotland: Broughty Ferry,SC000088,DD5 1QA,56.47310116,-2.90635881,Dundee City
Huntly Stroke Club,SC000090,AB54 8PZ,57.446999,-2.79767455,Aberdeenshire
Rosemarkie Parent & Toddler Group,SC000093,IV10 8XB,57.58711093,-4.11430011,Highland
Ardler Kettins & Meigle Parish Church Of Scotland,SC000098,PH10 7DY,56.59622923,-3.31927938,Perth & Kinross
Bilston Miners Welfare Society & Social Club,SC000099,EH25 9SF,55.87003476,-3.18016835,Midlothian
National Trust For Scotland - Aberdeen & District Members Centre,SC000109,AB15 7PR,57.12456027,-2.14374395,Aberdeen
Shepherd Trust,SC000112,AB10 1RD,57.14589821,-2.10419814,Aberdeen
Larbert & Stenhousemuir Age Concern,SC000116,FK8 3EW,56.13299641,-4.20780119,Falkirk
Stirling Baptist Church,SC000117,FK8 1AU,56.11926454,-3.93742862,Stirling
Kennyhill Bequest Fund,SC000122,G2 6TS,55.86105111,-4.26086935,Glasgow City
Musselburgh: St Andrew's High Parish Church (Church of Scotland),SC000129,EH7 6RA,55.96382962,-3.13379368,East Lothian
Ochiltree Parish Church Of Scotland,SC000130,KA18 2PZ,55.46283748,-4.36238926,East Ayrshire
Blairgowrie Evangelical Church,SC000136,PH10 6HN,56.59418162,-3.34020051,Perth & Kinross
Ardoch Parish Church Of Scotland,SC000139,FK15 9PL,56.26154648,-3.88087041,Perth & Kinross
Kintyre Agricultural Society,SC000143,PA28 6PF,55.42298239,-5.63291901,Argyll & Bute
Seashells Nursery,SC000144,TD14 5DE,55.8712585,-2.09073016,Scottish Borders
Peebles Congregation Of Jehovahs Witnesses,SC000152,EH45 8AX,55.65140247,-3.18767768,Scottish Borders
The Laurandy Centre,SC000156,KW1 4QS,58.45033785,-3.08988893,Highland
Aberdeen Soroptimist Housing Society Ltd,SC000171,AB32 6FE,57.14586333,-2.27950308,Aberdeen
Live Active Leisure Limited,SC000175,PH1 5HS,56.40193989,-3.43655666,Perth & Kinross
"St Ayle Parish Church of Scotland, Anstruther and Cellardyke",SC000181,KY10 2LR,56.21560816,-2.72423051,Fife
Dundee Chamber Of Commerce -George R Donald Medal Fund,SC000190,DD1 3JA,56.46229987,-2.96038582,Dundee City
Perth Cathedral Operatic Group,SC000193,PH1 3JJ,56.40747195,-3.48710216,Perth & Kinross
Lodge Prince Of Wales No 426 Benevolent Fund,SC000203,PA4 8TR,55.87700942,-4.38528528,Renfrewshire
St Olaf Community Club,SC000205,ZE2 9RU,60.48234312,-1.36722693,Shetland Islands
Carluke Day Centre For The Elderly,SC000209,ML8 5DW,55.7368148,-3.83883644,South Lanarkshire
42nd Renfrewshire Kilmacolm Scouts Group,SC000210,PA13 4DH,55.89359636,-4.62184877,Inverclyde
Kirkoswald Parish Church Of Scotland,SC000213,KA26 9DZ,55.24158284,-4.84406436,South Ayrshire
Stromness Pre School Playgroup,SC000214,KW16 3AH,58.97062276,-3.29436889,Orkney Islands
Clyde Division RNR - Capt Maurice Clark's Trust,SC000215,G51 3JH,55.85478405,-4.31799519,Inverclyde
Miss Frances Sprot Fund,SC000218,TD6 9JP,55.51245707,-2.76715754,Scottish Borders
St Mary's Community Church,SC000219,PH13 9JF,56.52564815,-3.27593987,Dundee City
Stow St Mary Of Wedale & Heriot Church of Scotland,SC000228,TD1 2RD,55.69435706,-2.86371949,Scottish Borders
Dumfries & Galloway Arts Festival,SC000236,DG1 1JQ,55.07408338,-3.60756162,Dumfries & Galloway
Lizars & Wilson Trust,SC000237,TD8 6UX,55.51356446,-2.5937643,Scottish Borders
Dundee Sailors Home & Hostel,SC000253,DD1 4QB,56.45582713,-2.97699993,Dundee City
The Murray Usher Foundation,SC000266,DG6 4UR,54.84562263,-4.0416692,Dumfries & Galloway
Abbeyfield Monifieth Society Ltd,SC000267,DD5 4JN,56.48051096,-2.82012659,Angus
Vale of Leven Humane Society,SC000269,G83 0QR,55.99576435,-4.57933702,West Dunbartonshire
Sanday Church Of Scotland,SC000271,KW17 2BP,59.28324199,-2.45778647,City of Edinburgh
Islay Arts Assoc,SC000272,PA47 7SW,55.68024961,-6.50563942,Argyll & Bute
"Eastwood Parish Church of Scotland, Glasgow",SC000277,G43 1TW,55.81699075,-4.30126833,Glasgow City
Society Of Friends Of Dunblane Cathedral,SC000283,FK15 9JS,56.2100931,-3.96682441,Stirling
The Younger (Benmore) Trust,SC000284,PA23 8SG,56.07703244,-4.98920154,Argyll & Bute
"Wellington Church of Scotland, Glasgow",SC000289,G12 8LE,55.87304601,-4.28682414,Glasgow City
Shetland Church of Scotland,SC000293,ZE2 9AE,60.35186339,-1.01656744,Shetland Islands
Uplawmoor Playgroup,SC000297,G78 4AL,55.7660665,-4.49598391,East Renfrewshire
Drumchapel Community Business Ltd,SC000299,G15 8TE,55.90617358,-4.36811634,Glasgow City
St James Episcopal Church: Stonehaven,SC000301,AB12 3HD,57.10425252,-2.08024455,Aberdeenshire
Victoria Radio Network.,SC000302,KY2 5QL,56.11166592,-3.18155679,Fife
Decimal Club,SC000303,KY7 6HG,56.18468389,-3.1242516,Fife
Coldstream Health Centre Trust Fund,SC000308,TD12 4LQ,55.64757586,-2.26445134,Scottish Borders
Cumbernauld & Kilsyth Citizens Advice Bureau,SC000313,G67 1ER,55.94748069,-3.99076935,North Lanarkshire
Dornoch Cathedral (Church of Scotland),SC000315,IV25 3NH,57.89833275,-4.10848817,Highland
Dundee: Whitfield Parish Church of Scotland,SC000316,DD4 0NA,56.48957482,-2.91787617,Dundee City
Rattray Parish Church of Scotland,SC000323,PH10 7DG,56.59575924,-3.32629879,Perth & Kinross
Eaglesfield Public Hall,SC000325,DG11 3PA,55.0602471,-3.1950318,Dumfries & Galloway
Biggar Parish Church Of Scotland,SC000333,ML12 6BJ,55.62343145,-3.52543025,South Lanarkshire
Dundee Congregational Church,SC000345,DD11 5JZ,56.57273322,-2.57353151,Dundee City
Dumfries Unit (No 112) of the Sea Cadet Corps,SC000350,DG3 5HD,55.22850968,-3.73355554,Outwith Scotland
Dingwall Primary School Parents Association,SC000356,IV15 9UT,57.6089293,-4.42287966,Highland
Episcopal Church Of The Good Shepherd,SC000357,EH12 6JJ,55.94608367,-3.25251962,City of Edinburgh
Mcrobert Mortification Forglen,SC000358,AB45 1AN,57.66386525,-2.52352697,Aberdeenshire
St Cuthberts Episcopal Church: Cambuslang,SC000362,G73 3NE,55.82169801,-4.18767122,South Lanarkshire
Tain & Easter Ross Civic Trust,SC000364,IV20 1UX,57.7500155,-3.920282,Highland
Inverallochy & Rathen East Parish Church Of Scotland,SC000375,AB43 8YA,57.67620242,-1.92896908,Aberdeenshire
44th Glasgow Boys Brigade Company,SC000376,PA1 3DX,55.84368022,-4.38217247,Glasgow City
Stobswell Parish Church Of Scotland: Dundee,SC000384,DD5 3PA,56.50492496,-2.85945052,Dundee City
Augustine United Church,SC000385,EH1 1EL,55.94752717,-3.19123605,City of Edinburgh
Stenton Community Association,SC000388,EH42 1TE,55.95960474,-2.60768939,East Lothian
Mairi Semple Fund,SC000390,PA29 6UT,55.56835671,-5.69652112,Argyll & Bute
Callander Kirk Church of Scotland,SC000396,FK17 8BN,56.24253717,-4.21389352,Stirling
Volunteer Tutors Organisation Ltd,SC000403,G20 6BG,55.87962291,-4.27966441,Glasgow City
Dean Village Association,SC000404,EH4 3BU,55.95223432,-3.22073614,City of Edinburgh
2nd West Lothian Scout Group,SC000407,EH49 6AA,55.97641759,-3.58721553,West Lothian
Falkirk Caledonia Choir,SC000411,FK2 7LT,56.00898122,-3.78696276,Falkirk
Udny Station Community Assoc,SC000412,AB41 6QJ,57.31024312,-2.15389758,Aberdeenshire
Portree Church of Scotland,SC000416,IV51 9NH,57.33251903,-6.1099803,Highland
Southend Community Hall Committee,SC000421,HS8 5SY,57.18712573,-7.39635334,Western Isles
Enable Livingston & District Branch,SC000422,EH54 6AB,55.89909631,-3.53231525,Glasgow City
John Hunter Trust,SC000428,AB12 5GJ,57.08142875,-2.26233924,Aberdeenshire
East Neuk Baptist Fellowship,SC000433,KY10 2QL,56.21486311,-2.73174613,Fife
Ardersier War Memorial Hall Association,SC000437,IV2 7RS,57.56591926,-4.03811435,Highland
Laidhay Preservation Trust,SC000441,KW3 6DA,58.31729584,-3.29874289,Highland
Larbert Old Church of Scotland,SC000445,FK5 3ER,56.01710313,-3.82754296,Falkirk
Dunlop Church Of Scotland,SC000447,KA3 4DT,55.72899106,-4.51707799,East Ayrshire
Montrose Congregational Church,SC000453,DD10 9SZ,56.69850505,-2.47150687,Angus
Dunbar Parish Church (Church of Scotland),SC000455,EH19 2PF,55.87083594,-3.12435373,East Lothian
Springfield Community Education Association,SC000462,EH49 7SN,55.9803279,-3.58221486,West Lothian
St Annes Episcopal Church: Kemnay,SC000474,AB51 5LY,57.24649717,-2.45782168,Aberdeenshire
Kirk Session Of The Parish Of Cabrach for MacMillan Ferguson Bequest,SC000480,AB55 4FH,57.44581652,-3.12166918,Moray
Lodge Merchantile Marine No 453 Benevolent Fund,SC000482,KW16 3DP,58.95487888,-3.30146277,City of Edinburgh
Dundee Volunteer and Voluntary Action,SC000487,DD1 1LL,56.46231216,-2.97494317,Dundee City
James Paton Charitable Trust,SC000496,IV2 4AY,57.47000014,-4.21781242,Highland
Gullane Community Association,SC000497,EH31 2BL,56.03453507,-2.83023598,East Lothian
