name,coordinates,postcode,Latitude,Longitude
A Greener Hawick,"(55.43066215, -2.78660314)",TD9 8BH,55.43066215,-2.78660314
A Heart for Duns,"(55.76814158, -2.35262523)",TD11 3QJ,55.76814158,-2.35262523
Acharacle Community Company,"(56.74084886, -5.79332276)",PH36 4JJ,56.74084886,-5.79332276
Action Porty,"(55.94546104, -3.10137681)",EH15 2QS,55.94546104,-3.10137681
Aird Community Trust,"(57.47405899, -4.3709902)",IV3 8RL,57.47405899,-4.3709902
Alva Development Trust,"(56.15328446, -3.80900087)",FK12 5LJ,56.15328446,-3.80900087
Alyth Development Trust,"(56.62089792, -3.23560613)",PH11 8AX,56.62089792,-3.23560613
Annexe Communities,"(55.87120973, -4.30479529)",G11 5PE,55.87120973,-4.30479529
Appin Community Development Trust,"(56.554196, -5.408061)",PA38 4DF,56.554196,-5.408061
Applecross Community Company,"(57.43225038, -5.81628582)",IV54 8LR,57.43225038,-5.81628582
Arbirlot Community Trust,"(56.5553761, -2.65016695)",DD11 2NX,56.5553761,-2.65016695
Ardentinny Community Trust Ltd,"(56.05691848, -4.91355189)",PA23 8TS,56.05691848,-4.91355189
Ardoch Development Trust,"(56.26418296, -3.87827095)",FK15 9PN,56.26418296,-3.87827095
Ardrishaig Community Trust,"(56.01424271, -5.44764365)",PA30 8DX,56.01424271,-5.44764365
Ardrossan Community Development Trust,"(55.64145761, -4.81340722)",KA22 8EH,55.64145761,-4.81340722
Arisaig Community Trust,"(56.90274473, -5.85271612)",PH39 4NU,56.90274473,-5.85271612
Arran Development Trust,"(55.57595032, -5.13699342)",KA27 8AU,55.57595032,-5.13699342
Arrochar & Tarbet Community Development Trust,"(56.19635676, -4.74503012)",G83 7AB,56.19635676,-4.74503012
Assynt Development Trust,"(58.14653807, -5.24284243)",IV27 4LE,58.14653807,-5.24284243
Auchinleck Community Development Initiative,"(55.47109878, -4.29335837)",KA18 2LA,55.47109878,-4.29335837
Aviemore and Glenmore Community Trust,"(57.167358, -3.694034)",PH22 1RB,57.167358,-3.694034
Baldernock Community Development  Trust,"(55.93711473, -4.28262531)",G62 6HD,55.93711473,-4.28262531
Balerno Village Trust,"(55.88376687, -3.33888762)",EH14 7EH,55.88376687,-3.33888762
Ballater (Rd) Limited,"(57.04557381, -3.04125514)",AB35 5QW,57.04557381,-3.04125514
"Balquhidder, Lochearnhead and Strathyre Community Trust","(56.3249406, -4.3279041)",FK18 8NA,56.3249406,-4.3279041
Banchory & District Initiative Limited,"(57.05401422, -2.50497027)",AB31 5SQ,57.05401422,-2.50497027
Barmulloch Community Development Company Limited,"(55.88313962, -4.19801906)",G21 3ET,55.88313962,-4.19801906
Barr Community SCIO,"(55.21035679, -4.70930788)",KA26 9TT,55.21035679,-4.70930788
Barra & Vatersay Community Ltd,"(56.91860283, -7.53154527)",HS9 5YW,56.91860283,-7.53154527
Barrhill Development Trust,"(55.10370065, -4.77146126)",KA26 0PP,55.10370065,-4.77146126
Beith Community Development Trust,"(55.748174, -4.622909)",KA15 1HD,55.748174,-4.622909
Belhelvie Community Trust,"(57.25136899, -2.05988218)",AB23 8XF,57.25136899,-2.05988218
Bellsmyre Development Trust,"(55.95772335, -4.5497118)",G82 3DR,55.95772335,-4.5497118
Birse Community Trust,"(57.03126547, -2.65493144)",AB31 6NY,57.03126547,-2.65493144
Bishopton Community Development Trust,"(55.90909499, -4.49812879)",PA7 5BH,55.90909499,-4.49812879
Blackhall Community Trust,"(55.95256002, -3.2411978)",EH4 3JY,55.95256002,-3.2411978
Blairgowrie and Rattray Development Trust,"(56.59255587, -3.33765131)",PH10 6AG,56.59255587,-3.33765131
Bothwell Futures,"(55.80403783, -4.07254079)",G71 8PA,55.80403783,-4.07254079
Boyndie Trust Limited,"(57.66298889, -2.60329436)",AB45 2JT,57.66298889,-2.60329436
"Braehead, Broomridge & District Community Development Trust","(56.10808493, -3.92424252)",FK7 7GU,56.10808493,-3.92424252
Braemar Community Limited,"(57.00494793, -3.40853405)",AB35 5YT,57.00494793,-3.40853405
Breadalbane Development Trust,"(56.59309858, -4.07636445)",PH15 2LW,56.59309858,-4.07636445
Bridgend Farmhouse,"(55.92750225, -3.15595521)",EH16 4TE,55.92750225,-3.15595521
Broadford and Strath Community Company,"(55.86162319, -4.25172952)",G2 1BA,55.86162319,-4.25172952
Brora and District Action Group,"(58.01305653, -3.8472656)",KW9 6QS,58.01305653,-3.8472656
Brunswick Youth Centre,"(55.88926579, -4.21123919)",G21 3NN,55.88926579,-4.21123919
Burnfoot Community Futures,"(55.43632027, -2.76726011)",TD9 8EJ,55.43632027,-2.76726011
Burntisland Community Development Trust,"(56.06449018, -3.2170063)",KY3 9JP,56.06449018,-3.2170063
CLEAR Buckhaven & Methil,"(56.17227614, -3.03253434)",KY8 1JY,56.17227614,-3.03253434
Cabrach Community Association,"(57.36697839, -3.02916424)",AB54 4EU,57.36697839,-3.02916424
Callander Community Development Trust Ltd,"(56.24465495, -4.21958413)",FK17 8BA,56.24465495,-4.21958413
Cambusbarron Community Development Trust,"(56.10554566, -3.96619917)",FK7 9PQ,56.10554566,-3.96619917
Camuscross & Duisdale Initiative,"(57.1323086, -5.8064746)",IV43 8QT,57.1323086,-5.8064746
Carloway Estate Trust (Urras Oighreachd Charlabhaigh),"(58.28003828, -6.76564111)",HS2 9AU,58.28003828,-6.76564111
Carluke Development Trust,"(55.73434208, -3.8389272)",ML8 4AJ,55.73434208,-3.8389272
Carnoustie Community Development Trust,"(56.458324, -2.970903)",,56.458324,-2.970903
Carradale Community Trust,"(55.58066602, -5.49003927)",PA28 6QX,55.58066602,-5.49003927
Carrick Castle Community Trust Limited,"(56.161164, -4.896297)",,56.161164,-4.896297
Cassiltoun Housing Association,"(55.80792458, -4.22151277)",G45 0AZ,55.80792458,-4.22151277
Castle Douglas Community Centre Development Trust,"(54.94282171, -3.92887039)",DG7 1AJ,54.94282171,-3.92887039
Catrine Community Trust,"(55.5050885, -4.33628773)",KA5 6QP,55.5050885,-4.33628773
Clackmannan Development Trust,"(56.1073187, -3.75113901)",FK10 4JA,56.1073187,-3.75113901
Coigach Community Development Company,"(58.02143199, -5.34628536)",IV26 2YG,58.02143199,-5.34628536
Coldstream Community Trust,"(55.65062447, -2.25473107)",TD12 4AP,55.65062447,-2.25473107
Colintraive and Glendaruel Development Trust,"(55.91777559, -5.13809165)",PA22 3AS,55.91777559,-5.13809165
Colonsay Community Development Company,"(56.07095281, -6.18965316)",PA61 7YW,56.07095281,-6.18965316
Comann Eachdraidh Sgire a Bhac,"(58.28849222, -6.30456079)",HS2 0LH,58.28849222,-6.30456079
Community Action for Erskine,"(55.9079592, -4.46261348)",PA8 6EA,55.9079592,-4.46261348
Community Development Company of Nesting,"(60.27225534, -1.17086351)",ZE2 9PP,60.27225534,-1.17086351
Connect Community Trust,"(55.86169156, -4.13550542)",G33 4HG,55.86169156,-4.13550542
Craignish Community Company,"(56.17229017, -5.55137064)",PA31 8AN,56.17229017,-5.55137064
Crail Community Partnership,"(56.25886918, -2.62713073)",KY10 3SJ,56.25886918,-2.62713073
Cranhill Development Trust,"(55.86624045, -4.16779997)",G33 3HE,55.86624045,-4.16779997
Creetown Initiative Ltd,"(54.90029054, -4.37937656)",DG8 7JF,54.90029054,-4.37937656
Crieff Community Trust,"(56.37578073, -3.84296694)",PH7 4BE,56.37578073,-3.84296694
Cromarty Community Development Trust,"(57.68111387, -4.03525271)",IV11 8UY,57.68111387,-4.03525271
Crossroads Community Hub,"(55.57177011, -4.37882686)",KA4 8NQ,55.57177011,-4.37882686
Culbokie Community Trust,"(57.47814099, -4.22392737)",IV1 1HT,57.47814099,-4.22392737
Cupar Development Trust,"(56.31950808, -3.01443618)",KY15 4BY,56.31950808,-3.01443618
DART (Darvel Area Regeneration Team),"(55.609445, -4.285779)",,55.609445,-4.285779
Dalavich Improvement Group,"(56.26304138, -5.2797482)",PA35 1HN,56.26304138,-5.2797482
Dalbeattie Community Initiative,"(54.93242807, -3.82195165)",DG5 4AA,54.93242807,-3.82195165
Dalgety Community Trust,"(56.040281, -3.364283)",,56.040281,-3.364283
Dalmellington Parish Development Trust,"(55.32315555, -4.39626986)",KA6 7QU,55.32315555,-4.39626986
Development Coll,"(56.6233998, -6.52757721)",PA78 6SY,56.6233998,-6.52757721
Dingwall Community Development Company,"(57.60381187, -4.42779516)",IV15 9LL,57.60381187,-4.42779516
Dollar Community Development Trust,"(56.16229402, -3.67011059)",FK14 7AA,56.16229402,-3.67011059
Dufftown and Mortlach Development Trust,"(57.67834401, -2.96141061)",AB56 1UT,57.67834401,-2.96141061
Dumfries High Street Ltd (T/A Midsteeple Quarter),"(55.07174575, -3.60831363)",DG1 1JD,55.07174575,-3.60831363
Dunadd Community Enterprise,"(56.13897087, -5.48381903)",PA31 8RQ,56.13897087,-5.48381903
Dunblane Development Trust,"(56.19094835, -3.96423279)",FK15 0AT,56.19094835,-3.96423279
Dunlop & District Community Company,"(55.7135053, -4.53101587)",KA3 4AU,55.7135053,-4.53101587
East Loch Lomond Community Trust (SCIO),"(56.08376645, -4.53771879)",G63 0JQ,56.08376645,-4.53771879
East Nairnshire Community Organisation (SCIO),"(57.47086552, -3.74487374)",IV12 5UP,57.47086552,-3.74487374
Eday Partnership,"(59.21345383, -2.75653711)",KW17 2AB,59.21345383,-2.75653711
Edinburgh Old Town Development Trust,"(55.95092104, -3.18405372)",EH8 8BE,55.95092104,-3.18405372
Eilean Eisdeal Trust,"(56.29159883, -5.65571104)",PA34 4TB,56.29159883,-5.65571104
Ekopia Social Investments Ltd,"(57.65406757, -3.59476859)",IV36 3SH,57.65406757,-3.59476859
Ettrick and Yarrow Community Development Company,"(55.540993, -2.881030)",TD7 5LX,55.540993,-2.88103
Evanton Community Trust,"(57.62478355, -4.39346952)",IV15 9TT,57.62478355,-4.39346952
Eyemouth & District Community Trust,"(55.87103464, -2.08969092)",TD14 5DH,55.87103464,-2.08969092
Falkland Community Development Trust,"(56.25264168, -3.2067988)",KY15 7BX,56.25264168,-3.2067988
Falkland Gardening Group,"(56.25264168, -3.2067988)",KY15 7BX,56.25264168,-3.2067988
Fauldhouse and Breich Valley Community Development Trust Ltd,"(55.82750243, -3.70841558)",EH47 9HX,55.82750243,-3.70841558
Ferguslie Park Housing Association Limited,"(55.850019, -4.45337003)",PA3 1NT,55.850019,-4.45337003
