DataZone2011Code,Total population
S01006506,843
S01006507,790
S01006508,628
S01006509,507
S01006510,637
S01006511,759
S01006512,599
S01006513,961
S01006514,"1,252"
S01006515,831
S01006516,658
S01006517,"1,445"
S01006518,691
S01006519,935
S01006520,843
S01006521,802
S01006522,689
S01006523,995
S01006524,"1,095"
S01006525,885
S01006526,920
S01006527,866
S01006528,"1,185"
S01006529,943
S01006530,772
S01006531,924
S01006532,769
S01006533,695
S01006534,982
S01006535,"1,042"
S01006536,1025
S01006537,956
S01006538,553
S01006539,775
S01006540,889
S01006541,850
S01006542,1187
S01006543,774
S01006544,1320
S01006545,1113
S01006546,627
S01006547,1812
S01006548,702
S01006549,796
S01006550,927
S01006551,695
S01006552,879
S01006553,914
S01006554,790
S01006555,713
S01006556,758
S01006557,641
S01006558,558
S01006559,602
S01006560,954
S01006561,747
S01006562,991
S01006563,671
S01006564,972
S01006565,968
S01006566,778
S01006567,721
S01006568,871
S01006569,542
S01006570,756
S01006571,881
S01006572,948
S01006573,792
S01006574,1042
S01006575,984
S01006576,726
S01006577,783
S01006578,1082
S01006579,1029
S01006580,693
S01006581,933
S01006582,849
S01006583,706
S01006584,602
S01006585,777
S01006586,1048
S01006587,552
S01006588,640
S01006589,652
S01006590,761
S01006591,670
S01006592,770
S01006593,772
S01006594,500
S01006595,933
S01006596,780
S01006597,475
S01006598,1033
S01006599,805
S01006600,1213
S01006601,1006
S01006602,903
S01006603,800
S01006604,663
S01006605,733
S01006606,817
S01006607,916
S01006608,2073
S01006609,1023
S01006610,420
S01006611,896
S01006612,799
S01006613,599
S01006614,686
S01006615,814
S01006616,725
S01006617,682
S01006618,466
S01006619,864
S01006620,781
S01006621,498
S01006622,612
S01006623,720
S01006624,876
S01006625,568
S01006626,633
S01006627,736
S01006628,958
S01006629,861
S01006630,644
S01006631,928
S01006632,739
S01006633,633
S01006634,562
S01006635,591
S01006636,714
S01006637,727
S01006638,774
S01006639,875
S01006640,832
S01006641,1048
S01006642,1207
S01006643,634
S01006644,1067
S01006645,633
S01006646,823
S01006647,618
S01006648,1501
S01006649,931
S01006650,718
S01006651,830
S01006652,881
S01006653,565
S01006654,847
S01006655,973
S01006656,950
S01006657,521
S01006658,1337
S01006659,565
S01006660,556
S01006661,559
S01006662,740
S01006663,552
S01006664,551
S01006665,793
S01006666,1113
S01006667,712
S01006668,815
S01006669,901
S01006670,1171
S01006671,1716
S01006672,760
S01006673,810
S01006674,845
S01006675,879
S01006676,734
S01006677,729
S01006678,1602
S01006679,614
S01006680,883
S01006681,775
S01006682,871
S01006683,940
S01006684,638
S01006685,624
S01006686,592
S01006687,746
S01006688,897
S01006689,1039
S01006690,586
S01006691,640
S01006692,736
S01006693,953
S01006694,868
S01006695,731
S01006696,748
S01006697,823
S01006698,764
S01006699,488
S01006700,776
S01006701,639
S01006702,769
S01006703,642
S01006704,537
S01006705,738
S01006706,569
S01006707,597
S01006708,775
S01006709,860
S01006710,811
S01006711,905
S01006712,489
S01006713,878
S01006714,708
S01006715,614
S01006716,606
S01006717,890
S01006718,583
S01006719,891
S01006720,583
S01006721,918
S01006722,708
S01006723,640
S01006724,968
S01006725,632
S01006726,702
S01006727,1166
S01006728,801
S01006729,1070
S01006730,763
S01006731,530
S01006732,1270
S01006733,962
S01006734,996
S01006735,550
S01006736,1088
S01006737,1366
S01006738,1208
S01006739,1528
S01006740,760
S01006741,668
S01006742,470
S01006743,860
S01006744,578
S01006745,856
S01006746,819
S01006747,1021
S01006748,1164
S01006749,848
S01006750,654
S01006751,489
S01006752,679
S01006753,886
S01006754,819
S01006755,808
S01006756,813
S01006757,855
S01006758,631
S01006759,566
S01006760,420
S01006761,634
S01006762,1344
S01006763,806
S01006764,714
S01006765,552
S01006766,584
S01006767,640
S01006768,585
S01006769,900
S01006770,605
S01006771,408
S01006772,824
S01006773,850
S01006774,580
S01006775,840
S01006776,484
S01006777,623
S01006778,577
S01006779,567
S01006780,565
S01006781,649
S01006782,775
S01006783,560
S01006784,614
S01006785,551
S01006786,762
S01006787,618
S01006788,1968
S01006789,574
S01006790,837
S01006791,553
S01006792,439
S01006793,616
S01006794,544
S01006795,763
S01006796,942
S01006797,583
S01006798,668
S01006799,891
S01006800,875
S01006801,1185
S01006802,754
S01006803,665
S01006804,773
S01006805,1094
S01006806,1043
S01006807,622
S01006808,732
S01006809,823
S01006810,838
S01006811,1061
S01006812,886
S01006813,845
S01006814,717
S01006815,588
S01006816,738
S01006817,781
S01006818,757
S01006819,980
S01006820,402
S01006821,1645
S01006822,1080
S01006823,686
S01006824,780
S01006825,738
S01006826,897
S01006827,814
S01006828,795
S01006829,429
S01006830,755
S01006831,511
S01006832,960
S01006833,483
S01006834,481
S01006835,758
S01006836,516
S01006837,540
S01006838,585
S01006839,947
S01006840,1086
S01006841,845
S01006842,720
S01006843,761
S01006844,590
S01006845,895
S01006846,506
S01006847,736
S01006848,1657
S01006849,2051
