name,location_coord.lng,location_coord.lat,postcode
Gailes Coronavirus Care,-4.6571319,55.5924929,KA11 5AE
Ainslie Mutual Aid Group,-3.1989001,55.9298063,EH9 2EX
Mutual Aid Organisation,-4.2026458,56.49067119999999,FK21 8SU
Covid-19 Mutual Aid UK,-3.435973,55.378051,DG10 9DX
Bozeman COVID-19 Mutual Aid,-4.280226,55.881273,G20 8XU
Dumfries and Galloway Multicultural Association,-3.6135973,55.06898519999999,DG1 2RQ
Chest Heart & Stroke Scotland,-4.251806000000001,55.864237,G1 2BP
Mutual Aid Edinburgh,-3.188266999999999,55.953252,EH1 3BG
COVID-10 Mutual Aid UK,-3.435973,55.378051,DG10 9DX
The Gap COVID-19 Community Support,-3.1977851,55.9520546,EH2 2ER
Page Neighbourhood Community,-4.2430481,55.85545819999999,G1 5PE
Turner Mutual Aid Group,-4.3216205,55.85764990000001,G51 4UA
Hamilton/ Hamilton East (Kloster Car Zone) Community Support Hub,-3.704,55.524,ML12 6RU
Let’s Support Leuchars through the Coronavirus Crisis,-2.8885486,56.3819004,KY16 0HT
Ancrum Community Resilience,-2.6449703,55.526728,TD8 6UP
Alva Coronavirus Joint Response Group,-3.799375,56.152958,FK12 5EG
Balmedie Covid-19,-2.08863,57.2492329,AB23 8WS
The LEAP Project ,-4.1470784,55.8125768,G72 7NT
East Renfrewshire Self-isolation Supporters,-4.335982100000001,55.77047349999999,G77 5AA
Loaves and Fishes Food Bank,-4.1769987,55.76435240000001,G74 1NQ
Coronavirus- Looking after our neighbours in Bishopton,-4.504519999999999,55.90862199999999,PA7 5JD
Garve & District On-Line Hub,-4.689967,57.617104,IV23 2PR
"Covid-19 Mutual Aid. Dysart, Kirkcaldy.",-3.122933,56.127911,KY1 2XJ
Kintyre Community Crisis Group,-5.605373999999999,55.424117,PA28 6AD
Dalmellington/Patna Mutual Aid and Community Support,-4.399467899999999,55.323941,KA6 7SG
Food for Good Coalition- Edinburgh,-3.188267,55.953252,EH1 3BG
Blantyre Official Coronavirus Support (BOCS),-4.09492,55.793868,G72 0AR
Coronavirus Volunteering Edinburgh,-3.188267,55.953252,EH1 3BG
Vennell Gardens Community Hub,-4.6696364,55.61156690000001,KA12 8DG
KPC A-O.K.,-4.2836172,55.8528488,G51 1LQ
Sewa Day Help A Neighbour Halifax ,-3.2053383,55.950767,EH2 3AA
Cosgrove Care,-4.272222,55.81277799999999,G44 3HT
Doorstep Market,-3.188267,55.953252,EH1 3BG
Kirkliston - local help during COVID 19,-3.401411,55.95697200000001,EH29 9AD
Hopeman Community Association Covid 19 Group,-3.434834,57.70624999999999,IV30 5SN
Fife Covid-19 Mutual Aid Group (Coronavirus),-3.1495175,56.2082078,KY7 6NR
Abbeyview Community Solidarity,-3.4174629,56.06648569999999,KY11 4LS
World care foundation ,-3.188267,55.953252,EH1 3BG
Victim Support,-4.251806,55.864237,G1 2BP
Milan Senior Welfare Organisation,-3.188267,55.953252,EH1 3BG
MAYFACS,-3.0402905,55.869026,EH22 5QE
Flourish House,-4.251806,55.864237,G1 2BP
Covid-19 everyone together ,-3.2819039,55.9263497,EH11 3UZ
North Queensferry Support,-3.3945958,56.0101001,KY11 1JJ
Renfrewshire's Covid19 Information Page,-4.5331259,55.846654,PA5 8UJ
Peebles Covid-19 Mutual support group,-3.193642,55.653071,EH45 8LF
Murthly Area Group,-3.2199408,56.4244492,PH2 7SX
My Turriff,-2.4623,57.538932,AB53 4AX
Porty Under Siege,-3.1156077,55.9532131,EH15 1AW
UK Mutual Aid,-3.435973,55.378051,DG10 9DX
Covid Community Project,-3.435973,55.378051,DG10 9DX
We Care UK Mutual Aid Group,-3.435973,55.378051,DG10 9DX
Rosemarkie Help,-4.116138800000001,57.58946249999999,IV10 8UQ
Southside Community Council,-3.1851742,55.9463535,EH8 9DL
Helpfulpeeps,-3.435973,55.378051,DG10 9DX
Stirling Pulling Together,-3.9369029,56.1165227,FK8 2LD
Belhelvie Community Covid-19 Response,-2.073745,57.257152,AB23 8YR
Stenhousemuir Football Club,-3.8142224,56.02707040000001,FK5 4JT
Covid-19 Mutual Aid - UK,-3.435973,55.378051,DG10 9DX
Portgordon Coronavirus Support,-3.0150178,57.66356589999999,AB56 5QW
Free Emotional Support by Registered Mental Health Professionals,-3.435973,55.378051,DG10 9DX
Kidscape Parent Support,-3.435973,55.378051,DG10 9DX
Williamwood Community Support,-4.2755748,55.7762383,G76 8RF
Kemnay Parish Church,-2.4457149,57.232193,AB51 5PZ
Ness-side Covid 19 Community Support Group Inverness,-4.224721,57.477773,IV1 1HY
Covid19 Inverclyde Official ,-4.877236,55.9101289,PA16 0FJ
GoFrienzyHeroes,-4.251806000000001,55.864237,G1 2BP
Edinburgh Coronavirus Support,-3.188266999999999,55.953252,EH1 3BG
Bradbury Centre,-4.3416459,57.89082579999999,IV24 3ER
Crown/Hill Covid Community Support Group,-4.2193542,57.4759231,IV2 3AX
Hayston Community,-4.175825400000001,55.9407811,G66 1BS
Bingham & Magdalene COVID-19 Resilience Committe,-3.114222199999999,55.94140179999999,EH15 3DB
Prestonpans Community Resilience,-2.984467,55.95953799999999,EH32 9AX
Pitlochry & Moulin Community Council Coronavirus Support Group,-3.729710999999999,56.704361,PH16 5HH
G53 Covid19 support group,-4.355859800000001,55.81990090000001,G53 6BS
Porty Coronavirus Action,-3.1123064,55.9541675,EH15 1EZ
Fullarton Community Hub,-4.6696364,55.61156690000001,KA12 8DG
Clober Primary School & Friends Mutual Aid (Covid-19),-4.316987,55.943304,G61
Corona-Virus Insch Aberdeenshire Support Volunteers,-2.610898,57.34579799999999,AB52 6
Balmullo Covid19 mutual aid group,-2.927557,56.37568899999999,Scotland
Comrie Community Council ,-3.9514784,56.35033010000001,PH6 2JE
Lauderdale Resilience Chat,-2.756614,55.722936,TD2 6TW
Covid-19 (Corona) care Local GROUP - Glenrothes- MAIN,-3.15986,56.20084199999999,KY7 6PB
Kirkhill Helpers,-4.336615,55.771176,G77 6AG
Coronavirus Support EH11 East,-3.2731066,55.9286654,EH11 3RQ
Whiteinch & Scotstoun Corona Virus Resilience Group,-4.251806,55.864237,G1 2BP
North Berwick Resilience Group,-2.719646,56.058363,EH39 4HH
Southside Self-Isolation Supporters,-4.2714069,55.8366141,G41 2AJ
Ferry Go-For Group,-3.393341299999999,55.9839658,EH30 9QG
East Renfrewshire Volunteer To Help Group,-4.335982100000001,55.77047349999999,G77 5AA
Blackhall Coronavirus (COVID19) Mutual Aid Group,-3.188267,55.953252,EH1 3BG
Elderslie Cares,-4.480095,55.837537,PA5 9AS
Darvel Corona Virus Support Team,-4.286513,55.609843,KA17 0HE
Covid-19 support together,-3.188267,55.953252,EH1 3BG
Cardrona - Covid-19 Mutual Aid Group,-3.1093728,55.638801,EH45 9GY
Cumbernauld Resilience Group,-3.992534,55.945668,G67 1QR
Far North Coronavirus Mutual Support Group,-3.778999999999999,58.27699999999999,Scotland
Fife Covid-19 Mutual Aid Group,-3.452151,56.071741,KY12 7ET
Blackwood and Kirkmuirhill Resilience Group,-3.9252605,55.6726263,ML11
Covid-19 Mutual Aid Forres,-3.61998,57.60979099999999,IV36 1EE
Forth Valley Residents Volunteer Makers Coronavirus Response,-3.9748983,56.0838416,FK7 9NW
Foulden Village Covid-19 Network,-2.1066853,55.79438409999999,TD15 1US
