"indicator","area_name","area_code","area_type","year","period","numerator","measure","lower_confidence_interval","upper_confidence_interval","definition","data_source"
"Life expectancy, females","Scotland","S00000001","Scotland",2016,"2015 to 2017 (3 year aggregate)",NA,81.08,80.99,81.16,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Culter","S02001236","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,84.28,82.31,86.25,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Cults, Bieldside & Milltimber West","S02001237","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,82.69,80.34,85.05,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Cults, Bieldside & Milltimber East","S02001238","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,85.11,83.71,86.52,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Garthdee","S02001239","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,79.93,77.79,82.08,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Braeside, Mannofield, Broomhill & Seafield East","S02001240","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,85.7,83.87,87.54,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Braeside, Mannofield, Broomhill & Seafield South","S02001241","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,84.91,82.88,86.94,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Braeside, Mannofield, Broomhill & Seafield North","S02001242","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,84.2,82.48,85.92,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Hazlehead","S02001243","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,85.99,84.72,87.26,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Summerhill","S02001244","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,79.39,76.99,81.79,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Midstocket","S02001245","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,77.44,73.56,81.32,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Rosemount","S02001246","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,81.15,78.47,83.82,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","West End North","S02001247","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,84.23,81.84,86.62,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","West End South","S02001248","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,85.94,83.34,88.54,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","City Centre West-Aberdeen City","S02001249","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,81.45,77.52,85.39,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Ferryhill North","S02001251","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,85.66,83.72,87.61,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Ferryhill South","S02001252","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,80.18,77.73,82.64,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Kincorth, Leggart & Nigg North","S02001253","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,80.48,78.07,82.9,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Kincorth, Leggart & Nigg South","S02001254","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,84.12,82.14,86.11,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Cove South","S02001255","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,84.27,81.84,86.7,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Cove North","S02001256","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,78.74,76.66,80.81,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Torry West","S02001257","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,75.13,72.79,77.47,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Torry East","S02001258","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,75.35,72.76,77.93,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Hanover South","S02001259","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,75.17,71.31,79.03,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","George Street","S02001261","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,79.97,76.69,83.26,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Ashgrove","S02001262","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,77.24,74.63,79.86,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Froghall, Powis & Sunnybank","S02001263","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,82.43,79.65,85.21,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Seaton","S02001264","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,81.15,77.97,84.33,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Old Aberdeen","S02001265","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,80.71,78.03,83.38,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Tillydrone","S02001266","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,78.57,76.26,80.87,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Woodside-Abeerdeen City","S02001267","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,73.8,71.21,76.38,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Hilton","S02001268","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,82.82,81.05,84.59,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Stockethill","S02001269","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,78.94,76.11,81.78,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Mastrick","S02001270","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,82.76,80.52,85.01,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Sheddocksley","S02001271","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,79.5,77.09,81.91,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Cummings Park","S02001272","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,78.46,75.98,80.93,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Northfield","S02001273","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,78.88,77.07,80.69,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Heathryfold & Middlefield","S02001274","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,77.47,75.56,79.39,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Kingswells","S02001275","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,85.09,83,87.19,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Bucksburn South","S02001276","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,82.18,79.59,84.77,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Bucksburn North","S02001277","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,80.75,78.44,83.06,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Dyce","S02001278","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,80.74,79.18,82.31,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Danestone","S02001279","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,79.11,76.65,81.56,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Oldmachar West","S02001280","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,83.71,81.07,86.35,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Oldmachar East","S02001281","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,83.04,81.56,84.51,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Balgownie & Donmouth West","S02001282","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,82.2,80.14,84.25,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Balgownie & Donmouth East","S02001283","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,84.79,80.25,89.34,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Denmore","S02001284","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,81.35,79.21,83.48,"Years","Public Health Scotland/National Records of Scotland (NRS)"
