,Area name,All Ages,Number of MAOs,MAOs per 100k people,I could rely on someone in my neighbourhood to help me (%)
0,Aberdeen City,229060,1.0,0.4,71.5
1,Aberdeenshire,260780,18.0,6.9,88.3
2,Angus,115820,5.0,4.3,79.0
3,Argyll and Bute,85430,4.0,4.7,92.2
4,City of Edinburgh,527620,33.0,6.3,82.0
5,Clackmannanshire,51290,1.0,1.9,85.1
6,Dumfries and Galloway,148290,21.0,14.2,90.7
7,Dundee City,148820,2.0,1.3,83.1
8,East Ayrshire,121600,6.0,4.9,75.3
9,East Dunbartonshire,108750,3.0,2.8,88.3
10,East Lothian,107900,8.0,7.4,88.3
11,East Renfrewshire,96060,8.0,8.3,93.0
12,Falkirk,160560,5.0,3.1,91.4
13,Fife,374130,19.0,5.1,87.9
14,Glasgow City,635640,22.0,3.5,81.7
15,Highland,235430,19.0,8.1,88.1
16,Inverclyde,77060,1.0,1.3,93.0
17,Midlothian,93150,3.0,3.2,85.1
18,Moray,95710,10.0,10.4,91.2
19,Na h-Eileanan Siar,26500,0.0,0.0,92.1
20,North Ayrshire,134250,12.0,8.9,85.4
21,North Lanarkshire,341140,4.0,1.2,88.6
22,Orkney Islands,22400,1.0,4.5,92.8
23,Perth and Kinross,151910,10.0,6.6,91.5
24,Renfrewshire,179390,8.0,4.5,89.2
25,Scottish Borders,115240,11.0,9.5,90.7
26,Shetland Islands,22870,1.0,4.4,95.6
27,South Ayrshire,112140,0.0,0.0,48.0
28,South Lanarkshire,320820,11.0,3.4,90.4
29,Stirling,94080,14.0,14.9,91.6
30,West Dunbartonshire,88340,0.0,0.0,85.0
31,West Lothian,183820,0.0,0.0,89.9
