2011 scottish intermediate zone,Total
S02002303 : Berwickshire Central,285
S02002305 : Berwickshire East,235
S02002316 : Burnfoot,35
S02002309 : Cheviot East,305
S02002312 : Cheviot West,240
S02002307 : Chirnside and Area,230
S02002308 : Coldstream and Area,125
S02002315 : Denholm and Hermitage,330
S02002304 : Duns,160
S02002296 : Earlston Stow and Clovernfords Area,300
S02002320 : Ettrick Yarrow and Liliesleaf Area,235
S02002306 : Eyemouth,140
S02002297 : Galashiels North,245
S02002299 : Galashiels South,185
S02002298 : Galashiels West,120
S02002317 : Hawick Central,240
S02002319 : Hawick North,85
S02002318 : Hawick West End,80
S02002314 : Jedburgh,175
S02002310 : Kelso North,55
S02002311 : Kelso South,215
S02002300 : Langlee,35
S02002302 : Lauder and Area,205
S02002301 : Melrose and Tweedbank Area,250
S02002293 : Peebles North,215
S02002294 : Peebles South,155
S02002321 : Selkirk,250
S02002313 : St Boswells and Newtown Area,230
S02002295 : Tweeddale East Area,215
S02002292 : Tweeddale West Area,410
