Name,Charity Number,Local authority,Postcode,Latitude,Longitude,IntermediateZone2011Code,DataZone2011Code
Eccles and Leitholm Parish Church (Church of Scotland),SC000031,Scottish Borders,TD12 4NE,55.64434067,-2.33454289,S02002308,S01012324
Coldstream Health Centre Trust Fund,SC000308,Scottish Borders,TD12 4LQ,55.64757586,-2.26445134,S02002308,S01012324
Coldstream Gateway Association,SC034135,Scottish Borders,TD12 4HZ,55.67637888,-2.29738576,S02002308,S01012324
Birgham Community Development Trust,SC037236,Scottish Borders,TD12 4NF,55.64504162,-2.33119646,S02002308,S01012324
Coldstream Men's Shed,SC047122,Scottish Borders,TD12 4NH,55.64524288,-2.35866904,S02002308,S01012324
Seashells Nursery,SC000144,Scottish Borders,TD14 5DE,55.8712585,-2.09073016,S02002306,S01012315
League Of Friends Of Eyemouth Health Centre,SC000607,Scottish Borders,TD14 5DH,55.87103464,-2.08969092,S02002306,S01012315
Eyemouth United Congregational Church,SC006669,Scottish Borders,TD14 5DB,55.87023417,-2.09080766,S02002306,S01012315
Eyemouth Museum Trust Ltd,SC012548,Scottish Borders,TD14 5JE,55.87143969,-2.08868509,S02002306,S01012315
St Abbs & Eyemouth Voluntary Marine Reserve Committee,SC018593,Scottish Borders,TD14 5HT,55.87227616,-2.08747246,S02002306,S01012315
Eyemouth Hospital Comforts Association,SC028371,Scottish Borders,TD14 5JF,55.87148437,-2.08902078,S02002306,S01012315
Coldingham Sands Community Company,SC040172,Scottish Borders,TD14 5HP,55.87258972,-2.08873566,S02002306,S01012315
125 Memorial Association,SC045042,Scottish Borders,TD14 5BG,55.87328531,-2.09568907,S02002306,S01012315
Chirnside Amateur Boxing Club,SC045279,Scottish Borders,TD14 5JF,55.87148437,-2.08902078,S02002306,S01012315
Eyemouth and District Community Trust,SC045880,Scottish Borders,TD14 5DE,55.8712585,-2.09073016,S02002306,S01012315
Eyemouth Men's Shed,SC048035,Scottish Borders,TD14 5ET,55.87428437,-2.09343813,S02002306,S01012315
Re- Tweed,SC048284,Scottish Borders,TD14 5EU,55.87304639,-2.09086219,S02002306,S01012315
 Berwickshire Marine Reserve (SCIO),SC050016,Scottish Borders,TD14 5HT,55.87227616,-2.08747246,S02002306,S01012315
Eyemouth Hippodrome SCIO,SC050386,Scottish Borders,TD14 5HT,55.87227616,-2.08747246,S02002306,S01012315
Peebles Congregation Of Jehovahs Witnesses,SC000152,Scottish Borders,EH45 8AX,55.65140247,-3.18767768,S02002293,S01012255
Peebles and District Citizens Advice Bureau,SC004900,Scottish Borders,EH45 8AG,55.65170457,-3.1889582,S02002293,S01012255
Eastgate Theatre (Peebles) Limited,SC024713,Scottish Borders,EH45 8AD,55.65218669,-3.18835301,S02002293,S01012255
Tweeddale University of the Third Age,SC037086,Scottish Borders,EH45 8BQ,55.65116779,-3.17753159,S02002293,S01012255
Peebles Rugby and Community Sports Club SCIO,SC048220,Scottish Borders,EH45 8AD,55.65218669,-3.18835301,S02002293,S01012255
Miss Frances Sprot Fund,SC000218,Scottish Borders,TD6 9JP,55.51245707,-2.76715754,S02002320,S01012376
St Johns Episcopal Church: Selkirk,SC002969,Scottish Borders,TD7 4PU,55.54924395,-2.82127282,S02002320,S01012376
Currie Memorial Hall Lilliesleaf,SC010554,Scottish Borders,TD6 9HX,55.51761984,-2.74006547,S02002320,S01012376
Ashkirk Parish Church of Scotland,SC010768,Scottish Borders,TD7 4NY,55.49062355,-2.84728978,S02002320,S01012376
Stable Life,SC011786,Scottish Borders,TD7 4NT,55.49874395,-2.84638775,S02002320,S01012376
Ashkirk Village Hall SCIO,SC046476,Scottish Borders,TD7 4NY,55.49062355,-2.84728978,S02002320,S01012376
Midlem Village Hall SCIO,SC048199,Scottish Borders,TD7 4QB,55.5386425,-2.75101364,S02002320,S01012376
Lilliesleaf Community Development LTD,SC049771,Scottish Borders,TD6 9HX,55.51761984,-2.74006547,S02002320,S01012376
Melrose Music Festival,SC049870,Scottish Borders,TD7 4QL,55.52715974,-2.74940076,S02002320,S01012376
Harris Trust,SC050803,Scottish Borders,TD6 9JD,55.51791183,-2.73783789,S02002320,S01012376
Stow St Mary Of Wedale & Heriot Church of Scotland,SC000228,Scottish Borders,TD1 2RD,55.69435706,-2.86371949,S02002296,S01012272
Stow & District Pensioners Society,SC021316,Scottish Borders,TD1 2RH,55.6979212,-2.86543686,S02002296,S01012272
Stow Parish Trust,SC027344,Scottish Borders,TD1 2SF,55.69046668,-2.85983188,S02002296,S01012272
Stow Community Park,SC046308,Scottish Borders,TD1 2SE,55.69517363,-2.86515341,S02002296,S01012272
Lizars & Wilson Trust,SC000237,Scottish Borders,TD8 6UX,55.51356446,-2.5937643,S02002312,S01012342
Jedburgh Old And Trinity Parish Church Of Scotland,SC004530,Scottish Borders,TD8 6SU,55.48763967,-2.60323314,S02002312,S01012342
2nd Jedburgh Brownie Unit,SC032684,Scottish Borders,TD8 6XR,55.51220578,-2.58856583,S02002312,S01012342
Ancrum Public Hall,SC035485,Scottish Borders,TD8 6XH,55.51392151,-2.59053922,S02002312,S01012342
Lanton Village Hall,SC037483,Scottish Borders,TD8 6SX,55.48907377,-2.6003115,S02002312,S01012342
Scottish Borders LGBT Equality,SC044539,Scottish Borders,TD8 6UL,55.49762381,-2.62274474,S02002312,S01012342
