Name,Latitude,Longitude,Postcode,IntermediateZone2011Code
A Greener Hawick,55.43066215,-2.78660314,TD9 8BH,S02002319
A Heart for Duns,55.76814158,-2.35262523,TD11 3QJ,S02002307
Burnfoot Community Futures,55.43632027,-2.76726011,TD9 8EJ,S02002316
Coldstream Community Trust,55.65062447,-2.25473107,TD12 4AP,S02002308
Eyemouth & District Community Trust,55.87103464,-2.08969092,TD14 5DH,S02002306
Future Hawick,55.42002201,-2.78953543,TD9 0AL,S02002317
Grantshouse Development Company Ltd,55.86658812,-2.28790951,TD11 3RL,S02002305
Innerleithen Community Trust,55.61702113,-3.05724884,EH44 6JX,S02002295
Newcastleton & District Community Trust,55.17858975,-2.81355223,TD9 0QR,S02002315
Newlands Community Development Trust,55.71862775,-3.33776789,EH46 7BZ,S02002292
Peebles Community Trust,55.65110398,-3.18973458,EH45 8AT,S02002293
Preston and Abbey Community Trust,55.86210571,-2.41088097,TD11 3TY,S02002303
Stow Community Trust,55.69722593,-2.86464191,TD1 2RJ,S02002296
Tweedsmuir Community Company,55.52092596,-3.4120384,ML12 6QN,S02002292
