Name,Charity Number,Local authority,Postcode,Latitude,Longitude,IntermediateZone2011Code,DataZone2011Code
Garthspool Evangelical Church,SC000079,Shetland Islands,ZE1 0QT,60.15164198,-1.15725887,S02002324,S01012399
Shetland Recreational Trust,SC002179,Shetland Islands,ZE1 0PJ,60.15336183,-1.15943037,S02002324,S01012399
Sandveien Neighbourhood Centre,SC022153,Shetland Islands,ZE1 0QJ,60.15231271,-1.15542254,S02002324,S01012399
Lerwick Royal British Legion Pipe Band,SC039238,Shetland Islands,ZE1 0QD,60.15308003,-1.15747425,S02002324,S01012399
Shetland Special Needs Action Group,SC044737,Shetland Islands,ZE1 0HN,60.15519975,-1.1561591,S02002324,S01012399
Shetland Sport For All,SC049676,Shetland Islands,ZE1 0HN,60.15519975,-1.1561591,S02002324,S01012399
St Olaf Community Club,SC000205,Shetland Islands,ZE2 9RU,60.48234312,-1.36722693,S02002327,S01012412
Eshaness Community Centre,SC010529,Shetland Islands,ZE2 9RS,60.50013709,-1.57545767,S02002327,S01012412
Northmavine History Group,SC018043,Shetland Islands,ZE2 9RX,60.5238522,-1.37700181,S02002327,S01012412
Ollaberry Youth Club,SC019868,Shetland Islands,ZE2 9RU,60.48234312,-1.36722693,S02002327,S01012412
North Roe And Lochend Hall,SC019932,Shetland Islands,ZE2 9RY,60.58715763,-1.33192224,S02002327,S01012412
Hillswick Wildlife Sanctuary Trust,SC020979,Shetland Islands,ZE2 9RW,60.47863655,-1.48216127,S02002327,S01012412
Northmavine Fiddle And Accordion Club,SC023728,Shetland Islands,ZE2 9RH,60.49016244,-1.45227839,S02002327,S01012412
North Roe Methodist Church,SC038126,Shetland Islands,ZE2 9RT,60.50413033,-1.34409949,S02002327,S01012412
Hillswick And Eshaness Area Regeneration And Development Association,SC038969,Shetland Islands,ZE2 9RS,60.50013709,-1.57545767,S02002327,S01012412
Northmavine Community Development Company,SC039396,Shetland Islands,ZE2 9RT,60.50413033,-1.34409949,S02002327,S01012412
Hillswick Public Hall SCIO,SC046795,Shetland Islands,ZE2 9RW,60.47863655,-1.48216127,S02002327,S01012412
Shetland Church of Scotland,SC000293,Shetland Islands,ZE2 9AE,60.35186339,-1.01656744,S02002328,S01012415
Symbister Public Hall,SC000658,Shetland Islands,ZE2 9AA,60.34001854,-1.02248523,S02002328,S01012415
Charlestown Playpark Association,SC015572,Shetland Islands,ZE2 9AQ,60.34154885,-1.00964943,S02002328,S01012415
Whalsay Heritage And Community Centre SCIO,SC021645,Shetland Islands,ZE2 9AQ,60.34154885,-1.00964943,S02002328,S01012415
Skerries Community Hall,SC000509,Shetland Islands,ZE2 9AS,60.42300764,-0.76351421,S02002328,S01012416
Skerries Airstrip (SCIO),SC003058,Shetland Islands,ZE2 9AR,60.42364027,-0.75143019,S02002328,S01012416
Livister Youth Centre,SC013959,Shetland Islands,ZE2 9AN,60.37211726,-0.96984455,S02002328,S01012416
Ibister Public Hall,SC027295,Shetland Islands,ZE2 9AJ,60.35736405,-0.95368914,S02002328,S01012416
Whalsay Disability & Special Needs Support Group ( SCIO ),SC046925,Shetland Islands,ZE2 9AL,60.36438726,-0.99465316,S02002328,S01012416
Skerries Development Group,SC047535,Shetland Islands,ZE2 9AR,60.42364027,-0.75143019,S02002328,S01012416
Scalloway Public Hall Trust,SC000577,Shetland Islands,ZE1 0TX,60.13890501,-1.27655606,S02002325,S01012404
Shetland Fisheries Training Centre Trust,SC003715,Shetland Islands,ZE1 0UN,60.13330471,-1.2869935,S02002325,S01012404
Scalloway Youth Centre Trust,SC021005,Shetland Islands,ZE1 0XD,60.13748157,-1.28395063,S02002325,S01012404
Friends Of The Hillswick Health Centre,SC028513,Shetland Islands,ZE1 0TT,60.13967169,-1.27718739,S02002325,S01012404
The Shetland Bus Friendship Society,SC032686,Shetland Islands,ZE1 0TP,60.1375235,-1.27350782,S02002325,S01012404
Shetland Skatepark Association,SC034481,Shetland Islands,ZE1 0UY,60.13918789,-1.27903442,S02002325,S01012404
Scalloway Preschool,SC034536,Shetland Islands,ZE1 0TN,60.13989362,-1.27343757,S02002325,S01012404
North Atlantic Re-Training Enterprise,SC044778,Shetland Islands,ZE1 0UD,60.14011725,-1.27656546,S02002325,S01012404
Scalloway Youth and Community Centre ,SC047950,Shetland Islands,ZE1 0XD,60.13748157,-1.28395063,S02002325,S01012404
Shetland Gymnastics Club,SC049811,Shetland Islands,ZE1 0TS,60.13775367,-1.27454694,S02002325,S01012404
Ability Shetland Ltd,SC001111,Shetland Islands,ZE1 0JP,60.15644517,-1.14731839,S02002324,S01012400
Zetland Educational Trust Schemes 1961 to 1965,SC001146,Shetland Islands,ZE1 0LZ,60.15892506,-1.14617327,S02002324,S01012400
Shetland Pre School Play SCIO,SC008543,Shetland Islands,ZE1 0JP,60.15644517,-1.14731839,S02002324,S01012400
Voluntary Action Shetland,SC017286,Shetland Islands,ZE1 0JP,60.15644517,-1.14731839,S02002324,S01012400
Shetland Amenity Trust,SC017505,Shetland Islands,ZE1 0NY,60.15793146,-1.15365712,S02002324,S01012400
Shetland Islands Citizens Advice Bureau,SC019785,Shetland Islands,ZE1 0JP,60.15644517,-1.14731839,S02002324,S01012400
Tanglewood Trust,SC026549,Shetland Islands,ZE1 0JP,60.15644517,-1.14731839,S02002324,S01012400
Moving On Employment Project Limited,SC026699,Shetland Islands,ZE1 0JP,60.15644517,-1.14731839,S02002324,S01012400
Shetland Charitable Trust,SC027025,Shetland Islands,ZE1 0NQ,60.15712367,-1.15511902,S02002324,S01012400
Shetland Community Bike Project,SC028594,Shetland Islands,ZE1 0LX,60.15705501,-1.14580742,S02002324,S01012400
Relationships Scotland - Shetland,SC028899,Shetland Islands,ZE1 0JP,60.15644517,-1.14731839,S02002324,S01012400
Advocacy Shetland,SC029989,Shetland Islands,ZE1 0JP,60.15644517,-1.14731839,S02002324,S01012400
Hjaltland Housing Association Limited,SC031954,Shetland Islands,ZE1 0LZ,60.15892506,-1.14617327,S02002324,S01012400
Shetland Arts Development Agency,SC037082,Shetland Islands,ZE1 0WQ,60.15839763,-1.14793439,S02002324,S01012400
Shetland Bereavement Support Service,SC037783,Shetland Islands,ZE1 0JP,60.15644517,-1.14731839,S02002324,S01012400
Mind Your Head [SCIO],SC047357,Shetland Islands,ZE1 0JP,60.15644517,-1.14731839,S02002324,S01012400
Advocacy Shetland SCIO,SC048201,Shetland Islands,ZE1 0JP,60.15644517,-1.14731839,S02002324,S01012400
Shetland Community Connections SCIO ,SC048665,Shetland Islands,ZE1 0JP,60.15644517,-1.14731839,S02002324,S01012400
The Bop Shop,SC050791,Shetland Islands,ZE1 0LR,60.15603611,-1.14514933,S02002324,S01012400
Burravoe Public Hall,SC001315,Shetland Islands,ZE2 9AY,60.49884711,-1.05453481,S02002328,S01012413
Old Haa Trust,SC001356,Shetland Islands,ZE2 9BA,60.50068053,-1.08309935,S02002328,S01012413
Mid Yell Public Hall Comm,SC003312,Shetland Islands,ZE2 9BJ,60.59756694,-1.07595384,S02002328,S01012413
Westsandwick Public Hall,SC005374,Shetland Islands,ZE2 9BH,60.57646539,-1.17894148,S02002328,S01012413
Herra Public Hall,SC010627,Shetland Islands,ZE2 9BL,60.61801703,-1.14428649,S02002328,S01012413
Burravoe Pier Trust,SC010983,Shetland Islands,ZE2 9AY,60.49884711,-1.05453481,S02002328,S01012413
St Colmans Episcopal Church: Burravoe,SC011720,Shetland Islands,ZE2 9AY,60.49884711,-1.05453481,S02002328,S01012413
Peerie Breek's,SC012035,Shetland Islands,ZE2 9BB,60.71709907,-1.01519709,S02002328,S01012413
Cullivoe Public Hall Trust,SC015534,Shetland Islands,ZE2 9DD,60.71344073,-1.02324379,S02002328,S01012413
East Yell Public Hall,SC020055,Shetland Islands,ZE2 9AX,60.56152046,-1.02956081,S02002328,S01012413
Central Public Hall Sellafirth,SC022018,Shetland Islands,ZE2 9DG,60.66058185,-1.04804266,S02002328,S01012413
Shetland Guides Association,SC022677,Shetland Islands,ZE2 9BS,60.59612756,-1.06136991,S02002328,S01012413
North Yell Development Council,SC030659,Shetland Islands,ZE2 9DD,60.71344073,-1.02324379,S02002328,S01012413
North Ness Public Hall,SC035963,Shetland Islands,ZE2 9BD,60.50170465,-1.15672877,S02002328,S01012413
Yell Health Support Group,SC036852,Shetland Islands,ZE2 9BX,60.6010114,-1.06898921,S02002328,S01012413
Mid Yell Development Company,SC040462,Shetland Islands,ZE2 9BJ,60.59756694,-1.07595384,S02002328,S01012413
Yell for Cancer Support SCIO,SC042365,Shetland Islands,ZE2 9DA,60.61032464,-1.06031842,S02002328,S01012413
Whalefirth Men's Shed,SC049308,Shetland Islands,ZE2 9BD,60.50170465,-1.15672877,S02002328,S01012413
"St Magnus, South Yell SCIO ",SC049699,Shetland Islands,ZE2 9AY,60.49884711,-1.05453481,S02002328,S01012413
Seafield Seafront Trust (SCIO),SC050167,Shetland Islands,ZE2 9DA,60.61032464,-1.06031842,S02002328,S01012413
Girlguiding Shetland Division,SC050680,Shetland Islands,ZE2 9BS,60.59612756,-1.06136991,S02002328,S01012413
Sandness Public Hall Association,SC001663,Shetland Islands,ZE2 9PL,60.29940832,-1.64800451,S02002326,S01012409
