2011 scottish intermediate zone,Total
S02002335 : Alloway and Doonfoot,180
"S02002349 : Annbank, Mossblown and Tarbolton - the Coalfields",185
"S02002340 : Ayr North Harbour, Wallacetown and Newton South",280
S02002339 : Ayr South Harbour and Town Centre,925
S02002352 : Barassie,45
S02002337 : Belmont,95
S02002333 : Carrick North,220
S02002329 : Carrick South,380
S02002336 : Castlehill and Kincaidston,50
S02002334 : Coylton,185
S02002341 : Craigie,30
S02002342 : Dalmilling,35
"S02002350 : Dundonald, Loans and Symington",245
S02002331 : Girvan Ailsa,155
S02002330 : Girvan Glendoune,10
S02002345 : Heathfield,160
S02002338 : Holmston and Forehill,85
"S02002343 : Lochside, Braehead and Whitletts",65
S02002332 : Maybole,125
S02002351 : Muirhead,70
S02002344 : Newton North,80
S02002348 : Prestwick Airport and Monkton,215
S02002347 : Prestwick East,85
S02002346 : Prestwick West,215
S02002353 : Troon,330
