Name,Charity Number,Local authority,Postcode,Latitude,Longitude,IntermediateZone2011Code,DataZone2011Code
Kirkoswald Parish Church Of Scotland,SC000213,South Ayrshire,KA26 9DZ,55.24158284,-4.84406436,S02002331,S01012432
Girvan : North Parish Church of Scotland,SC007347,South Ayrshire,KA26 9DZ,55.24158284,-4.84406436,S02002331,S01012432
Thomas Davidson's Trust,SC000976,South Ayrshire,KA26 9AE,55.24254183,-4.85572887,S02002331,S01012431
Age Concern Scotland Girvan Branch,SC006271,South Ayrshire,KA26 9AP,55.23791025,-4.85657658,S02002331,S01012431
Girvan Hospitals Auxiliary Association,SC007409,South Ayrshire,KA26 9AE,55.24254183,-4.85572887,S02002331,S01012431
Girvan And South Carrick Community Action Network,SC023218,South Ayrshire,KA26 9AE,55.24254183,-4.85572887,S02002331,S01012431
Friends Of Hillcrest,SC027683,South Ayrshire,KA26 9HR,55.24487161,-4.85336268,S02002331,S01012431
Girvan Community Garden,SC040969,South Ayrshire,KA26 9AL,55.24131625,-4.85815833,S02002331,S01012431
South Carrick Community Leisure,SC043090,South Ayrshire,KA26 9AG,55.24313993,-4.85821059,S02002331,S01012431
Milestone Christian Fellowship,SC044295,South Ayrshire,KA26 9HG,55.24586979,-4.85373321,S02002331,S01012431
Girvan Town Team,SC046542,South Ayrshire,KA26 9AG,55.24313993,-4.85821059,S02002331,S01012431
Age Concern Girvan SCIO ,SC050839,South Ayrshire,KA26 9AP,55.23791025,-4.85657658,S02002331,S01012431
Scottish Women’s Institutes Ayrshire Federation,SC001553,South Ayrshire,KA7 1BJ,55.46400373,-4.63364041,S02002339,S01012481
South Ayrshire Women's Aid,SC002364,South Ayrshire,KA7 1BW,55.46365115,-4.63331629,S02002339,S01012481
Ayrshire Dementia Care Limited,SC006915,South Ayrshire,KA7 1JJ,55.46439367,-4.6376534,S02002339,S01012481
South Ayrshire Befriending Project,SC020989,South Ayrshire,KA7 1JN,55.46383417,-4.63567003,S02002339,S01012481
Three Towers Trust Ayrshire,SC027772,South Ayrshire,KA7 1BX,55.46271622,-4.63415572,S02002339,S01012481
Voluntary Action South Ayrshire,SC028234,South Ayrshire,KA7 1QJ,55.46200563,-4.63167197,S02002339,S01012481
South Ayrshire Escape From Homelessness Ltd (Seascape),SC028570,South Ayrshire,KA7 1QJ,55.46200563,-4.63167197,S02002339,S01012481
St Andrew's Parish Church Of Scotland: Ayr,SC001757,South Ayrshire,KA7 4QD,55.43248759,-4.63244142,S02002335,S01012458
100th Ayrshire Alloway Scout Group,SC030759,South Ayrshire,KA7 4QU,55.42913537,-4.62739701,S02002335,S01012458
2nd Alloway Guides,SC033517,South Ayrshire,KA7 4QU,55.42913537,-4.62739701,S02002335,S01012458
1st Alloway Brownie Unit,SC033840,South Ayrshire,KA7 4QU,55.42913537,-4.62739701,S02002335,S01012458
Alloway Rangers,SC038670,South Ayrshire,KA7 4QU,55.42913537,-4.62739701,S02002335,S01012458
Ayr Community Rugby Trust,SC039365,South Ayrshire,KA7 4QQ,55.43129112,-4.63165039,S02002335,S01012458
Girlguiding Alloway District,SC049080,South Ayrshire,KA7 4QU,55.42913537,-4.62739701,S02002335,S01012458
Ayr Amateur Opera Company,SC050398,South Ayrshire,KA7 4QR,55.42949327,-4.62538164,S02002335,S01012458
Castlehill Parish Church of Scotland: Ayr,SC001792,South Ayrshire,KA7 3LW,55.44930392,-4.612828,S02002337,S01012467
South Ayrshire Autistic Society,SC032408,South Ayrshire,KA7 3EG,55.45088834,-4.61608016,S02002337,S01012467
Ayr Fort Players,SC001927,South Ayrshire,KA7 4HE,55.43469389,-4.65470588,S02002335,S01012453
1st Alloway Rainbow Unit,SC038846,South Ayrshire,KA7 4HZ,55.43513191,-4.64860112,S02002335,S01012453
