2011 scottish intermediate zone,Total
S02002371 : Ashgill and Netherburn,120
S02002411 : Bankhead South,55
"S02002355 : Biggar, Symington, Thankerton and Dolphinton",380
"S02002435 : Birniehill, Kelvin and Whitehills East",355
S02002392 : Blantyre South and Wheatlands,95
S02002394 : Blantytre North and Coatshill,65
S02002400 : Bothwell North,60
S02002399 : Bothwell South,205
"S02002407 : Burgh, Eastfield and Silverbank",125
S02002396 : Burnbank Central and Udston,110
S02002395 : Burnbank North,190
S02002397 : Burnbank South and Chantinghall,135
S02002410 : Burnhill and Bankhead North,50
S02002414 : Burnside and Springhall,75
S02002418 : Calderwood Central,40
S02002417 : Calderwood East,30
S02002419 : Calderwood West and Nerston,115
S02002406 : Cambuslang Central,205
S02002361 : Carluke East,40
S02002360 : Carluke North,90
S02002362 : Carluke South,100
S02002359 : Carluke West,60
"S02002356 : Carstairs, Carstairs Junction and Carnwath",200
"S02002379 : Chapelton, Glengavel and Sandford",240
S02002354 : Clydesdale South,190
"S02002363 : Crossford, Braidwood and Yieldshields",135
S02002429 : Crosshouse and Lindsayfield,60
"S02002368 : Douglas, Coalburn and Rigside",140
S02002389 : Earnock,65
S02002422 : East Mains,210
S02002381 : Eddlewood,45
S02002386 : Fairhill,35
S02002408 : Farme Cross and Gallowflat North,230
S02002415 : Fernhill and Cathkin,70
"S02002357 : Forth, Braehead and Auchengray",150
"S02002380 : Glassford, Quarter and Allanton",180
S02002431 : Greenhills,40
S02002427 : Hairmyres and Westwood West,95
"S02002402 : Halfway, Hallside and Drumsagard",205
S02002384 : Hamilton Centre and Low Parks,675
S02002374 : Hareleeshill,70
S02002367 : Hazelbank and Kirkfieldbank,225
S02002391 : High Blantyre,225
S02002413 : High Crosshill,115
S02002390 : Hillhouse,60
S02002370 : Kirkmuirhill and Blackwood,85
S02002385 : Laighstonehall,70
S02002365 : Lanark North East,70
S02002364 : Lanark North West,95
S02002366 : Lanark South,260
"S02002373 : Larkhall Central, Raploch, Millheugh and Burnhead",230
S02002358 : Law,100
S02002369 : Lesmahagow,110
S02002388 : Little Earnock,150
S02002393 : Low Blantyre and Bardykes,55
S02002382 : Low Waters,85
S02002372 : Merryton and Meadowhill,65
S02002428 : Mossneuk and Newlandsmuir,35
S02002416 : Nerston and EK Landward Area,410
S02002409 : Shawfield and Clincarthill,325
S02002383 : Silvertonhill,100
S02002412 : Spittal,35
S02002420 : St Leonards North,80
S02002421 : St Leonards South,135
S02002424 : Stewartfield East,55
S02002425 : Stewartfield West,385
S02002376 : Stonehouse,165
S02002378 : Strathaven North,95
S02002377 : Strathaven South,190
S02002375 : Strutherhill,65
S02002434 : The Murray,40
"S02002426 : Thorntonhall, Jackton and Gardenhall",195
S02002401 : Uddingston and Gardenside,285
S02002404 : Vicarland and Cairns,80
S02002423 : West Mains,190
S02002403 : Westburn and Newton,110
S02002433 : Westwood East,50
S02002432 : Westwood South,30
S02002398 : Whitehill,280
S02002430 : Whitehills West,55
S02002405 : Whitlawburn and Greenlees,85
S02002387 : Woodhead and Meikle Earnock,30
