name,postcode
Abbeygreen District Hall,ML11 0ED
Abington Hall,ML12 6SD
Alistair McCoist Complex,G75 9LW
Almada Community Centre,ML3 0HQ
Auchenheath Hall,ML11 9XE
Auchentibber Resource Centre,G72 0JB
Avondale Community Wing,ML10 6JW
Ballerup Hall,G74 1AB
Ballerup Recreation Area,G75 0SD
Ballgreen Hall,ML10 6LZ
Biggar Library,ML12 6FX
Biggar Municipal Hall,ML12 6DT
Blacklaw Community Wing,G74 2BP
Blackwood and Kirkmuirhill Hall,ML11 9SB
Blantyre Library,G72 0QD
Blantyre Miners Welfare and Community Resource Centre,G72 0AU
Bothwell Community Hall,G71 8HF
Bothwell Library,G71 8RG
Braehead Hall,ML11 8EY
Brancumhall Recreation Area,G74 3PR
Brocketsbrae Hall,ML11 9PT
Burnbank Centre,ML3 0NA
Burnbank Library,ML3 0NA
Calderwood Hall,G74 3JT
Cambuslang Institute,G72 8JE
Cambuslang Library,G72 7EX
Carluke Library,ML8 4DF
Carluke Lifestyles,ML8 4DF
Carluke Primary Community Wing,ML8 4BG
Carmichael Hall,ML12 6PG
Carnwath Town Hall,ML11 8JY
Carstairs Community Centre,ML11 8QF
Carstairs Junction Hall,ML11 8PQ
Cathkin Community Wing,G73 4AA
Chapelton Hall,ML10 6RZ
Coalburn Leisure Complex,ML11 0LP
Clydesdale Citizens Advice Bureau,ML11 7LX
Community Centre,ML8 5EB
Coulter Hall,ML12 6PT
Craigbank Community Wing,ML9 1EL
Crawford Hall,ML12 6TW
Crawfordjohn Hall,ML12 6SR
Crossford Hall,ML8 5RE
Dalserf Community Wing,ML9 3FJ
David Milne Centre,G71 7PF
Dolphinton Hall,EH46 7AD
Douglas St Brides Hall,ML11 0QW
Duncanrig Sports Centre,G75 8ZT
East Kilbride Arts Centre,G74 4DU
East Kilbride Library,G74 1PG
East Kilbride Citizens Advice,G74 1JT
Eastfield Community Centre,G72 7BA
Eastfield Lifestyle,G73 3LW
Eddlewood Public Hall,ML3 8BG
Elsrickle Hall,ML12 6QZ
Fairhill Lifestyles,ML3 8HJ
Fernhill Community Centre,G73 4EQ
Ferniegair Hall,ML3 7TX
Forth Library,ML11 8AE
Glassford Hall,ML10 6TG
Glespin Hall,ML11 0SF
Greenhills Hall,G75 8TT
Greenhills Library,G75 8TT
Halfway Library,G72 7PJ
Hamilton Palace Sports Ground,ML3 6EF
Hamilton Water Palace,ML3 0HQ
Hamilton Citizens Advice Bureau,ML3 7DZ
Hareleeshill Community Wing,ML9 2RQ
Harry Smith Complex,ML11 7DG
High Blantyre Hall,G72 0HA
Hillhouse Library,ML3 9TX
Hillhouse and Earnock Community Centre,ML3 9TX
Jock Stein Centre,ML3 9TU
John Wright Sports Centre,G74 3EU
Kilncadzow Village Hall,ML8 4QT
Kirktonholme Hall,G74 1BD
Laighstonehall,ML3 8LU
Lanark Library,ML11 7LZ
Lanark Lifestyles,ML11 7DG
Tact Community Hall,ML11 7AB
Larkfield Neighbourhood Hall,G72 9PQ
Larkhall Community Centre,ML9 2AA
Larkhall Community Growers,ML9 1DR
Larkhall Leisure Centre,ML9 1QP
Larkhall Library,ML9 1DR
Leadhills Hall,ML12 6YA
Lesmahagow Library,ML11 0EF
Lesmahagow Sports Facility,ML11 0FS
Low Waters Hall,ML3 6SN
Mossneuk Community Wing,G75 8XQ
Murray Owen Hall,G75 9AD
Nemphlar Hall,ML11 8NA
Netherburn Community Hall,ML9 3BT
North Halfway Hall,G72 7RB
Pettinain Hall,ML11 8SS
Quothquan Hall,ML12 6NB
Ravenstruther Hall,ML11 7SS
Ravenstruther and Cleghorn Village Hall,ML11 8NL
Rigside Hall,ML11 9LY
Roberton Hall,ML12 6RS
Rutherglen Library,G73 2HB
Rutherglen Town Hall,G73 2JJ
Smyllum Resource Centre,ML11 7BZ
Spittal Community Centre,G73 4LJ
Springhall Community Centre,G73 5HW
Springhall Library,G73 5HW
Springwells Neighbourhood Hall,G72 0LF
St Brides Centre,ML11 0PT
St Leonards Library,G74 2AT
Stewartfield Community Centre,G74 4TT
Stonehouse Lifestyles,ML9 3JL
Strathaven Sports Centre,ML10 6DR
Symington Hall,ML12 6LL
TACT Community Hall,G72 9EF
Tarbrax Hall,EH55 8LW
Thankerton Hall,ML12 6NZ
The Fountain,ML11 0UD
The June Stewart Centre,G72 0DL
The Town House Hamilton,ML3 6HH
Thornton Road Community Centre,ML11 9QE
Toll Pitch Pavillion,G72 7XR
Tom Craig Centre,ML8 5JQ
Uddingston Community Centre,G71 7PA
Uddingston Library,G71 7PA
Universal Connections,ML3 7HY
Village Theatre East Kilbride,G74 4HY
Westburn Community Hall,G72 7TF
Westwood Hall,G75 8EY
Whitehill Neighbourhood Centre,ML3 0LH
Willie Waddell Sports and Community Centre,ML11 8AA
Wiston Village Hall,ML12 6HT
Woolfords Hall,EH55 8LH
