Name,Charity Number,Local authority,Postcode,Latitude,Longitude,IntermediateZone2011Code,DataZone2011Code
Cambuslang Parish Church of Scotland,SC000061,South Lanarkshire,G72 7EX,55.81945947,-4.16588326,S02002406,S01012846
Rutherglen and Cambuslang Citizens Advice Bureau,SC003214,South Lanarkshire,G72 7EX,55.81945947,-4.16588326,S02002406,S01012846
Upstairs Kids Klub,SC029588,South Lanarkshire,G72 7EX,55.81945947,-4.16588326,S02002406,S01012846
Routes to Work South,SC031487,South Lanarkshire,G72 7EX,55.81945947,-4.16588326,S02002406,S01012846
Carluke Day Centre For The Elderly,SC000209,South Lanarkshire,ML8 5DW,55.7368148,-3.83883644,S02002360,S01012602
The High Mill Trust,SC003256,South Lanarkshire,ML8 4BE,55.73713487,-3.83606401,S02002360,S01012602
Biggar Parish Church Of Scotland,SC000333,South Lanarkshire,ML12 6BJ,55.62343145,-3.52543025,S02002355,S01012576
Biggar Youth Project,SC024444,South Lanarkshire,ML12 6AD,55.62377798,-3.52285502,S02002355,S01012576
1st Biggar Guide Unit,SC033027,South Lanarkshire,ML12 6AD,55.62377798,-3.52285502,S02002355,S01012576
Biggar Primary School PTA,SC037129,South Lanarkshire,ML12 6ZJ,55.62315948,-3.52200521,S02002355,S01012576
St Cuthberts Episcopal Church: Cambuslang,SC000362,South Lanarkshire,G73 3NE,55.82169801,-4.18767122,S02002407,S01012850
Westwood Baptist Church,SC000588,South Lanarkshire,G75 8EY,55.75616167,-4.20176969,S02002427,S01012956
Blackmount Parish Church (Church Of Scotland),SC000603,South Lanarkshire,ML12 6QZ,55.676636,-3.49062185,S02002355,S01012580
Stonehouse Agricultural Society,SC008168,South Lanarkshire,ML12 6QZ,55.676636,-3.49062185,S02002355,S01012580
Tarbrax Village Hall Trust,SC029846,South Lanarkshire,EH55 8LW,55.77202433,-3.55232138,S02002355,S01012580
East Kilbride Old Parish Church Of Scotland,SC000609,South Lanarkshire,G74 4JS,55.76533946,-4.1764623,S02002422,S01012930
East Mains United Reformed Church,SC016671,South Lanarkshire,G74 4JP,55.76582158,-4.17562834,S02002422,S01012930
Skills Exchange SCIO,SC048438,South Lanarkshire,G74 4HG,55.76584418,-4.17384416,S02002422,S01012930
East Mains Baptist Church SCIO,SC050585,South Lanarkshire,G74 4HG,55.76584418,-4.17384416,S02002422,S01012930
Lesmahagow And District Resource Centre,SC000741,South Lanarkshire,ML11 0EQ,55.63881613,-3.88659428,S02002369,S01012645
Lesmahagow Development Trust,SC040828,South Lanarkshire,ML11 0EQ,55.63881613,-3.88659428,S02002369,S01012645
1st Lesmahagow Senior Section Unit,SC046637,South Lanarkshire,ML11 0ES,55.63696989,-3.8903504,S02002369,S01012645
Hamilton Division Girlguiding,SC048405,South Lanarkshire,ML11 0ES,55.63696989,-3.8903504,S02002369,S01012645
Abbeygreen Ministries Trust ,SC049960,South Lanarkshire,ML11 0DB,55.64078258,-3.88670472,S02002369,S01012645
