Community,Mean SIMD Decile,Female life expectancy,Male life expectancy,Businesses per 1000 people,Local charities per 1000 people,Community spaces per 1000 people
Clydesdale South,5,84.0,75.0,78.0,4.5,3.28
"Biggar, Symington, Thankerton and Dolphinton",7,83.0,79.0,65.0,4.1,1.54
"Carstairs, Carstairs Junction and Carnwath",4,81.0,78.0,41.0,2.89,1.44
"Forth, Braehead and Auchengray",5,82.0,78.0,42.0,3.08,1.12
Law,6,83.0,81.0,28.0,0.55,0.28
Carluke West,8,85.0,80.0,21.0,2.14,0.36
Carluke North,4,78.0,77.0,37.0,2.45,0.41
Carluke East,4,81.0,78.0,10.0,0.0,0.5
Carluke South,4,80.0,78.0,29.0,0.88,0.0
"Crossford, Braidwood and Yieldshields",6,80.0,80.0,47.0,1.4,0.7
Lanark North West,6,84.0,82.0,37.0,3.47,0.77
Lanark North East,4,82.0,78.0,32.0,1.37,0.46
Lanark South,5,78.0,75.0,68.0,4.44,0.78
Hazelbank and Kirkfieldbank,5,83.0,78.0,57.0,4.33,0.51
"Douglas, Coalburn and Rigside",3,81.0,77.0,33.0,3.72,0.93
Lesmahagow,4,79.0,78.0,30.0,2.42,0.81
Kirkmuirhill and Blackwood,5,82.0,80.0,20.0,0.93,0.47
Ashgill and Netherburn,3,78.0,73.0,38.0,1.28,0.64
Merryton and Meadowhill,6,83.0,78.0,20.0,1.24,0.0
"Larkhall Central, Raploch, Millheugh and Burnhead",5,81.0,78.0,60.0,1.56,1.04
Hareleeshill,4,80.0,72.0,18.0,0.75,0.25
Strutherhill,1,78.0,70.0,18.0,0.28,0.28
Stonehouse,5,79.0,75.0,29.0,1.23,0.18
Strathaven South,7,83.0,80.0,42.0,3.3,0.44
Strathaven North,8,82.0,79.0,32.0,2.39,0.34
"Chapelton, Glengavel and Sandford",7,79.0,79.0,63.0,2.38,0.26
"Glassford, Quarter and Allanton",7,83.0,82.0,40.0,0.22,0.45
Eddlewood,6,78.0,78.0,13.0,0.85,0.0
Low Waters,2,79.0,73.0,31.0,0.0,0.0
Silvertonhill,8,85.0,79.0,36.0,1.82,0.0
Hamilton Centre and Low Parks,5,81.0,76.0,162.0,4.08,0.72
Laighstonehall,3,80.0,74.0,19.0,1.94,0.28
Fairhill,2,78.0,77.0,17.0,0.0,0.97
Woodhead and Meikle Earnock,3,80.0,75.0,11.0,0.0,0.0
Little Earnock,6,88.0,79.0,21.0,0.29,0.14
Earnock,9,86.0,80.0,16.0,1.5,0.0
Hillhouse,2,80.0,73.0,15.0,0.74,0.49
High Blantyre,2,79.0,70.0,60.0,1.07,0.8
Blantyre South and Wheatlands,3,77.0,70.0,22.0,2.1,0.7
Low Blantyre and Bardykes,6,83.0,78.0,17.0,0.31,0.0
Blantytre North and Coatshill,3,79.0,78.0,22.0,0.69,0.35
Burnbank North,3,78.0,75.0,39.0,1.45,0.21
Burnbank Central and Udston,2,75.0,72.0,24.0,0.67,0.67
Burnbank South and Chantinghall,5,77.0,75.0,36.0,0.27,0.0
Whitehill,3,80.0,76.0,70.0,2.27,0.76
Bothwell South,9,85.0,83.0,60.0,0.29,0.58
Bothwell North,5,83.0,75.0,19.0,0.32,0.0
Uddingston and Gardenside,7,82.0,79.0,43.0,0.9,0.45
"Halfway, Hallside and Drumsagard",7,84.0,80.0,25.0,0.24,0.12
Westburn and Newton,5,83.0,76.0,18.0,0.32,0.48
Vicarland and Cairns,2,79.0,73.0,20.0,1.72,0.0
Whitlawburn and Greenlees,6,80.0,73.0,19.0,0.45,0.0
Cambuslang Central,6,80.0,78.0,55.0,1.88,0.54
"Burgh, Eastfield and Silverbank",7,81.0,78.0,22.0,1.96,0.36
Farme Cross and Gallowflat North,2,77.0,71.0,65.0,0.56,0.0
Shawfield and Clincarthill,3,74.0,71.0,93.0,1.15,0.29
Burnhill and Bankhead North,2,79.0,74.0,15.0,0.3,0.0
Bankhead South,6,83.0,76.0,19.0,0.0,0.0
Spittal,2,78.0,74.0,13.0,0.36,0.36
High Crosshill,9,86.0,82.0,31.0,2.66,0.0
Burnside and Springhall,5,80.0,72.0,17.0,1.16,0.46
Fernhill and Cathkin,3,79.0,75.0,15.0,0.22,0.44
Nerston and EK Landward Area,6,79.0,76.0,51.0,1.0,0.0
Calderwood East,5,83.0,75.0,9.0,0.57,0.0
Calderwood Central,5,80.0,73.0,11.0,1.08,0.54
Calderwood West and Nerston,6,80.0,76.0,28.0,0.73,0.49
St Leonards North,7,85.0,81.0,17.0,1.04,0.21
St Leonards South,7,82.0,77.0,31.0,2.29,0.69
East Mains,5,83.0,76.0,69.0,3.29,0.33
West Mains,5,83.0,76.0,64.0,1.36,0.34
Stewartfield East,9,86.0,83.0,21.0,1.53,0.0
Stewartfield West,8,83.0,79.0,98.0,1.27,0.25
"Thorntonhall, Jackton and Gardenhall",9,81.0,82.0,46.0,0.71,0.0
Hairmyres and Westwood West,7,81.0,76.0,26.0,1.34,0.54
Mossneuk and Newlandsmuir,8,87.0,83.0,13.0,1.13,0.0
Crosshouse and Lindsayfield,6,81.0,78.0,11.0,0.75,0.0
Whitehills West,3,77.0,75.0,14.0,0.0,0.5
Greenhills,4,78.0,78.0,13.0,0.99,0.66
Westwood South,6,85.0,78.0,7.0,1.23,0.0
Westwood East,5,81.0,75.0,14.0,0.0,0.29
The Murray,4,81.0,75.0,11.0,0.28,0.0
"Birniehill, Kelvin and Whitehills East",4,82.0,78.0,92.0,1.03,0.26
