2011 scottish intermediate zone,Total
S02002437 : Balfron and Drymen,250
S02002443 : Bannockburn,95
S02002436 : Blane Valley,330
S02002446 : Borestone,70
S02002448 : Braehead,530
S02002453 : Bridge of Allan and University,320
S02002445 : Broomridge,95
S02002458 : Callander and Trossachs,215
S02002439 : Cambusbarron,115
S02002457 : Carse of Stirling,415
S02002452 : Causewayhead,60
S02002449 : City Centre,320
S02002451 : Cornton,55
S02002441 : Cowie,55
S02002455 : Dunblane East,250
S02002456 : Dunblane West,130
S02002442 : Fallin,50
S02002454 : Forth,205
S02002459 : Highland,260
S02002444 : Hillpark,80
S02002447 : King's Park and Torbrex,285
S02002438 : Kippen and Fintry,205
S02002440 : Plean and Rural SE,180
S02002450 : Raploch,230
