Name,Charity Number,Local authority,Postcode,Latitude,Longitude,IntermediateZone2011Code,DataZone2011Code
Stirling Baptist Church,SC000117,Stirling,FK8 1AU,56.11926454,-3.93742862,S02002449,S01013067
Stirling and District Women's Aid,SC010937,Stirling,FK8 1AX,56.11872603,-3.93738546,S02002449,S01013067
Society Of Friends Of Dunblane Cathedral,SC000283,Stirling,FK15 9JS,56.2100931,-3.96682441,S02002455,S01013097
Ashfield Village Association,SC009591,Stirling,FK15 0JR,56.21105109,-3.96139098,S02002455,S01013097
Kinbuck Community Group,SC029086,Stirling,FK15 0NQ,56.2227705,-3.95052145,S02002455,S01013097
Callander Kirk Church of Scotland,SC000396,Stirling,FK17 8BN,56.24253717,-4.21389352,S02002458,S01013115
Folklórny súbor Lipa (SCIO) SC049435,SC049435,Stirling,FK17 8BL,56.24341242,-4.21520294,S02002458,S01013115
John McLintock Hall Trust,SC000654,Stirling,G63 0RH,56.06519944,-4.33986675,S02002437,S01013012
John Mclintock Trust,SC002856,Stirling,G63 0TW,56.06955343,-4.33585677,S02002437,S01013012
25th Forth Valley Balfron Scouts Group,SC005418,Stirling,G63 0TX,56.06767125,-4.33463428,S02002437,S01013012
Strathblane & Strathendrick District Welfare Fund,SC011208,Stirling,G63 0TR,56.06834578,-4.33555875,S02002437,S01013012
Lodge Strathendrick No 780 Benevolent Fund,SC024475,Stirling,G63 0TJ,56.06987931,-4.3347839,S02002437,S01013012
Drymen Village Hall Improvements Comm,SC000799,Stirling,G63 0BX,56.06664478,-4.45555198,S02002437,S01013010
DCDT Enterprise Company,SC041565,Stirling,G63 0BX,56.06664478,-4.45555198,S02002437,S01013010
ARCADIA SCULPTURE CENTRE,SC050893,Stirling,G63 0DW,56.06418649,-4.43902479,S02002437,S01013010
"Kincardine in Menteith Church of Scotland, Blair Drummond",SC000802,Stirling,FK9 4UZ,56.16070488,-4.08778528,S02002457,S01013109
Blairdrummond Community Hall Association,SC012129,Stirling,FK9 4AN,56.1545807,-4.061819,S02002457,S01013109
Stirling City Choir,SC014953,Stirling,FK8 3PJ,56.17384643,-4.14945897,S02002457,S01013109
Scottish Community Drama Association Stirling District,SC021379,Stirling,FK8 3PR,56.17418403,-4.15329598,S02002457,S01013109
