Name,Latitude,Longitude,Postcode,IntermediateZone2011Code
"Balquhidder, Lochearnhead and Strathyre Community Trust",56.3249406,-4.3279041,FK18 8NA,S02002459
"Braehead, Broomridge & District Community Development Trust",56.10808493,-3.92424252,FK7 7GU,S02002448
Callander Community Development Trust Ltd,56.24465495,-4.21958413,FK17 8BA,S02002458
Cambusbarron Community Development Trust,56.10554566,-3.96619917,FK7 9PQ,S02002439
Dunblane Development Trust,56.19094835,-3.96423279,FK15 0AT,S02002455
East Loch Lomond Community Trust (SCIO),56.08376645,-4.53771879,G63 0JQ,S02002436
Fintry Development Trust,56.05476536,-4.22473613,G63 0YA,S02002438
Gargunnock Community Trust Ltd,56.12189189,-4.07120224,FK8 3BA,S02002438
Killin and Ardeonaig Community Development Trust Limited,56.46329516,-4.32070145,FK21 8XE,S02002459
Kilmadock Development Trust Limited,56.19009088,-4.05294186,FK16 6DF,S02002457
Strathard Community Trust,56.17831658,-4.38113231,FK8 3UQ,S02002459
Strathblane Community Development Trust,55.987495,-4.31267427,G63 9BP,S02002436
Trossachs Community Trust ,56.23149744,-4.36647352,FK17 8HT,S02002458
Valley Renewables Group,56.08648079,-3.9534621,FK7 9QB,S02002440
