Community,Mean SIMD Decile,Female life expectancy,Male life expectancy,Businesses per 1000 people,Local charities per 1000 people,Community spaces per 1000 people
Blane Valley,8,86.0,81.0,59.0,3.94,0.36
Balfron and Drymen,8,85.0,78.0,56.0,4.52,0.45
Kippen and Fintry,8,87.0,83.0,64.0,6.58,0.63
Cambusbarron,7,86.0,80.0,30.0,2.86,0.52
Plean and Rural SE,4,83.0,76.0,57.0,0.95,0.63
Cowie,4,78.0,76.0,20.0,1.1,0.73
Fallin,4,78.0,68.0,18.0,1.05,1.05
Bannockburn,7,78.0,77.0,28.0,1.19,0.3
Hillpark,4,81.0,77.0,24.0,1.47,0.29
Broomridge,5,80.0,76.0,18.0,1.49,0.19
Borestone,4,81.0,75.0,17.0,2.19,0.24
King's Park and Torbrex,9,84.0,82.0,67.0,4.01,0.47
Braehead,4,81.0,72.0,211.0,5.18,0.8
City Centre,5,82.0,78.0,87.0,1.63,0.81
Raploch,1,72.0,66.0,63.0,1.92,0.82
Cornton,5,78.0,74.0,17.0,1.25,0.31
Causewayhead,9,85.0,87.0,21.0,1.06,0.35
Bridge of Allan and University,9,84.0,82.0,45.0,1.7,0.28
Forth,8,82.0,78.0,71.0,6.26,0.7
Dunblane East,9,85.0,83.0,45.0,3.98,0.54
Dunblane West,9,84.0,82.0,29.0,2.69,0.22
Carse of Stirling,7,85.0,81.0,79.0,5.16,1.15
Callander and Trossachs,7,84.0,79.0,59.0,3.55,0.27
Highland,6,84.0,81.0,83.0,7.96,1.91
