Name,Longitude,Latitude,postcode,Local authority
Mutual Aid Organisation,-4.2026458,56.49067119999999,FK21 8SU,Stirling
Coronavirus Support Scotland,-4.2026458,56.49067119999999,FK21 8SU,Stirling
The Sikh Food Bank,-4.2026458,56.49067119999999,FK21 8SU,Stirling
Stirling Pulling Together,-3.9369029,56.1165227,FK8 2LD,Stirling
Stirling Pulling together,-3.9369029,56.1165227,FK8 2LD,Stirling
Bridge of Allan Scouts,-3.9369029,56.1165227,FK8 2LD,Stirling
Forth Valley Residents Volunteer Makers Coronavirus Response,-3.9748983,56.0838416,FK7 9NW,Stirling
Dunblane Community Support,-3.967449,56.183877,FK15 9LU,Stirling
Gartmore Cares,-4.3803919,56.143923,FK8 3SG,Stirling
Gargunnock Mutual Aid COVID-19,-4.0822533,56.1244866,FK8 3BH,Stirling
Buchlyvie Cares,-4.291876,56.1160491,FK8 3LP,Stirling
Strathblanefield Volunteers (COVID-19),-4.316636,55.987571,FK8 3SF,Stirling
Killearn COVID-19 community hub,-4.372517,56.04628599999999,G63 9NJ,Stirling
Buchlyvie Cares,-4.30766,56.11508,FK8 3PD,Stirling
