name,postcode
Alexandria Community Centre,G83 0NU
Alexandria Library,G83 0DA
Balloch Library,G83 8BW
Benview Centre,G82 1BA
Bonhill Community Education Centre,G83 9DZ
Bowling Public Hall,G60 5AG
Centre81,G81 1DP
Citizens Advice Bureau Alexandria,G83 0LZ
Citizens Advice Bureau Clydebank,vG81 1BL
Citizens Advice Bureau Dumbarton,G82 1NW
Clydebank East Community Centre,G81 1AJ
Clydebank Leisure Centre,G81 1BF
Clydebank Library,G81 1XH
Concord Community Centre,G82 1LJ
Dalmonach Community Centre,G83 9AU
Dalmuir Community Centre,G81 4RQ
Dalmuir Library,G81 4LX
Denny Civic Theatre,G82 1LJ
Dumbarton Library,G82 1BD
Duntocher Library,G81 6HF
Duntocher Village Hall,G81 6DF
Faifley Library,G81 5BS
Glenhead Community Centre,G81 6HF
Hub Community Centre,G81 2TX
Kilmaronock Millennium Hall,G83 8NF
Meadow Centre,G82 2AA
Mill Cabin,G83 8AB
Napier Hall,G60 5JH
New Burgh Hall,G82 1QL
Onslow Road Community Hall,G81 2PR
Parkhall Library,G81 3EF
Skypoint,G81 5JY
The Crosslet Centre,G82 2LS
The Cutty Sark Centre,G82 3DR
The Phoenix,G82 5AF
Vale of Leven Pool,G83 0UE
