Name,Charity Number,Local authority,Postcode,Latitude,Longitude,IntermediateZone2011Code,DataZone2011Code
Vale of Leven Humane Society,SC000269,West Dunbartonshire,G83 0QR,55.99576435,-4.57933702,S02002475,S01013227
Bonhill Church Of Scotland,SC000886,West Dunbartonshire,G83 8HT,56.00574473,-4.57185308,S02002476,S01013236
Lomond Parish Church of Scotland,SC001268,West Dunbartonshire,G83 8HU,56.00609858,-4.57341663,S02002476,S01013236
Vale of Leven Baptist Church,SC014092,West Dunbartonshire,G83 8EW,56.00716153,-4.56899545,S02002476,S01013236
Enable Vale Of Leven Branch,SC021268,West Dunbartonshire,G83 8HN,56.00434338,-4.57310739,S02002476,S01013236
1st Vale Of Leven Guide Unit,SC031971,West Dunbartonshire,G83 8HW,56.00482817,-4.57227339,S02002476,S01013236
Callander's Landscape SCIO,SC048880,West Dunbartonshire,G83 8EG,56.00347486,-4.57466977,S02002476,S01013236
Lodge Bonhill & Alexandria St Andrews No321 - St Andrews Royal Arch - Benevolent Fund,SC001930,West Dunbartonshire,G83 0DA,55.9871303,-4.58345979,S02002473,S01013210
Lodge Cochno No 1304 Benevolent Fund,SC002055,West Dunbartonshire,G81 6AD,55.92150987,-4.40825107,S02002464,S01013150
Duntocher Trinity Parish Church of Scotland,SC008854,West Dunbartonshire,G81 5NS,55.92104794,-4.40153187,S02002464,S01013150
Kilmaronock Gartocharn Church of Scotland,SC002145,West Dunbartonshire,G83 8RY,56.04186472,-4.52371023,S02002477,S01013242
Kilmaronock Millennium Association,SC024904,West Dunbartonshire,G83 8NF,56.04340015,-4.52466156,S02002477,S01013242
Gartocharn Trust,SC028347,West Dunbartonshire,G83 8RZ,56.03485926,-4.51378106,S02002477,S01013242
Kilmaronock Community Trust,SC037756,West Dunbartonshire,G83 8SA,56.0360813,-4.50275106,S02002477,S01013242
West Dunbartonshire Citizens Advice Bureau,SC002558,West Dunbartonshire,G82 1NW,55.94479708,-4.57354338,S02002471,S01013195
"Riverside Parish Church of Scotland, Dumbarton",SC002937,West Dunbartonshire,G82 1NB,55.94293468,-4.5671736,S02002471,S01013195
St Augustine's Episcopal Church: Dumbarton,SC002984,West Dunbartonshire,G82 1LL,55.9433032,-4.56932813,S02002471,S01013195
Dr A K Glen Fund For Annual Outing For Old Age Pensioners,SC018701,West Dunbartonshire,G82 1QL,55.94352608,-4.5672608,S02002471,S01013195
Ben View Resource Centre,SC024093,West Dunbartonshire,G82 1BA,55.94605378,-4.56327971,S02002471,S01013195
West Dunbartonshire Council Charitable Trusts,SC025070,West Dunbartonshire,G82 1QL,55.94352608,-4.5672608,S02002471,S01013195
Clydebank Trust,SC026696,West Dunbartonshire,G82 1QL,55.94352608,-4.5672608,S02002471,S01013195
Feis Dhun Bhreatainn An Iar,SC028009,West Dunbartonshire,G82 1LJ,55.94383002,-4.57035604,S02002471,S01013195
West Dunbartonshire Mental Health Forum,SC039187,West Dunbartonshire,G82 1BA,55.94605378,-4.56327971,S02002471,S01013195
Skylark IX Recovery Trust,SC044184,West Dunbartonshire,G82 1LG,55.94285393,-4.57104408,S02002471,S01013195
West Dunbartonshire Community Foodshare,SC044248,West Dunbartonshire,G82 1NW,55.94479708,-4.57354338,S02002471,S01013195
Food for Thought SCIO,SC047239,West Dunbartonshire,G82 1LL,55.9433032,-4.56932813,S02002471,S01013195
Viresco Studios,SC049904,West Dunbartonshire,G82 1SD,55.94594558,-4.57105687,S02002471,S01013195
Dumbarton United Reformed Church,SC002617,West Dunbartonshire,G82 1EQ,55.94007036,-4.54408313,S02002471,S01013191
Radnor Park Congregational Church,SC003654,West Dunbartonshire,G81 3RQ,55.91517831,-4.42174952,S02002467,S01013164
Friends Of Kilpatrick,SC007198,West Dunbartonshire,G81 4SW,55.92231862,-4.43248732,S02002467,S01013164
"Radnor Park Church of Scotland, Clydebank",SC013242,West Dunbartonshire,G81 3RA,55.91465646,-4.42451759,S02002467,S01013164
The Church of Scotland – Clydebank Waterfront Parish Church,SC004596,West Dunbartonshire,G81 1ER,55.89595441,-4.38395291,S02002460,S01013125
Our Holy Redeemer Primary School Parent Council West Dunbartonshire,SC049580,West Dunbartonshire,G81 1EZ,55.89454035,-4.38688922,S02002460,S01013125
Duntocher West United Free Church Of Scotland,SC004605,West Dunbartonshire,G81 6EA,55.92568036,-4.42655092,S02002466,S01013162
"Faifley Parish Church of Scotland, Clydebank",SC005108,West Dunbartonshire,G81 6PT,55.92980077,-4.40711661,S02002465,S01013152
Clydebank Unit (No 87) of the Sea Cadet Corps,SC021808,West Dunbartonshire,G81 6PP,55.93103398,-4.40885818,S02002465,S01013152
Dumbarton Christian Brethren - Lennox Evangelical Church,SC005301,West Dunbartonshire,G82 5HY,55.95171574,-4.60570539,S02002472,S01013204
St Andrews Church Of Scotland: Dumbarton,SC006235,West Dunbartonshire,G82 3BN,55.95825226,-4.5584466,S02002470,S01013185
Bellsmyre Schools Out Club,SC027599,West Dunbartonshire,G82 3DT,55.95807117,-4.55114462,S02002470,S01013185
Bellsmyre Housing Association Limited,SC038496,West Dunbartonshire,G82 3EB,55.95799283,-4.55319028,S02002470,S01013185
Clydebank Mentally Disabled Association,SC009492,West Dunbartonshire,G81 3PL,55.9181136,-4.41919579,S02002463,S01013144
Dumbarton and District Women's Aid,SC010067,West Dunbartonshire,G83 8DE,56.00421189,-4.56389099,S02002477,S01013239
Old Kilpatrick Bowling Parish Church Of Scotland,SC011630,West Dunbartonshire,G60 5BJ,55.93115102,-4.49637858,S02002469,S01013178
Bowling Village Hall,SC042932,West Dunbartonshire,G60 5BL,55.93142922,-4.49373869,S02002469,S01013178
Clydebank Women's Aid,SC011636,West Dunbartonshire,G81 1QW,55.90071679,-4.40019481,S02002461,S01013129
Clydebank Forum On Disability,SC019256,West Dunbartonshire,G81 1RZ,55.90032299,-4.40471378,S02002461,S01013129
Stepping Stones Organisation (Mental Health),SC019270,West Dunbartonshire,G81 1QF,55.90192199,-4.3992294,S02002461,S01013129
West Dunbartonshire Council For Voluntary Services,SC032003,West Dunbartonshire,G81 1UJ,55.9012853,-4.40698106,S02002461,S01013129
Clydebank Housing Association Limited,SC033962,West Dunbartonshire,G81 1BL,55.90173743,-4.40592121,S02002461,S01013129
Clydebank Restoration Trust,SC035487,West Dunbartonshire,G81 1UJ,55.9012853,-4.40698106,S02002461,S01013129
The Ship Yard Trust SCIO ,SC048448,West Dunbartonshire,G81 1UJ,55.9012853,-4.40698106,S02002461,S01013129
Aiken Endowment Renton,SC012007,West Dunbartonshire,G82 4LY,55.96828729,-4.58364555,S02002474,S01013222
Renton Trinity Parish Church of Scotland,SC014833,West Dunbartonshire,G82 4LY,55.96828729,-4.58364555,S02002474,S01013222
Renton Trinity Church - Benevolent Funds,SC015360,West Dunbartonshire,G82 4LY,55.96828729,-4.58364555,S02002474,S01013222
Renton Community Development Trust Ltd,SC038606,West Dunbartonshire,G82 4LY,55.96828729,-4.58364555,S02002474,S01013222
The Dumbarton Area Council On Alcohol,SC012237,West Dunbartonshire,G82 4AD,55.94532226,-4.57894389,S02002472,S01013200
Old Kilpatrick Playgroup,SC015829,West Dunbartonshire,G82 4DG,55.94604038,-4.58241932,S02002472,S01013200
West Dunbartonshire Gymnastics Club ,SC050947,West Dunbartonshire,G82 4EN,55.94670027,-4.58566677,S02002472,S01013200
