2011 scottish intermediate zone,Total
S02002500 : Armadale,135
S02002501 : Armadale South,105
S02002482 : Bankton and Murieston,180
S02002504 : Bathgate East,350
S02002505 : Bathgate West,110
S02002503 : Bathgate and Boghall,60
"S02002502 : Bathgate, Wester Inch and Inchcross",340
"S02002481 : Bellsquarry, Adambrae and Kirkton",360
S02002496 : Blackburn,95
"S02002506 : Blackridge, Westfield and Torphichen",110
S02002497 : Blaeberry Hill and East Whitburn,125
S02002479 : Breich Valley,160
S02002514 : Broxburn East,250
S02002511 : Broxburn Kirkhill,100
S02002513 : Broxburn South,85
S02002494 : Carmondean and Eliburn North,145
S02002487 : Craigshill,80
S02002493 : Deans,45
S02002483 : Dedridge East,355
S02002485 : East Calder,150
S02002478 : Fauldhouse,90
S02002488 : Howden,190
S02002491 : Knightsridge,120
S02002492 : Knightsridge and Deans North,200
S02002490 : Ladywell,45
S02002508 : Linlithgow Bridge,275
S02002509 : Linlithgow North,115
S02002507 : Linlithgow South,175
S02002489 : Livingston Village and Eliburn South,140
S02002484 : Mid Calder and Kirknewton,160
S02002486 : Pumpherston and Uphall Station,310
S02002495 : Seafield,45
"S02002512 : Uphall, Dechmont and Ecclesmachan",140
S02002480 : West Calder and Polbeth,150
S02002498 : Whitburn Central,175
"S02002499 : Whitburn, Croftmalloch and Greenrigg",110
"S02002510 : Winchburgh, Bridgend and Philpstoun",190
