Name,Charity Number,Local authority,Postcode,Latitude,Longitude,IntermediateZone2011Code,DataZone2011Code
Stoneyburn Community Education Centre Assoc,SC000001,West Lothian,EH47 8BY,55.84607238,-3.6333608,S02002479,S01013253
St John The Baptist Over 50s Group,SC033074,West Lothian,EH47 8DG,55.84376621,-3.63851868,S02002479,S01013253
Rainbow Vaulting Group,SC039442,West Lothian,EH47 8BP,55.84752939,-3.63259133,S02002479,S01013253
MOOD (SCIO),SC048845,West Lothian,EH47 8DE,55.84437591,-3.63659579,S02002479,S01013253
2nd West Lothian Scout Group,SC000407,West Lothian,EH49 6AA,55.97641759,-3.58721553,S02002507,S01013441
Society Of Friends Of St Michaels Parish Church Of Scotland,SC003911,West Lothian,EH49 6AN,55.97376061,-3.59534349,S02002507,S01013441
Donaldson's School Parent Staff Association,SC039736,West Lothian,EH49 6BZ,55.97434737,-3.59860473,S02002507,S01013441
Springfield Community Education Association,SC000462,West Lothian,EH49 7SN,55.9803279,-3.58221486,S02002509,S01013449
Springfield Out Of School Care Club SCIO,SC024476,West Lothian,EH49 7SN,55.9803279,-3.58221486,S02002509,S01013449
8th Linlithgow Brownies,SC032190,West Lothian,EH49 7JP,55.98107551,-3.58487396,S02002509,S01013449
Citizens Advice Bureau West Lothian,SC000630,West Lothian,EH54 5EH,55.89690347,-3.49728416,S02002487,S01013306
West Lothian Drug & Alcohol Service,SC005776,West Lothian,EH54 5EH,55.89690347,-3.49728416,S02002487,S01013306
Craigshill Good Neighbour Network,SC007280,West Lothian,EH54 5EJ,55.89699437,-3.49572036,S02002487,S01013306
Open Door Accommodation Project,SC008533,West Lothian,EH54 5EH,55.89690347,-3.49728416,S02002487,S01013306
First Steps Playgroup For Children With Special Needs,SC024136,West Lothian,EH54 5EJ,55.89699437,-3.49572036,S02002487,S01013306
Signpost,SC032398,West Lothian,EH54 5EJ,55.89699437,-3.49572036,S02002487,S01013306
Beatlie School Parent Council,SC033581,West Lothian,EH54 5EJ,55.89699437,-3.49572036,S02002487,S01013306
Prior Communities Ltd,SC038295,West Lothian,EH54 5EH,55.89690347,-3.49728416,S02002487,S01013306
Daisy Drop In,SC039424,West Lothian,EH54 5EH,55.89690347,-3.49728416,S02002487,S01013306
Armadale Parish Church Of Scotland,SC000791,West Lothian,EH48 3TU,55.89904091,-3.7150143,S02002500,S01013386
Breich Valley Parish Church Of Scotland,SC000800,West Lothian,EH47 8JD,55.85891527,-3.68061874,S02002499,S01013378
Whitburn Pentecostal Church,SC008274,West Lothian,EH47 8HJ,55.85976354,-3.68298819,S02002499,S01013378
Answer Project,SC029271,West Lothian,EH47 8HJ,55.85976354,-3.68298819,S02002499,S01013378
West Lothian Financial Inclusion Network SCIO,SC039867,West Lothian,EH47 8HB,55.86103213,-3.68877941,S02002499,S01013378
Family And Community Development West Lothian,SC000843,West Lothian,EH52 6EY,55.93536712,-3.4947497,S02002511,S01013463
Simply Play,SC041420,West Lothian,EH52 6EY,55.93536712,-3.4947497,S02002511,S01013463
Whitburn South Parish Church of Scotland,SC001053,West Lothian,EH47 8NZ,55.84433239,-3.67850389,S02002497,S01013364
St Joseph's Parent Council,SC039454,West Lothian,EH47 8FD,55.84347976,-3.68039968,S02002497,S01013364
Broxburn Baptist Church,SC001425,West Lothian,EH52 6BP,55.93076488,-3.50960291,S02002512,S01013469
"Strathbrock Parish Church of Scotland, Uphall",SC006336,West Lothian,EH52 6BY,55.93146451,-3.50897383,S02002512,S01013469
Uphall Playgroup,SC010836,West Lothian,EH52 6BN,55.92909685,-3.51225909,S02002512,S01013469
Uphall Community Education Centre Association,SC031603,West Lothian,EH52 6BN,55.92909685,-3.51225909,S02002512,S01013469
St Nicholas United Free Church Of Scotland: Broxburn,SC001621,West Lothian,EH52 5QT,55.93183494,-3.46791354,S02002513,S01013476
Broxburn Parish Church of Scotland,SC017180,West Lothian,EH52 5QT,55.93183494,-3.46791354,S02002513,S01013476
Seafield Community Education Centre,SC001629,West Lothian,EH47 7AL,55.87625838,-3.59559354,S02002495,S01013354
Pinewood Parent Staff Association,SC032502,West Lothian,EH47 7FA,55.8779134,-3.59339152,S02002495,S01013354
West Lothian Women's Aid,SC001784,West Lothian,EH54 6HZ,55.88294269,-3.503637,S02002483,S01013282
West Lothian Women's Aid SCIO,SC046887,West Lothian,EH54 6HZ,55.88294269,-3.503637,S02002483,S01013282
Armadale Community Education Association,SC001801,West Lothian,EH48 3QB,55.89959332,-3.69915601,S02002500,S01013388
Blackridge Parish Church of Scotland,SC006811,West Lothian,EH48 2PZ,55.90012807,-3.69230163,S02002500,S01013388
West Lothian Visually Impaired Bowlers,SC024430,West Lothian,EH48 2PZ,55.90012807,-3.69230163,S02002500,S01013388
Armadale Methodist Church,SC037712,West Lothian,EH48 2PZ,55.90012807,-3.69230163,S02002500,S01013388
Livingston Dedridge Congregation Of Jehovahs Witnesses,SC001858,West Lothian,EH54 6PL,55.8732968,-3.52150098,S02002481,S01013267
Crofthead Farm Community Education Association,SC038507,West Lothian,EH54 6DG,55.8749149,-3.52508075,S02002481,S01013267
Brighter Days Support Group,SC042422,West Lothian,EH54 6DG,55.8749149,-3.52508075,S02002481,S01013267
"Boghall Parish Church of Scotland, Bathgate",SC001881,West Lothian,EH48 1NH,55.89671282,-3.60580523,S02002503,S01013405
Deansmeadow Allotment Association,SC017869,West Lothian,EH48 1NL,55.89521381,-3.60843004,S02002503,S01013405
Torphichen Community Centre Association,SC002356,West Lothian,EH48 4LZ,55.93491556,-3.65313932,S02002506,S01013433
Torphichen Summer Nights Society,SC034044,West Lothian,EH48 4LX,55.93249163,-3.65497304,S02002506,S01013433
Howden & Ladywell Community Education Association,SC002842,West Lothian,EH54 6BN,55.89405826,-3.51244669,S02002488,S01013314
Firefly Arts Limited,SC002848,West Lothian,EH54 6AE,55.89281504,-3.51708376,S02002488,S01013314
Braid Health & Wellbeing Ltd,SC012574,West Lothian,EH54 6BU,55.89237446,-3.51126179,S02002488,S01013314
Fauldhouse Partnership Centre Association,SC003127,West Lothian,EH47 9JD,55.82954678,-3.70421041,S02002478,S01013248
Livingston Disabled Persons Club,SC003150,West Lothian,EH54 6UW,55.89562063,-3.52854792,S02002490,S01013323
Addiewell Community Centre Association,SC003172,West Lothian,EH55 8PG,55.84518634,-3.61744744,S02002479,S01013255
18th West Lothian (West Calder) Scout Group,SC047301,West Lothian,EH55 8PG,55.84518634,-3.61744744,S02002479,S01013255
Skolie Burn Community Meadow & Woodland SCIO,SC049555,West Lothian,EH55 8NE,55.8454533,-3.60185379,S02002479,S01013255
Strathbrock Community Centre Association,SC003683,West Lothian,EH52 5LH,55.93287351,-3.48397651,S02002511,S01013459
Mental Health Advocacy Project (West Lothian) SCIO,SC011560,West Lothian,EH52 5LH,55.93287351,-3.48397651,S02002511,S01013459
Broxburn Pre-School Playgroup,SC021094,West Lothian,EH52 5LH,55.93287351,-3.48397651,S02002511,S01013459
The Brock Garden Centre SCIO,SC044528,West Lothian,EH52 5LH,55.93287351,-3.48397651,S02002511,S01013459
West Kirk Of Calder (Church of Scotland),SC004703,West Lothian,EH54 6UG,55.89830135,-3.52614237,S02002490,S01013325
West Lothian Armed Forces Day,SC044587,West Lothian,EH54 6UG,55.89830135,-3.52614237,S02002490,S01013325
Linlithgow and District Community Day Care Centre,SC005173,West Lothian,EH49 7EZ,55.9764399,-3.60077444,S02002508,S01013444
Lochside Playgroup,SC013205,West Lothian,EH49 7HZ,55.97839961,-3.59656023,S02002508,S01013444
Linlithgow Link Voluntary Group,SC013502,West Lothian,EH49 7EZ,55.9764399,-3.60077444,S02002508,S01013444
Linlithgow Heritage Trust,SC017593,West Lothian,EH49 7EZ,55.9764399,-3.60077444,S02002508,S01013444
Linlithgow Young People's Project,SC019826,West Lothian,EH49 7EX,55.97696293,-3.60132492,S02002508,S01013444
Linlithgow Community Arts Association,SC028268,West Lothian,EH49 7DY,55.97549952,-3.6046779,S02002508,S01013444
Low Port Out of School Club SCIO,SC047701,West Lothian,EH49 7HZ,55.97839961,-3.59656023,S02002508,S01013444
Linlithgow Arts Guild (SCIO),SC048083,West Lothian,EH49 7HW,55.97674374,-3.60573908,S02002508,S01013444
Linlithgow Peace Garden,SC048583,West Lothian,EH49 7AX,55.975445,-3.60954743,S02002508,S01013444
The New Well,SC050173,West Lothian,EH49 7EN,55.97581304,-3.6061332,S02002508,S01013444
St John's Church Linlithgow,SC050351,West Lothian,EH49 7EN,55.97581304,-3.6061332,S02002508,S01013444
Livingston (Deans) Congregation Of Jehovahs Witnesses,SC005223,West Lothian,EH54 8NP,55.90059352,-3.5491046,S02002494,S01013350
Idea Zone (West Lothian),SC036210,West Lothian,EH54 8PT,55.9018097,-3.54600206,S02002494,S01013350
4th West Lothian Scout Group,SC005411,West Lothian,EH49 7TD,55.9813311,-3.63139788,S02002508,S01013447
9th Linlithgow Brownie Unit,SC032023,West Lothian,EH49 7QE,55.97974802,-3.62471186,S02002508,S01013447
Linlithgow Bridge Primary School Parent Council,SC035946,West Lothian,EH49 7PB,55.978072,-3.62233372,S02002508,S01013447
Linlithgow Rose Community Football Club,SC044283,West Lothian,EH49 7PL,55.97956753,-3.61999224,S02002508,S01013447
Kingfisher Club,SC027193,West Lothian,EH49 7TL,55.98133226,-3.628593,S02002508,S01013447
Lanthorn Association,SC005904,West Lothian,EH54 6NY,55.8815224,-3.50441338,S02002483,S01013279
West Lothian Family History Society,SC031501,West Lothian,EH54 6JJ,55.88201695,-3.50659073,S02002483,S01013279
Carmondean Community Centre Association,SC005910,West Lothian,EH54 8AX,55.9059118,-3.54421369,S02002494,S01013353
Livingston Assembly of God,SC006779,West Lothian,EH54 8QE,55.90918373,-3.54341587,S02002492,S01013341
Kirknewton & East Calder Parish Church Of Scotland,SC006973,West Lothian,EH53 0RD,55.88592289,-3.45530755,S02002485,S01013293
3rd East Calder Brownie Unit,SC031088,West Lothian,EH53 0LE,55.88886023,-3.45919103,S02002485,S01013293
2nd East Calder Guide Unit,SC033041,West Lothian,EH53 0RQ,55.88902118,-3.45774202,S02002485,S01013293
2nd East Calder Rainbow Unit,SC038985,West Lothian,EH53 0RQ,55.88902118,-3.45774202,S02002485,S01013293
Mid Calder Community Centre Association,SC007047,West Lothian,EH53 0AL,55.89244672,-3.48166511,S02002484,S01013288
Mid Calder Mother & Toddler Group,SC010380,West Lothian,EH53 0AL,55.89244672,-3.48166511,S02002484,S01013288
East Calder Gala Day Fund,SC007100,West Lothian,EH53 0RN,55.8882805,-3.45502805,S02002485,S01013292
East Calder Playgroup,SC016077,West Lothian,EH53 0BF,55.89135899,-3.45989247,S02002485,S01013292
Blackridge Community Education Association,SC007382,West Lothian,EH48 3SP,55.8848465,-3.76181046,S02002506,S01013431
Bathgate High Parish Church of Scotland,SC007418,West Lothian,EH48 4HB,55.90424863,-3.64015681,S02002504,S01013417
HomeAid West Lothian Ltd,SC024461,West Lothian,EH48 4HD,55.90369942,-3.63888593,S02002504,S01013417
Church Of Christ,SC007668,West Lothian,EH54 6RA,55.89633002,-3.53364553,S02002489,S01013322
Peelers After School And Holiday Club Limited,SC029444,West Lothian,EH54 6RA,55.89633002,-3.53364553,S02002489,S01013322
Linlithgow Parish Trust,SC008427,West Lothian,EH49 7ST,55.97968442,-3.57351781,S02002509,S01013451
